delta_encoder,mag_orient
0.0,-1.3238749091178947
0.0,-1.2299295141852422
0.0,-1.181199325238954
0.0,-1.1843672225482669
0.0,-1.0765391800260826
0.0,-1.1718453027204203
0.0,-1.2000488853869522
0.0,-1.2591641678202825
0.0,-1.148112256991384
0.0,-1.187749442877662
0.0,-1.1464321201106293
0.0,-1.2539643430884437
0.0,-1.205155815524508
0.0,-1.2407858199945823
0.0,-1.1911402265564883
0.0,-1.1424923146716846
0.0,-1.141308998088063
0.0,-1.0803220907087716
0.0,-1.1034042860115512
0.0,-1.1660003463920081
0.0,-1.2420965535949504
0.0,-1.0670579320800568
0.0,-1.2650921765770253
0.0,-1.1069642463482219
0.0,-1.2686240320979838
0.0,-1.0398700067409639
0.0,-0.9729788095950194
0.0,-1.2137802387135939
0.0,-1.0940767886015157
0.0,-1.2797813677227616
0.0,-1.2570653418387323
0.0,-1.0477765005588282
0.0,-1.0764047293707208
0.0,-1.2244919119430804
0.0,-1.325866603138441
0.0,-1.0470870169441657
0.0,-1.149517671448824
0.0,-1.1529146511144397
0.0,-1.1733089246736899
0.0,-1.0752628484637214
0.0,-1.1310868757461696
0.0,-1.1419892487196694
0.0,-1.1972031482725938
0.0,-1.20601232915772
0.0,-1.2374312299799866
0.0,-1.1014976430719277
0.0,-1.1449024826222483
0.0,-1.1841594255218124
0.0,-1.12006695314425
0.0,-1.1081767834196548
0.0,-1.133040227974001
0.0,-1.195069390515882
0.0,-1.1235616650756541
0.0,-1.2084016203068222
0.0,-1.1303166192495329
0.0,-1.122375519927226
0.0,-1.1416568821652402
0.0,-1.1462207403814602
0.0,-1.1462458374664206
0.0,-1.1874839927629148
0.0,-1.0899950080240444
0.0,-1.1184652694071637
0.0,-1.114043748485104
0.0,-1.1528391998569594
0.0,-1.1299244943207418
0.0,-0.8909659583789543
0.0,-1.2670279115534238
0.0,-1.0735325152412913
0.0,-1.2479693559433092
0.0,-1.2342855006745983
0.0,-1.1025847139282505
0.0,-1.2258727056155831
0.0,-1.189430742206099
0.0,-1.1382157153011103
0.0,-1.1004540351448595
0.0,-1.208454035606168
0.0,-1.163658113756513
0.0,-1.1965174658602815
0.0,-1.0945782149823051
0.0,-1.0847104191937933
0.0,-1.0998211565041183
0.0,-1.1301480246318716
0.0,-1.2442702696929722
0.0,-1.1857984468289775
0.0,-1.2354664345695563
0.0,-1.115122628531764
0.0,-1.142473967497361
0.0,-1.2073954720628002
0.0,-1.076339700703357
0.0,-1.1323306281511274
0.0,-1.1158477471590758
0.0,-1.153651511034802
0.0,-1.1515734823847483
