left_command,right_command,left_speed,right_speed,x,y,alpha,theta,ref_x,ref_y,ref_alpha,ref_theta
0,0,0.0,0.0,0.0,0.0,89.95930581667902,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.95826850770813,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.95476065949481,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.95301191119064,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.95178554607617,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.94960224449576,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.96403160794924,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.95577417144644,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.93045130191283,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.91167240876389,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.89409109565194,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.87910459916722,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.86630091230937,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.85993439564467,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.85549417373974,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.85318349736896,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.84892778270675,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.84458435129454,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.84325454338995,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.84331439208091,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.84203805449421,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.83912297930878,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.83548699294737,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.8354439474245,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.83403845936137,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.80630750636512,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.83429600095282,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.77155192157096,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.69708830562834,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.43972575306123,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.26365295390998,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.05661228874933,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.11550825640079,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.40564134901469,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.8967251709708,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.24863817028208,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.22085846232325,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.05736632644383,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.91717205961771,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.9451334958428,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.97380025349007,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.04495399687464,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.22185903448212,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.35659230367894,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.54302209796606,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.73512386263731,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.90586281775985,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,91.03942967712788,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,91.10724579606192,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.95138278524897,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.56506017756948,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,90.07631465823033,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.55853971678174,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.10530889024584,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.8111287754968,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.70531604005978,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.73271903159957,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.74432038969972,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.67347086030661,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.5183433685946,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.33653344594458,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.18535211038014,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.16517941996409,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.31132926753108,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.52132387992326,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,88.81704114927317,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.1766987725644,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.4012796216875,0.0,0,0,11.2,0.0
0,0,0.0,0.0,0.0,0.0,89.477128890927,0.0,0,0,11.2,0.0
