active,angle,s0,s1,s2,s3,s4,line_position
True,12.106,604,1212,2196,2108,212,0.021244309559939323
True,10.772,636,1264,2232,2112,412,0.08703220191470844
True,10.037,528,1332,2208,2112,496,0.17063870352716876
True,10.023,416,1292,2208,2116,588,0.25726872246696036
True,10.372,352,1284,2204,2116,484,0.23418803418803424
True,11.242,96,1464,2212,2124,296,0.18557422969187679
True,12.485,144,1568,2236,2100,16,0.0461229946524064
True,14.204,268,1720,2228,2040,268,0.061728395061728385
True,16.227,0,1816,2192,1916,0,0.01688048615800132
True,18.389,0,1860,2176,1832,0,-0.004771642808452607
True,20.616,0,1924,2164,1632,0,-0.05104895104895106
True,22.339,0,1948,2116,1420,0,-0.09628008752735231
True,23.294,0,1924,2136,1320,0,-0.11226765799256508
True,23.723,0,1932,2080,1204,0,-0.13957055214723926
True,23.364,0,1948,2072,1152,0,-0.15390564578499613
True,22.426,0,1952,2104,1060,0,-0.1743549648162627
True,21.034,0,2000,2120,1104,0,-0.17151607963246554
True,19.126,0,2024,2112,1136,0,-0.16843702579666164
True,17.069,0,2052,2148,1164,0,-0.16554809843400448
True,15.176,0,2060,2180,1224,0,-0.15300146412884333
True,13.341,0,2088,2180,1248,0,-0.15228426395939088
True,12.021,152,2088,2208,1224,88,-0.18646616541353384
True,10.793,208,2116,2208,1216,208,-0.18307567127746133
True,10.201,124,2104,2208,1176,192,-0.15277777777777776
True,10.026,0,2128,2188,1104,188,-0.11554921540656209
True,10.261,0,2108,2168,832,96,-0.20830130668716373
True,10.878,56,2100,2160,688,88,-0.28013300083125514
True,11.763,120,2108,2108,612,120,-0.3348254252461952
True,12.797,36,2120,2088,608,36,-0.3211554800339847
True,13.939,0,2132,2132,628,0,-0.30744071954210955
True,15.099,116,2104,2072,468,0,-0.39243697478991596
True,16.318,200,2076,1956,420,0,-0.4419604471195185
True,17.526,268,2044,1836,268,0,-0.5235507246376813
True,18.205,412,2060,1688,252,0,-0.5965548504079782
True,18.494,472,2048,1628,280,0,-0.6124661246612466
True,18.371,596,2016,1536,216,0,-0.6856095325389551
True,17.89,636,2024,1508,196,0,-0.7103574702108156
True,17.025,680,2032,1476,144,0,-0.7497691597414589
True,16.152,712,2060,1484,140,12,-0.7635694572217111
True,15.206,716,2056,1488,112,184,-0.7527527527527527
True,14.154,712,2060,1516,172,172,-0.7868504772004242
True,13.136,740,2092,1544,232,232,-0.7815217391304349
True,12.059,744,2084,1544,288,360,-0.7162011173184357
True,11.763,780,2092,1576,328,328,-0.7702078521939955
True,11.67,848,2112,1532,312,216,-0.7776649746192893
True,12.094,872,2104,1496,368,172,-0.7552986512524086
True,12.692,904,2084,1476,372,0,-0.7278742762613731
True,13.515,1076,2060,1352,332,0,-0.8049792531120332
True,14.424,1284,2036,1244,168,0,-0.9374471682163992
True,15.448,1440,2008,1160,104,0,-1.0152801358234296
True,16.543,1636,1968,972,0,0,-1.1451048951048952
True,17.701,1712,1900,848,0,0,-1.1937219730941706
True,18.606,1788,1788,732,0,0,-1.2451253481894151
True,18.792,1844,1692,732,4,0,-1.2584269662921348
True,18.679,1848,1664,712,12,0,-1.2625118035882907
True,18.153,1856,1672,776,80,0,-1.2098540145985401
True,17.462,1876,1636,772,172,0,-1.170556552962298
True,16.65,1884,1668,812,208,0,-1.1434820647419073
True,15.941,1916,1700,864,264,0,-1.1104553119730187
True,15.33,1908,1696,924,328,0,-1.0675453047775947
True,14.791,1912,1696,932,328,0,-1.066557107641742
True,14.279,1944,1696,964,424,0,-1.026252983293556
True,13.755,1940,1700,956,456,0,-1.0142517814726841
True,13.219,1944,1696,992,484,4,-0.9984313725490196
True,12.788,1944,1696,1024,484,36,-1.0047961630695443
True,12.674,1964,1696,1016,476,84,-1.0340531561461794
True,12.996,1964,1688,984,508,92,-1.0309882747068675
True,13.684,1972,1636,956,448,0,-1.0239425379090181
True,14.366,1968,1516,860,416,0,-1.057983193277311
True,15.305,1972,1452,792,388,0,-1.0877497827975673
True,16.304,1972,1268,804,328,0,-1.1171088746569078
True,17.374,1964,996,872,340,0,-1.0987535953978906
True,18.466,1964,836,868,304,0,-1.122860020140987
True,18.546,1972,788,852,312,0,-1.1264016309887868
True,18.534,1964,760,880,320,0,-1.1131498470948014
True,18.294,1972,796,856,288,0,-1.138036809815951
True,18.277,1972,796,860,324,0,-1.1174089068825912
True,18.464,1940,796,888,288,0,-1.121676891615542
True,18.77,1964,760,852,284,0,-1.1409326424870467
True,18.878,1936,792,820,252,0,-1.1610526315789473
True,19.191,1944,768,828,228,0,-1.1751592356687897
True,19.645,1936,760,792,192,0,-1.2065217391304346
True,20.02,1936,760,792,136,0,-1.2406181015452538
True,20.466,1936,780,748,84,0,-1.287485907553551
True,20.717,1928,816,692,68,0,-1.3139269406392693
True,20.906,1904,912,692,24,0,-1.3295583238958097
True,20.686,1876,1084,624,0,0,-1.3493303571428572
True,20.124,1864,1268,608,0,0,-1.3358288770053477
True,19.241,1872,1476,572,0,0,-1.3316326530612246
True,17.88,1832,1624,744,112,0,-1.2003710575139148
True,16.428,1804,1744,836,124,0,-1.1597160603371783
True,14.867,1772,1860,864,168,0,-1.1226415094339623
True,13.253,1712,1928,904,128,0,-1.1181506849315066
True,11.593,1596,1984,1060,156,60,-1.0755048287971907
True,9.988,1440,2048,1256,328,0,-0.9069400630914827
True,8.336,1320,2060,1352,460,108,-0.8453781512605043
True,7.469,1228,2084,1412,516,356,-0.8679245283018868
True,6.891,1256,2084,1416,600,400,-0.8509052183173588
True,6.926,1232,2108,1384,496,456,-0.9316843345111897
True,7.233,1244,2088,1336,468,500,-0.9429611650485437
True,7.933,1228,2076,1320,476,380,-0.9206703910614525
True,8.653,1244,2084,1304,424,424,-0.9821428571428571
True,9.474,1244,2092,1308,456,456,-0.9804639804639804
True,10.237,1228,2084,1288,384,384,-0.9825986078886311
True,10.982,1212,2060,1304,360,360,-0.9736842105263157
True,11.747,1180,2060,1336,384,352,-0.9380630630630632
True,12.508,1200,2044,1292,320,320,-0.9742729306487697
True,12.388,1140,2056,1324,412,380,-0.9273153575615475
True,12.202,1012,2060,1416,504,376,-0.8107798165137614
True,11.579,880,2084,1544,596,372,-0.6924778761061947
True,10.737,824,2088,1604,660,236,-0.6153119092627599
True,9.668,748,2112,1688,684,236,-0.5718283582089553
True,8.549,676,2128,1828,644,292,-0.5481986368062318
True,7.402,688,2120,1872,656,264,-0.5401869158878504
True,6.602,656,2120,1940,716,232,-0.5000000000000001
True,6.331,560,2144,1964,716,336,-0.4643564356435643
True,6.238,464,2140,1984,652,272,-0.45086705202312144
True,6.63,324,2148,1996,608,324,-0.40740740740740744
True,7.283,320,2144,2024,632,220,-0.40377358490566034
True,8.015,324,2148,1996,576,196,-0.4291079812206572
True,8.705,288,2148,1996,576,192,-0.4160377358490566
True,9.32,264,2148,2000,548,136,-0.42028985507246375
True,9.869,232,2148,2000,548,104,-0.41134751773049644
True,10.383,196,2140,1992,512,36,-0.4148211243611584
True,10.903,140,2148,1968,484,0,-0.410126582278481
True,11.639,172,2148,1968,488,0,-0.4195979899497487
True,12.325,76,2144,1964,456,0,-0.39655172413793094
True,12.87,52,2120,1972,396,0,-0.40264317180616743
True,13.114,124,2112,1964,412,0,-0.42237640936686904
True,12.816,0,2112,1932,440,0,-0.3728813559322034
True,12.22,0,2144,1964,436,0,-0.3758802816901408
True,11.415,0,2140,1924,504,80,-0.31755593803786575
True,10.509,0,2104,1864,596,148,-0.25721561969439727
True,9.524,0,2112,1844,628,248,-0.20447019867549665
True,8.584,184,2140,1932,724,216,-0.3161833489242283
True,7.962,244,2136,2016,776,276,-0.3065279091769157
True,7.535,252,2120,2060,728,284,-0.3173996175908222
True,7.415,188,2148,2056,644,224,-0.33148148148148143
True,7.887,164,2140,2080,636,196,-0.3275705186533212
True,8.336,136,2148,2088,644,200,-0.30335097001763667
True,8.66,104,2120,2088,644,136,-0.30883639545056873
True,8.872,100,2144,2084,608,100,-0.3386243386243386
True,9.172,108,2120,2088,576,108,-0.3461883408071749
True,9.479,76,2120,2088,576,76,-0.33889376646180863
True,9.699,40,2112,2084,576,40,-0.3301805674978504
True,9.865,44,2116,2056,576,44,-0.33362218370883884
True,10.12,44,2120,2060,552,44,-0.34086956521739126
True,10.358,8,2120,2052,548,8,-0.33475298126064734
True,10.546,12,2120,2060,544,12,-0.3361774744027303
True,10.697,0,2120,2060,544,0,-0.3336155800169348
True,10.879,0,2120,2060,548,12,-0.3265822784810126
True,11.076,0,2120,2060,544,12,-0.32770270270270274
True,11.245,0,2116,2056,552,12,-0.32516891891891897
True,11.394,0,2116,2056,512,0,-0.34244235695986336
True,11.546,0,2120,2060,524,0,-0.33928571428571425
True,11.721,0,2112,2052,516,0,-0.34102564102564104
True,11.89,0,2120,2060,516,0,-0.3415672913117546
True,12.06,0,2120,2060,492,0,-0.348458904109589
True,12.233,0,2112,2052,484,0,-0.3502581755593804
True,12.425,0,2116,2028,516,0,-0.34334763948497854
True,12.637,0,2112,2052,512,0,-0.3421727972626176
True,12.877,0,2116,2024,456,0,-0.36118363794603997
True,13.143,0,2120,2032,488,0,-0.3517241379310345
True,13.451,0,2112,2020,424,0,-0.3705004389815628
True,13.808,0,2080,2020,424,0,-0.36604774535809015
True,14.222,0,2112,2024,416,0,-0.37258347978910367
True,14.583,0,2112,1992,392,0,-0.38256227758007116
True,14.922,0,2088,1992,360,0,-0.38918918918918916
True,15.272,0,2080,1992,356,0,-0.38934056007226736
True,15.59,0,2092,1964,336,0,-0.3998178506375228
True,16.033,0,2088,1968,304,0,-0.4091743119266055
True,16.448,0,2084,1964,328,0,-0.40127970749542957
True,16.904,0,2060,1972,276,0,-0.414113277623027
True,17.128,0,2052,1964,296,0,-0.40723562152133574
True,17.179,0,2052,1964,236,0,-0.4270931326434619
True,17.05,0,2060,1968,152,0,-0.4564593301435407
True,16.833,0,2088,2000,196,0,-0.4416433239962651
True,16.38,0,2088,2028,204,0,-0.43611111111111106
True,15.87,0,2088,2060,256,0,-0.41598546775658485
True,15.275,0,2084,2084,248,0,-0.41576086956521735
True,14.555,0,2104,2104,328,0,-0.3915343915343915
True,13.849,52,2116,2116,436,0,-0.3779661016949153
True,13.099,184,2120,2148,560,184,-0.36482694106641717
True,12.4,180,2120,2148,684,244,-0.292225201072386
True,11.784,104,2116,2176,772,328,-0.18006430868167198
True,11.18,112,2116,2176,904,240,-0.19165998396150757
True,10.7,136,2108,2200,940,204,-0.21026894865525675
True,10.589,268,2112,2200,988,100,-0.2825077399380805
True,10.626,280,2116,2208,1068,8,-0.2822695035460992
True,10.849,364,2108,2200,1052,32,-0.30736240171551116
True,11.274,420,2108,2200,1108,60,-0.30736240171551105
True,11.707,280,2116,2208,1132,0,-0.26917712691771273
True,12.066,348,2100,2192,1144,0,-0.2856154910096819
True,12.482,300,2108,2200,1152,0,-0.2701388888888889
True,12.747,296,2088,2180,1248,8,-0.24498269896193772
True,12.738,252,2108,2200,1276,28,-0.2236198462613557
True,12.598,160,2080,2200,1332,0,-0.185031185031185
True,12.4,84,2084,2204,1452,52,-0.12393162393162394
True,11.974,116,2080,2200,1492,52,-0.12605633802816898
True,11.512,208,2072,2224,1576,108,-0.12322946175637396
True,11.002,128,2056,2208,1652,128,-0.07302964569775854
