active,angle,s0,s1,s2,s3,s4,line_position
True,12.388,2348,2288,2380,1944,1712,-0.7651515151515151
True,11.968,2352,2292,2384,1980,1724,-0.7424242424242425
True,11.613,2352,2288,2380,1976,1744,-0.7564356435643566
True,11.321,2352,2288,2380,1976,1752,-0.7605633802816901
True,11.067,2352,2288,2380,1976,1752,-0.7605633802816901
True,10.839,2352,2292,2384,1976,1780,-0.7749469214437366
True,10.625,2352,2288,2380,1976,1784,-0.7784946236559139
True,10.453,2344,2284,2376,2004,1776,-0.7436974789915968
True,10.319,2352,2292,2384,2008,1784,-0.7473684210526316
True,10.231,2348,2284,2376,2036,1780,-0.7193347193347194
True,10.183,2352,2292,2384,2036,1776,-0.7183673469387754
True,10.18,2352,2292,2384,2040,1784,-0.7184265010351967
True,10.215,2348,2288,2380,2032,1808,-0.73568281938326
True,10.277,2352,2292,2384,2040,1812,-0.7318681318681318
True,10.367,2344,2284,2376,2032,1808,-0.7339246119733924
True,10.472,2352,2288,2380,2032,1808,-0.7384615384615385
True,10.593,2352,2288,2380,2040,1808,-0.7308533916849017
True,10.721,2344,2280,2372,2032,1776,-0.7193347193347194
True,10.835,2352,2292,2384,2040,1780,-0.7166324435318275
True,10.931,2352,2288,2380,2040,1776,-0.7157464212678937
True,11.004,2352,2288,2380,2032,1776,-0.7227926078028748
True,11.041,2348,2288,2380,2036,1776,-0.7166324435318275
True,11.062,2352,2292,2384,2040,1816,-0.7339246119733924
True,11.081,2348,2288,2380,2032,1808,-0.73568281938326
True,11.096,2352,2292,2380,2040,1816,-0.7355555555555554
True,11.116,2352,2288,2380,2040,1816,-0.734966592427617
True,11.145,2352,2292,2380,2040,1808,-0.7314410480349347
True,11.19,2352,2288,2380,2040,1816,-0.734966592427617
True,11.234,2352,2292,2380,2040,1784,-0.7199170124481329
True,11.275,2352,2292,2384,2040,1812,-0.7318681318681318
True,11.323,2352,2288,2380,2040,1816,-0.734966592427617
True,11.384,2344,2284,2376,2064,1808,-0.7037037037037037
True,11.43,2352,2292,2384,2072,1816,-0.7037037037037037
True,11.454,2344,2284,2376,2064,1808,-0.7037037037037037
True,11.462,2352,2292,2380,2064,1840,-0.724537037037037
True,11.469,2352,2288,2380,2072,1812,-0.7028199566160521
True,11.473,2352,2292,2384,2064,1840,-0.722863741339492
True,11.476,2352,2292,2384,2072,1840,-0.7149425287356324
True,11.481,2344,2284,2380,2064,1840,-0.7172897196261682
True,11.481,2348,2288,2380,2068,1840,-0.7169373549883992
True,11.469,2352,2288,2380,2068,1844,-0.72196261682243
True,11.443,2352,2292,2380,2064,1840,-0.724537037037037
True,11.412,2352,2292,2380,2072,1840,-0.7165898617511521
True,11.368,2352,2292,2380,2072,1848,-0.7206572769953051
True,11.307,2352,2292,2384,2064,1840,-0.722863741339492
True,11.242,2352,2288,2380,2100,1844,-0.6903669724770641
True,11.18,2352,2292,2384,2104,1848,-0.6873563218390805
True,11.143,2352,2292,2384,2104,1840,-0.6839729119638827
True,11.117,2352,2288,2380,2100,1844,-0.6903669724770641
True,11.11,2344,2316,2376,2096,1840,-0.6930022573363431
True,11.11,2352,2288,2380,2100,1876,-0.7054455445544554
True,11.124,2352,2292,2384,2104,1880,-0.7022332506203474
True,11.151,2352,2284,2380,2096,1872,-0.7068965517241379
True,11.178,2352,2292,2380,2104,1876,-0.7019704433497537
True,11.204,2352,2288,2380,2096,1872,-0.7076167076167076
True,11.226,2352,2292,2380,2100,1872,-0.7041564792176039
True,11.25,2344,2284,2376,2096,1872,-0.7022332506203474
True,11.268,2352,2288,2380,2100,1872,-0.7034313725490196
True,11.281,2352,2288,2380,2100,1872,-0.7034313725490196
True,11.298,2348,2284,2380,2096,1868,-0.7017114914425427
True,11.321,2352,2288,2380,2100,1872,-0.7034313725490196
True,11.351,2352,2292,2380,2104,1876,-0.7019704433497537
True,11.377,2352,2288,2380,2096,1872,-0.7076167076167076
True,11.393,2352,2292,2380,2104,1876,-0.7019704433497537
True,11.402,2352,2292,2384,2104,1880,-0.7022332506203474
True,11.406,2348,2288,2380,2100,1872,-0.7002457002457002
True,11.422,2352,2292,2384,2104,1880,-0.7022332506203474
True,11.447,2344,2284,2372,2092,1900,-0.7238605898123325
True,11.467,2352,2292,2384,2104,1872,-0.6982968369829684
True,11.477,2352,2292,2384,2104,1912,-0.719676549865229
True,11.477,2348,2284,2376,2128,1904,-0.6868421052631579
True,11.473,2352,2288,2380,2100,1908,-0.7231182795698925
True,11.46,2352,2284,2384,2128,1904,-0.6866840731070495
True,11.433,2348,2288,2380,2124,1932,-0.7053824362606234
True,11.396,2352,2292,2384,2136,1944,-0.7002881844380403
True,11.359,2352,2288,2380,2128,1936,-0.7065527065527065
True,11.329,2348,2288,2380,2132,1932,-0.6957746478873239
True,11.296,2344,2284,2376,2128,1936,-0.7002881844380403
True,11.27,2352,2288,2380,2132,1936,-0.7017045454545454
True,11.259,2352,2288,2380,2132,1940,-0.704022988505747
True,11.267,2352,2292,2380,2128,1936,-0.7073863636363635
True,11.295,2352,2292,2380,2100,1940,-0.7448680351906158
True,11.358,2352,2292,2380,2104,1940,-0.7397660818713452
True,11.491,2352,2288,2380,2096,1936,-0.7463556851311953
True,11.662,2352,2288,2380,2100,1940,-0.7441176470588234
True,11.855,2352,2288,2380,2100,1940,-0.7441176470588234
True,12.06,2348,2288,2380,2068,1936,-0.7791044776119403
True,12.295,2352,2288,2380,2100,1940,-0.7441176470588234
True,12.555,2344,2284,2376,2064,1936,-0.782477341389728
True,12.817,2352,2292,2384,2072,1944,-0.782477341389728
True,13.083,2352,2292,2380,2072,1944,-0.7848484848484849
True,13.352,2352,2284,2380,2064,1936,-0.7874251497005987
True,13.623,2352,2288,2380,2040,1940,-0.8246153846153846
True,13.899,2352,2288,2380,2064,1936,-0.7880597014925371
True,14.182,2352,2288,2380,2032,1904,-0.8022284122562675
True,14.472,2352,2292,2384,2040,1912,-0.7971830985915492
True,14.763,2352,2260,2384,2036,1908,-0.7942857142857143
True,15.044,2352,2292,2384,2040,1904,-0.790633608815427
True,15.325,2348,2284,2384,2036,1908,-0.7943661971830985
True,15.612,2348,2288,2380,2036,1904,-0.7938718662952647
True,15.932,2352,2292,2384,2040,1912,-0.7971830985915492
True,16.311,2352,2292,2380,2032,1904,-0.8027777777777779
True,16.786,2352,2288,2380,2040,1912,-0.7988668555240794
True,17.366,2352,2292,2384,2040,1880,-0.7726098191214472
True,18.071,2352,2288,2380,2000,1872,-0.8146214099216711
True,18.889,2352,2292,2384,2008,1848,-0.7858880778588809
True,19.802,2352,2292,2384,1980,1852,-0.82
True,20.805,2352,2292,2384,1972,1844,-0.8226600985221675
True,21.916,2352,2292,2380,1944,1848,-0.8604060913705583
True,23.177,2344,2284,2376,1908,1844,-0.8958333333333334
True,24.617,2352,2260,2380,1852,1812,-0.9323308270676692
True,26.274,2352,2260,2380,1788,1820,-0.9253012048192772
True,28.119,2344,2220,2380,1688,1784,-0.8360323886639678
True,30.119,2356,2172,2356,1596,1732,-0.8172043010752689
