active,angle,s0,s1,s2,s3,s4,line_position,x,y,theta
False,89.87722550521565,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87849601167974,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87861798195074,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87870887842922,0,0,0,0,0,0,0.0,0.0,0.0
False,89.878295768405,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87999853887406,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87915659212787,0,0,0,0,0,0,0.0,0.0,0.0
False,89.88089848902787,0,0,0,0,0,0,0.0,0.0,0.0
False,89.88093097432555,0,0,0,0,0,0,0.0,0.0,0.0
False,89.88198244307858,0,0,0,0,0,0,0.0,0.0,0.0
False,89.8814745863449,0,0,0,0,0,0,0.0,0.0,0.0
False,89.88041195071169,0,0,0,0,0,0,0.0,0.0,0.0
False,89.8794265791042,0,0,0,0,0,0,0.0,0.0,0.0
False,89.8815516728222,0,0,0,0,0,0,0.0,0.0,0.0
False,89.880042088365,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87851056943607,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87956210868641,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87909787216388,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87870154029417,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87830231984091,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87687462397538,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87700330688371,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87607819013967,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87727055358172,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87736529457186,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87699628459573,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87714377679518,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87985103416047,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87896133782526,0,0,0,0,0,0,0.0,0.0,0.0
False,89.87863669498857,0,0,0,0,0,0,0.0,0.0,0.0
False,89.88088979121954,0,0,0,0,0,0,0.0,0.0,0.0
False,89.88157509252743,0,0,0,0,0,0,0.0,0.0,0.0
False,89.88174070545193,0,0,0,0,0,0,0.0,0.0,0.0
False,89.86557299235012,0,0,0,0,0,0,0.0,0.0,0.0
False,89.85329608588182,0,0,0,0,0,0,0.0,0.0,0.0
False,89.856888958653,0,0,0,0,0,19.05,0.0,0.0,0.0
False,89.84466632459203,0,0,0,0,0,19.05,0.0,0.0,0.0
False,89.9111200601106,0,0,0,0,0,19.05,0.0,0.0,0.0
False,89.94871282818363,0,0,0,0,0,19.05,0.0,0.0,0.0
False,89.9211664456347,0,0,0,0,0,19.05,0.0,0.0,0.0
False,89.8967527422966,0,0,0,0,0,19.05,0.0,0.0,0.0
False,89.89235449969608,0,0,0,0,0,0,0.0,0.0,0.0
False,89.88917399773523,0,0,0,0,0,0,0.0,0.0,0.0
False,89.89464304878261,0,0,0,0,0,0,0.0,0.0,0.0
False,89.9108071800876,0,0,0,0,0,0,0.0,0.0,0.0
False,89.91025531603384,0,0,0,0,0,0,0.0,0.0,0.0
False,89.94830152497744,0,0,0,0,0,0,0.0,0.0,0.0
False,89.91051911211908,0,0,0,0,0,0,0.0,0.0,0.0
False,89.84788078441491,0,0,0,0,0,0,0.0,0.0,0.0
False,89.64864473382568,0,0,0,0,0,0,0.0,0.0,0.0
False,89.50561688227684,0,0,0,0,0,0,0.0,0.0,0.0
False,89.4012387251638,0,0,0,0,0,0,0.0,0.0,0.0
False,89.86077386638745,0,0,0,0,0,0,0.0,0.0,0.0
False,90.59109175318989,0,0,0,0,0,0,0.0,0.0,0.0
False,91.31846737724597,0,0,0,0,0,0,0.0,0.0,0.0
False,91.98636600793488,0,0,0,0,0,0,0.0,0.0,0.0
False,92.52654346863044,0,0,0,0,0,0,0.0,0.0,0.0
False,92.83478782584008,0,0,0,0,0,0,0.0,0.0,0.0
False,92.90898727571633,0,0,0,0,0,0,0.0,0.0,0.0
False,92.83733345446937,0,0,0,0,0,0,0.0,0.0,0.0
False,92.74018999054162,0,0,0,0,0,0,0.0,0.0,0.0
False,92.60370381615935,0,0,0,0,0,0,0.0,0.0,0.0
False,92.30076333482687,0,0,0,0,0,0,0.0,0.0,0.0
False,91.78530829111574,0,0,0,0,0,0,0.0,0.0,0.0
False,91.09889430039766,0,0,0,0,0,0,0.0,0.0,0.0
False,90.34586479788958,0,0,0,0,0,0,0.0,0.0,0.0
False,89.69793608789699,0,0,0,0,0,0,0.0,0.0,0.0
False,89.15904387884358,0,0,0,0,0,0,0.0,0.0,0.0
False,88.65019876954048,0,0,0,0,0,0,0.0,0.0,0.0
False,88.16012801987857,0,0,0,0,0,0,0.0,0.0,0.0
False,87.74188848094805,0,0,0,0,0,0,0.0,0.0,0.0
False,87.37956506938389,0,0,0,0,0,0,0.0,0.0,0.0
False,87.08621943325745,0,0,0,0,0,0,0.0,0.0,0.0
False,86.82526162323099,0,0,0,0,0,0,0.0,0.0,0.0
False,86.58153086437801,0,0,0,0,0,0,0.0,0.0,0.0
False,86.35304524737822,0,0,0,0,0,0,0.0,0.0,0.0
False,86.1285707654434,0,0,0,0,0,0,0.0,0.0,0.0
False,86.03586690101616,0,0,0,0,0,0,0.0,0.0,0.0
False,86.0259771587916,0,0,0,0,0,0,0.0,0.0,0.0
False,86.16276101078957,0,0,0,0,0,0,0.0,0.0,0.0
False,86.40733093701301,0,0,0,0,0,0,0.0,0.0,0.0
False,86.63909935107347,0,0,0,0,0,0,0.0,0.0,0.0
False,86.8973191935587,0,0,0,0,0,0,0.0,0.0,0.0
False,87.3346018119486,0,0,0,0,0,0,0.0,0.0,0.0
False,87.87073653814531,0,0,0,0,0,0,0.0,0.0,0.0
False,88.2992880597703,0,0,0,0,0,0,0.0,0.0,0.0
False,88.51536180612209,0,0,0,0,0,0,0.0,0.0,0.0
False,88.60772821078665,0,0,0,0,0,0,0.0,0.0,0.0
False,88.73184012147837,0,0,0,0,0,0,0.0,0.0,0.0
False,88.91680639745027,0,0,0,0,0,0,0.0,0.0,0.0
False,89.20205985174607,0,0,0,0,0,9.525,0.0,0.0,0.0
False,89.52094025758234,0,0,0,0,0,9.525,0.0,0.0,0.0
False,89.87204689763153,0,0,0,0,0,9.525,0.0,0.0,0.0
False,90.20914667927471,0,0,0,0,0,8.11695652173913,0.0,0.0,0.0
False,90.51028824905063,0,0,0,0,0,7.7390625,0.0,0.0,0.0
False,90.79873428493634,0,0,0,0,0,7.044905660377359,0.0,0.0,0.0
False,91.04968096537988,0,0,0,0,0,6.700552050473187,0.0,0.0,0.0
False,91.39721380084512,0,0,0,0,0,6.7,0.0,0.0,0.0
False,91.92078955069789,0,0,0,0,0,6.707395287958116,0.0,0.0,0.0
False,92.7491764962976,0,0,0,0,0,6.525540865384615,0.0,0.0,0.0
False,93.81900377789607,0,0,0,0,0,6.46651376146789,0.0,0.0,0.0
False,95.1886252415306,0,0,0,0,0,6.536343115124153,0.0,0.0,0.0
False,96.86594605780105,0,0,0,0,0,6.514841986455982,0.0,0.0,0.0
False,98.8314496570149,0,0,0,0,0,6.68380195599022,0.0,0.0,0.0
False,101.1821211838946,0,0,0,0,0,6.6675,0.0,0.0,0.0
False,103.70488336552572,0,0,0,0,0,7.75959051724138,0.0,0.0,0.0
False,105.8851458371894,0,0,0,0,0,9.182374100719425,0.0,0.0,0.0
False,107.34189987699536,0,0,0,0,0,9.525,0.0,0.0,0.0
False,108.1650861439536,0,0,0,0,0,9.525,0.0,0.0,0.0
False,108.58920986467864,0,0,0,0,0,9.052127659574468,0.0,0.0,0.0
False,109.00170470669815,0,0,0,0,0,8.289324324324324,0.0,0.0,0.0
False,109.58726303262526,0,0,0,0,0,7.500937500000001,0.0,0.0,0.0
False,110.3365809950675,0,0,0,0,0,7.126368613138686,0.0,0.0,0.0
False,111.1407667303442,0,0,0,0,0,6.918157894736843,0.0,0.0,0.0
False,111.89557238302889,0,0,0,0,0,6.7945,0.0,0.0,0.0
False,112.56034230828571,0,0,0,0,0,7.027808988764045,0.0,0.0,0.0
False,113.05442434680269,0,0,0,0,0,6.717257462686568,0.0,0.0,0.0
False,113.35375683227339,0,0,0,0,0,6.803571428571429,0.0,0.0,0.0
