active,angle,s0,s1,s2,s3,s4,line_position,x,y,theta
False,79.101,0,0,0,0,0,0,0.0,0.0,0.0
False,79.1,0,0,0,0,0,0,0.0,0.0,0.0
False,79.099,0,0,0,0,0,0,0.0,0.0,0.0
False,79.098,0,0,0,0,0,0,0.0,0.0,0.0
False,79.095,0,0,0,0,0,0,0.0,0.0,0.0
False,79.093,0,0,0,0,0,0,0.0,0.0,0.0
False,79.088,0,0,0,0,0,0,0.0,0.0,0.0
False,79.085,0,0,0,0,0,0,0.0,0.0,0.0
False,79.083,0,0,0,0,0,0,0.0,0.0,0.0
False,79.084,0,0,0,0,0,0,0.0,0.0,0.0
False,79.079,0,0,0,0,0,0,0.0,0.0,0.0
False,79.077,0,0,0,0,0,0,0.0,0.0,0.0
False,79.075,0,0,0,0,0,0,0.0,0.0,0.0
False,79.073,0,0,0,0,0,0,0.0,0.0,0.0
False,79.072,0,0,0,0,0,0,0.0,0.0,0.0
False,79.07,0,0,0,0,0,0,0.0,0.0,0.0
False,79.07,0,0,0,0,0,0,0.0,0.0,0.0
False,79.07,0,0,0,0,0,0,0.0,0.0,0.0
False,79.069,0,0,0,0,0,0,0.0,0.0,0.0
False,79.067,0,0,0,0,0,0,0.0,0.0,0.0
False,79.065,0,0,0,0,0,0,0.0,0.0,0.0
False,79.061,0,0,0,0,0,0,0.0,0.0,0.0
False,79.055,0,0,0,0,0,0,0.0,0.0,0.0
False,79.053,0,0,0,0,0,0,0.0,0.0,0.0
False,79.05,0,0,0,0,0,0,0.0,0.0,0.0
False,79.05,0,0,0,0,0,0,0.0,0.0,0.0
False,79.049,0,0,0,0,0,0,0.0,0.0,0.0
False,79.043,0,0,0,0,0,0,0.0,0.0,0.0
False,79.037,0,0,0,0,0,0,0.0,0.0,0.0
False,79.036,0,0,0,0,0,0,0.0,0.0,0.0
False,79.036,0,0,0,0,0,0,0.0,0.0,0.0
False,79.036,0,0,0,0,0,0,0.0,0.0,0.0
False,79.036,0,0,0,0,0,0,0.0,0.0,0.0
False,79.031,0,0,0,0,0,0,0.0,0.0,0.0
False,79.029,0,0,0,0,0,0,0.0,0.0,0.0
False,79.032,0,0,0,0,0,0,0.0,0.0,0.0
False,79.038,0,0,0,0,0,0,0.0,0.0,0.0
False,79.036,0,0,0,0,0,0,0.0,0.0,0.0
False,79.03,0,0,0,0,0,0,0.0,0.0,0.0
False,79.03,0,0,0,0,0,0,0.0,0.0,0.0
False,79.032,0,0,0,0,0,0,0.0,0.0,0.0
False,79.036,0,0,0,0,0,0,0.0,0.0,0.0
False,79.035,0,0,0,0,0,0,0.0,0.0,0.0
False,79.034,0,0,0,0,0,0,0.0,0.0,0.0
False,79.035,0,0,0,0,0,0,0.0,0.0,0.0
False,79.04,0,0,0,0,0,0,0.0,0.0,0.0
False,79.041,0,0,0,0,0,0,0.0,0.0,0.0
False,79.042,0,0,0,0,0,0,0.0,0.0,0.0
False,79.044,0,0,0,0,0,0,0.0,0.0,0.0
False,79.045,0,0,0,0,0,0,0.0,0.0,0.0
False,79.044,0,0,0,0,0,0,0.0,0.0,0.0
False,79.045,0,0,0,0,0,0,0.0,0.0,0.0
False,79.046,0,0,0,0,0,0,0.0,0.0,0.0
False,79.049,0,0,0,0,0,0,0.0,0.0,0.0
False,79.054,0,0,0,0,0,0,0.0,0.0,0.0
False,79.057,0,0,0,0,0,0,0.0,0.0,0.0
False,79.057,0,0,0,0,0,0,0.0,0.0,0.0
False,79.055,0,0,0,0,0,0,0.0,0.0,0.0
False,79.058,0,0,0,0,0,0,0.0,0.0,0.0
False,79.061,0,0,0,0,0,0,0.0,0.0,0.0
False,79.058,0,0,0,0,0,0,0.0,0.0,0.0
False,79.054,0,0,0,0,0,0,0.0,0.0,0.0
False,79.054,0,0,0,0,0,0,0.0,0.0,0.0
False,79.054,0,0,0,0,0,0,0.0,0.0,0.0
False,79.054,0,0,0,0,0,0,0.0,0.0,0.0
False,79.048,0,0,0,0,0,0,0.0,0.0,0.0
False,79.045,0,0,0,0,0,0,0.0,0.0,0.0
False,79.046,0,0,0,0,0,0,0.0,0.0,0.0
False,79.047,0,0,0,0,0,0,0.0,0.0,0.0
False,79.049,0,0,0,0,0,0,0.0,0.0,0.0
False,79.05,0,0,0,0,0,0,0.0,0.0,0.0
False,79.05,0,0,0,0,0,0,0.0,0.0,0.0
False,79.049,0,0,0,0,0,0,0.0,0.0,0.0
False,79.047,0,0,0,0,0,0,0.0,0.0,0.0
False,79.046,0,0,0,0,0,0,0.0,0.0,0.0
False,79.044,0,0,0,0,0,0,0.0,0.0,0.0
False,79.044,0,0,0,0,0,0,0.0,0.0,0.0
False,79.045,0,0,0,0,0,0,0.0,0.0,0.0
False,79.042,0,0,0,0,0,0,0.0,0.0,0.0
False,79.041,0,0,0,0,0,0,0.0,0.0,0.0
False,79.04,0,0,0,0,0,0,0.0,0.0,0.0
False,79.039,0,0,0,0,0,0,0.0,0.0,0.0
False,79.04,0,0,0,0,0,0,0.0,0.0,0.0
False,79.041,0,0,0,0,0,0,0.0,0.0,0.0
False,79.039,0,0,0,0,0,0,0.0,0.0,0.0
False,79.037,0,0,0,0,0,0,0.0,0.0,0.0
False,79.037,0,0,0,0,0,0,0.0,0.0,0.0
False,79.037,0,0,0,0,0,0,0.0,0.0,0.0
False,79.037,0,0,0,0,0,0,0.0,0.0,0.0
False,79.036,0,0,0,0,0,0,0.0,0.0,0.0
False,79.032,0,0,0,0,0,0,0.0,0.0,0.0
False,79.03,0,0,0,0,0,0,0.0,0.0,0.0
False,79.031,0,0,0,0,0,0,0.0,0.0,0.0
False,79.031,0,0,0,0,0,0,0.0,0.0,0.0
False,79.028,0,0,0,0,0,0,0.0,0.0,0.0
False,79.029,0,0,0,0,0,0,0.0,0.0,0.0
False,79.026,0,0,0,0,0,0,0.0,0.0,0.0
False,79.025,0,0,0,0,0,0,0.0,0.0,0.0
False,79.024,0,0,0,0,0,0,0.0,0.0,0.0
False,79.026,0,0,0,0,0,0,0.0,0.0,0.0
False,79.025,0,0,0,0,0,0,0.0,0.0,0.0
False,79.022,0,0,0,0,0,0,0.0,0.0,0.0
False,79.017,0,0,0,0,0,0,0.0,0.0,0.0
False,79.015,0,0,0,0,0,0,0.0,0.0,0.0
False,79.014,0,0,0,0,0,0,0.0,0.0,0.0
False,79.021,0,0,0,0,0,0,0.0,0.0,0.0
False,79.03,0,0,0,0,0,0,0.0,0.0,0.0
False,79.035,0,0,0,0,0,0,0.0,0.0,0.0
False,79.04,0,0,0,0,0,0,0.0,0.0,0.0
False,79.038,0,0,0,0,0,0,0.0,0.0,0.0
False,79.036,0,0,0,0,0,0,0.0,0.0,0.0
False,79.047,0,0,0,0,0,0,0.0,0.0,0.0
False,79.055,0,0,0,0,0,0,0.0,0.0,0.0
False,79.05,0,0,0,0,0,0,0.0,0.0,0.0
False,79.043,0,0,0,0,0,0,0.0,0.0,0.0
False,79.044,0,0,0,0,0,0,0.0,0.0,0.0
False,79.062,0,0,0,0,0,0,0.0,0.0,0.0
False,79.081,0,0,0,0,0,0,0.0,0.0,0.0
False,79.088,0,0,0,0,0,0,0.0,0.0,0.0
False,79.078,0,0,0,0,0,0,0.0,0.0,0.0
False,79.063,0,0,0,0,0,0,0.0,0.0,0.0
False,79.06,0,0,0,0,0,0,0.0,0.0,0.0
False,79.071,0,0,0,0,0,0,0.0,0.0,0.0
False,79.088,0,0,0,0,0,0,0.0,0.0,0.0
False,79.093,0,0,0,0,0,0,0.0,0.0,0.0
False,79.083,0,0,0,0,0,0,0.0,0.0,0.0
False,79.066,0,0,0,0,0,0,0.0,0.0,0.0
False,79.062,0,0,0,0,0,0,0.0,0.0,0.0
False,79.052,0,0,0,0,0,0,0.0,0.0,0.0
False,79.041,0,0,0,0,0,0,0.0,0.0,0.0
False,79.041,0,0,0,0,0,0,0.0,0.0,0.0
False,79.038,0,0,0,0,0,0,0.0,0.0,0.0
False,79.037,0,0,0,0,0,0,0.0,0.0,0.0
False,79.028,0,0,0,0,0,0,0.0,0.0,0.0
False,79.014,0,0,0,0,0,0,0.0,0.0,0.0
False,79.0,0,0,0,0,0,0,0.0,0.0,0.0
False,79.007,0,0,0,0,0,0,0.0,0.0,0.0
False,79.018,0,0,0,0,0,0,0.0,0.0,0.0
False,79.022,0,0,0,0,0,0,0.0,0.0,0.0
False,79.017,0,0,0,0,0,0,0.0,0.0,0.0
False,79.002,0,0,0,0,0,0,0.0,0.0,0.0
False,78.994,0,0,0,0,0,0,0.0,0.0,0.0
False,78.997,0,0,0,0,0,0,0.0,0.0,0.0
False,78.997,0,0,0,0,0,0,0.0,0.0,0.0
False,78.993,0,0,0,0,0,0,0.0,0.0,0.0
False,78.992,0,0,0,0,0,0,0.0,0.0,0.0
False,78.99,0,0,0,0,0,0,0.0,0.0,0.0
False,78.988,0,0,0,0,0,0,0.0,0.0,0.0
False,78.982,0,0,0,0,0,0,0.0,0.0,0.0
False,78.978,0,0,0,0,0,0,0.0,0.0,0.0
False,78.975,0,0,0,0,0,0,0.0,0.0,0.0
False,78.98,0,0,0,0,0,0,0.0,0.0,0.0
False,78.983,0,0,0,0,0,0,0.0,0.0,0.0
False,78.983,0,0,0,0,0,0,0.0,0.0,0.0
False,78.981,0,0,0,0,0,0,0.0,0.0,0.0
False,78.969,0,0,0,0,0,0,0.0,0.0,0.0
False,78.965,0,0,0,0,0,0,0.0,0.0,0.0
False,78.964,0,0,0,0,0,0,0.0,0.0,0.0
False,78.945,0,0,0,0,0,0,0.0,0.0,0.0
False,78.918,0,0,0,0,0,0,0.0,0.0,0.0
False,78.919,0,0,0,0,0,0,0.0,0.0,0.0
False,78.94,0,0,0,0,0,0,0.0,0.0,0.0
False,78.944,0,0,0,0,0,0,0.0,0.0,0.0
False,78.949,0,0,0,0,0,0,0.0,0.0,0.0
False,78.921,0,0,0,0,0,0,0.0,0.0,0.0
False,78.887,0,0,0,0,0,0,0.0,0.0,0.0
False,78.87,0,0,0,0,0,0,0.0,0.0,0.0
