phase,x,y,theta,alpha,ref_x,ref_y,ref_theta,ref_alpha
0,0.0,0.0,0.0,90.27482747902492,0,0,0.0,11.2
0,0.0,0.0,0.0,90.27244420617646,0,0,0.0,11.2
0,0.0,0.0,0.0,90.27258768380213,0,0,0.0,11.2
0,0.0,0.0,0.0,90.27112099675735,0,0,0.0,11.2
0,0.0,0.0,0.0,90.27107702772649,0,0,0.0,11.2
0,0.0,0.0,0.0,90.26941992005285,0,0,0.0,11.2
0,0.0,0.0,0.0,90.26926751432525,0,0,0.0,11.2
0,0.0,0.0,0.0,90.26849745907649,0,0,0.0,11.2
0,0.0,0.0,0.0,90.26664297838055,0,0,0.0,11.2
0,0.0,0.0,0.0,90.26520271769326,0,0,0.0,11.2
0,0.0,0.0,0.0,90.26424973895878,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2618074193536,0,0,0.0,11.2
0,0.0,0.0,0.0,90.26144740386191,0,0,0.0,11.2
0,0.0,0.0,0.0,90.26101739559411,0,0,0.0,11.2
0,0.0,0.0,0.0,90.25802028266044,0,0,0.0,11.2
0,0.0,0.0,0.0,90.25712758778127,0,0,0.0,11.2
0,0.0,0.0,0.0,90.25628712112393,0,0,0.0,11.2
0,0.0,0.0,0.0,90.25494550007666,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2547368827082,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2534845840041,0,0,0.0,11.2
0,0.0,0.0,0.0,90.25267393398482,0,0,0.0,11.2
0,0.0,0.0,0.0,90.25234066414222,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2494333649027,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24868633327323,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24534552614539,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24571851088638,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24400299623586,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24184839134402,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24172614183546,0,0,0.0,11.2
0,0.0,0.0,0.0,90.240052930396,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23997473376069,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24049088292514,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23944926426006,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23848170822664,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23699057116129,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23860457796195,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2386602431842,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23458230185179,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23482870507651,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23668191818531,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23540292888218,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2355577490066,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23930143373568,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23924366806905,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23763119774978,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23711053386084,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23659543350563,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2355555788729,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23544777818498,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23633314305106,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23410250073475,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23506846074675,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23652990787187,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2312992600367,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24535964069791,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24051178609854,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24398141462746,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24736599254501,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2392255175732,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24456983276956,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2436332118687,0,0,0.0,11.2
0,0.0,0.0,0.0,90.243164675855,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24687727240646,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24382132755068,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24818000010245,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24998669093257,0,0,0.0,11.2
0,0.0,0.0,0.0,90.244017964229,0,0,0.0,11.2
0,0.0,0.0,0.0,90.25219300618714,0,0,0.0,11.2
0,0.0,0.0,0.0,90.24274770598679,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2448812903666,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23978184923939,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23681539937066,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23962465613718,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23565613799337,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2362586382285,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23628665317571,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23106635972046,0,0,0.0,11.2
0,0.0,0.0,0.0,90.23109460808115,0,0,0.0,11.2
0,0.0,0.0,0.0,90.22695679579695,0,0,0.0,11.2
0,0.0,0.0,0.0,90.22543751814051,0,0,0.0,11.2
0,0.0,0.0,0.0,90.22239386917076,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2178750078806,0,0,0.0,11.2
0,0.0,0.0,0.0,90.2185862149874,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21925024357063,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21888449310389,0,0,0.0,11.2
0,0.0,0.0,0.0,90.22167143191494,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21973078185457,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21933100215382,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21470904430325,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21543189249331,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21548557710736,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21200248019336,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21215103197022,0,0,0.0,11.2
0,0.0,0.0,0.0,90.20917419909566,0,0,0.0,11.2
0,0.0,0.0,0.0,90.21036982843233,0,0,0.0,11.2
0,0.0,0.0,0.0,90.20785286278347,0,0,0.0,11.2
