active,state,x,y,theta
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
0,1,0.0,0.0,0.0
