command,delta_left,delta_right
-100,-4,-6
-100,-10,-11
-100,-10,-12
-100,-10,-11
-100,-10,-11
-100,-9,-11
-100,-10,-12
-100,-5,-5
-100,-10,-12
-100,-9,-12
-100,-9,-11
-100,-9,-11
-100,-9,-11
-100,-9,-11
-100,-4,-6
-100,-9,-11
-100,-9,-12
-100,-9,-12
-100,-9,-12
-100,-9,-11
-100,-10,-12
-100,-5,-6
-100,-11,-12
-100,-11,-12
-100,-10,-12
-100,-11,-12
-100,-10,-12
-100,-12,-11
-100,-6,-6
-100,-12,-12
-100,-11,-12
-100,-11,-12
-100,-12,-11
-100,-10,-12
-100,-6,-6
-100,-12,-12
-100,-12,-12
-100,-11,-12
-100,-12,-11
-100,-11,-11
-100,-12,-12
-100,-6,-6
-100,-12,-12
-100,-12,-12
-100,-12,-12
-100,-12,-12
-100,-12,-11
-100,-11,-12
-100,-6,-6
-100,-13,-13
-100,-12,-12
-100,-12,-12
-100,-12,-12
-100,-12,-11
-100,-6,-7
-100,-12,-12
-100,-13,-12
-100,-12,-13
-100,-12,-12
-100,-12,-11
-100,-11,-12
-100,-7,-6
-100,-12,-13
-100,-12,-12
-100,-13,-12
-100,-12,-12
-100,-11,-12
-100,-13,-12
-100,-6,-7
-100,-13,-12
-100,-12,-12
-100,-13,-12
-100,-12,-12
-100,-12,-12
-100,-12,-12
-100,-6,-6
-100,-14,-12
-100,-13,-12
-100,-13,-12
-100,-12,-12
-140,-13,-12
-140,-7,-7
-140,-16,-15
-140,-18,-17
-140,-17,-17
-140,-17,-18
-140,-18,-18
-140,-9,-9
-140,-18,-19
-140,-19,-19
-140,-19,-19
-140,-19,-18
-140,-18,-18
-140,-19,-19
-140,-10,-9
-140,-19,-20
-140,-20,-20
-140,-18,-19
-140,-19,-18
-140,-19,-19
-140,-10,-10
-140,-20,-20
-140,-19,-19
-140,-19,-19
-140,-18,-18
-140,-18,-19
-140,-10,-9
-140,-18,-19
-140,-19,-19
-140,-19,-18
-140,-18,-18
-140,-18,-18
-140,-18,-18
-140,-10,-10
-140,-20,-19
-140,-18,-18
-140,-19,-18
-140,-19,-18
-140,-20,-18
-140,-10,-10
-140,-20,-19
-140,-20,-18
-140,-19,-18
-140,-20,-18
-140,-19,-18
-140,-10,-10
-140,-21,-18
-140,-20,-19
-140,-20,-19
-140,-20,-18
-140,-20,-18
-140,-10,-9
-140,-20,-20
-140,-21,-19
-140,-20,-19
-140,-20,-18
-140,-20,-18
-140,-20,-19
-140,-11,-11
-140,-21,-19
-140,-20,-19
-140,-21,-18
-140,-19,-18
-140,-21,-17
-140,-10,-10
-140,-21,-19
-140,-21,-18
-140,-20,-18
-140,-20,-18
-140,-20,-19
-140,-11,-9
-140,-20,-20
-140,-21,-19
-140,-21,-19
-140,-19,-19
-140,-20,-18
-140,-10,-10
-140,-21,-20
-140,-20,-19
