phase,raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z,delta_encoder,mag_orient,theta
0,30,-482,-1255,89,-163,16869,0.0,39.16743462477342,0.0
0,30,-482,-1255,89,-160,16884,0.0,39.622145571091195,0.0
0,30,-482,-1255,78,-162,16889,0.0,36.32466106510632,0.0
0,30,-482,-1255,101,-166,16890,0.0,41.75989529686406,0.0
0,30,-482,-1255,67,-163,16895,0.0,33.038306600469724,0.0
0,30,-482,-1255,84,-172,16905,0.0,36.58803614486988,0.0
0,30,-482,-1255,94,-177,16900,0.0,38.45053774411097,0.0
0,55,-469,-1223,100,-166,16876,0.0,40.867612019138924,0.0
0,55,-469,-1223,94,-176,16878,0.0,40.28645953987976,0.0
0,55,-469,-1223,82,-189,16881,0.0,33.359508354806984,0.0
0,55,-469,-1223,94,-173,16874,0.0,38.35502136232267,0.0
0,55,-469,-1223,83,-171,16870,0.0,23.70668199989119,0.0
0,55,-469,-1223,79,-178,16889,0.0,35.53789560963683,0.0
0,55,-469,-1223,106,-178,16891,0.0,32.649195235413295,0.0
0,53,-499,-1283,86,-157,16887,0.0,42.191919331856475,0.0
0,53,-499,-1283,88,-166,16868,0.0,47.09842257580112,0.0
0,53,-499,-1283,71,-172,16890,0.0,40.083463782034244,0.0
0,53,-499,-1283,91,-166,16908,0.0,39.40839552954436,0.0
0,53,-499,-1283,95,-151,16887,0.0,48.529396035361195,0.0
0,53,-499,-1283,79,-184,16915,0.0,37.87001572860968,0.0
0,53,-499,-1283,89,-163,16923,0.0,40.48493719384624,0.0
0,19,-474,-1223,80,-182,16895,0.0,49.83295470687242,0.0
0,19,-474,-1223,84,-169,16883,0.0,34.28220162376463,0.0
0,19,-474,-1223,82,-151,16895,0.0,48.90549474289442,0.0
0,19,-474,-1223,89,-167,16897,0.0,29.46054363041448,0.0
0,19,-474,-1223,73,-174,16898,0.0,36.5107359057449,0.0
0,19,-474,-1223,73,-157,16871,0.0,37.003224939914745,0.0
0,19,-474,-1223,71,-155,16876,0.0,37.922665881948284,0.0
0,51,-526,-1277,103,-176,16878,0.0,31.69625067235667,0.0
0,51,-526,-1277,69,-166,16886,0.0,37.25359327475273,0.0
0,51,-526,-1277,87,-158,16883,0.0,28.81651228307727,0.0
0,51,-526,-1277,82,-169,16890,0.0,34.20137046125302,0.0
0,51,-526,-1277,98,-153,16922,0.0,36.95385150138655,0.0
0,51,-526,-1277,70,-171,16849,0.0,35.78925276194677,0.0
0,51,-526,-1277,73,-164,16874,0.0,33.448255917566826,0.0
0,55,-485,-1271,90,-160,16902,0.0,38.82374716695996,0.0
0,55,-485,-1271,106,-174,16890,0.0,40.680395162417405,0.0
0,55,-485,-1271,82,-194,16881,0.0,32.39525001964274,0.0
0,55,-485,-1271,84,-191,16891,0.0,33.21134000785933,0.0
0,55,-485,-1271,73,-168,16908,0.0,33.06750680794439,0.0
0,55,-485,-1271,97,-150,16898,0.0,42.315776533815985,0.0
0,55,-485,-1271,106,-179,16903,0.0,39.95872734982378,0.0
0,274,-399,-877,64,-166,16899,0.0,25.020391026985873,0.0
0,274,-399,-877,82,-175,16891,0.0,28.910448179819134,0.0
0,274,-399,-877,97,-155,16913,0.0,35.745856787404,0.0
0,274,-399,-877,83,-171,16906,0.0,29.690347056180055,0.0
0,274,-399,-877,92,-174,16907,0.0,31.60099997220745,0.0
0,274,-399,-877,92,-185,16883,0.0,30.169002808537094,0.0
0,274,-399,-877,82,-174,16895,0.0,29.03745423131717,0.0
0,19,-469,-1255,105,-165,16898,0.0,43.228051422172285,0.0
0,19,-469,-1255,82,-158,16895,0.0,38.52581429907876,0.0
0,19,-469,-1255,71,-178,16910,0.0,32.89552886823337,0.0
0,19,-469,-1255,90,-169,16879,0.0,43.18807578544545,0.0
0,19,-469,-1255,63,-183,16886,0.0,32.009696980277305,0.0
0,19,-469,-1255,76,-156,16884,0.0,25.90076646585276,0.0
0,19,-469,-1255,78,-166,16884,0.0,34.572245521561065,0.0
0,19,-469,-1255,89,-167,16892,0.0,49.96864354718668,0.0
0,9,-510,-1205,93,-171,16875,0.0,42.573473432509495,0.0
0,9,-510,-1205,78,-161,16892,0.0,50.009532013172446,0.0
0,9,-510,-1205,72,-176,16888,0.0,37.099328675609435,0.0
0,9,-510,-1205,64,-146,16885,0.0,39.79627423351734,0.0
0,9,-510,-1205,86,-185,16872,0.0,39.98824097932548,0.0
0,9,-510,-1205,71,-155,16864,0.0,40.813361899210896,0.0
0,9,-510,-1205,94,-169,16890,0.0,42.478330059741985,0.0
0,47,-480,-1225,110,-171,16910,0.0,32.8651466292328,0.0
0,47,-480,-1225,97,-163,16897,0.0,36.39918641258735,0.0
0,47,-480,-1225,81,-177,16910,0.0,37.02954912644671,0.0
0,47,-480,-1225,95,-159,16885,0.0,39.56033231424885,0.0
0,47,-480,-1225,74,-182,16901,0.0,26.380969055986974,0.0
0,47,-480,-1225,82,-170,16896,0.0,35.0515700252194,0.0
0,47,-480,-1225,90,-166,16889,0.0,28.90369269687401,0.0
0,32,-494,-1218,82,-168,16884,0.0,36.13635018281094,0.0
0,32,-494,-1218,90,-149,16893,0.0,39.391042117544345,0.0
0,32,-494,-1218,107,-163,16886,0.0,40.38537284890856,0.0
0,32,-494,-1218,90,-163,16899,0.0,39.51950935354322,0.0
0,32,-494,-1218,99,-163,16882,0.0,41.8224098015757,0.0
0,32,-494,-1218,92,-158,16887,0.0,40.817441491439205,0.0
0,32,-494,-1218,87,-174,16898,0.0,37.1861360871699,0.0
0,57,-497,-1198,91,-179,16894,0.0,36.717381825305694,0.0
0,57,-497,-1198,103,-178,16912,0.0,39.742739929384946,0.0
0,57,-497,-1198,80,-158,16904,0.0,36.727726604042076,0.0
0,57,-497,-1198,90,-165,16912,0.0,38.40484783921854,0.0
0,57,-497,-1198,79,-187,16900,0.0,32.74699675361303,0.0
0,57,-497,-1198,87,-165,16881,0.0,37.615574033297364,0.0
0,57,-497,-1198,81,-160,16905,0.0,36.71464125469512,0.0
0,90,-516,-1139,83,-173,16897,0.0,34.513832448928014,0.0
0,90,-516,-1139,94,-152,16915,0.0,40.564551758710614,0.0
0,90,-516,-1139,-176,-399,16840,0.0,-13.430759833948796,0.0
0,90,-516,-1139,31,62,17189,0.0,162.94706228138614,0.0
0,90,-516,-1139,377,-2,16658,0.0,96.64920743966222,0.0
0,90,-516,-1139,216,-519,16835,0.0,30.245880526084527,0.0
0,90,-516,-1139,54,130,16818,0.0,166.86825299339156,0.0
0,129,-501,-1163,-39,-323,16916,0.0,9.003390769755189,0.0
0,129,-501,-1163,197,-156,16845,0.0,87.75726410718114,0.0
0,129,-501,-1163,278,-22,16829,0.0,46.4805251797652,0.0
0,129,-501,-1163,-22,-284,16960,0.0,-22.694089351349508,0.0
0,129,-501,-1163,-164,-109,17181,0.0,20.01655861466607,0.0
0,129,-501,-1163,131,-261,17076,0.0,42.999173451326456,0.0
0,129,-501,-1163,242,-328,16989,0.0,72.43845041436084,0.0
0,87,-474,-1165,-22,-121,16906,0.0,110.01312919135155,0.0
0,87,-474,-1165,-151,-231,17088,0.0,0.4125917782350356,0.0
0,87,-474,-1165,129,-100,16905,0.0,90.59972080129576,0.0
0,87,-474,-1165,237,-220,16995,0.0,65.70710115002782,0.0
0,87,-474,-1165,76,-247,16691,0.0,-4.940725998287867,0.0
0,87,-474,-1165,-56,-90,16899,0.0,-1.1629168155990617,0.0
0,87,-474,-1165,67,-204,16805,0.0,41.69234861579569,0.0
0,93,-508,-1237,307,-111,16741,0.0,63.142516412830396,0.0
0,93,-508,-1237,154,-112,16967,0.0,25.32158172228112,0.0
0,93,-508,-1237,-72,-223,16874,0.0,-9.357946388269317,0.0
0,93,-508,-1237,-10,-166,17020,0.0,31.50767077021329,0.0
0,93,-508,-1237,109,-168,16969,0.0,52.30915744687226,0.0
0,93,-508,-1237,34,-261,16955,0.0,8.758649994864664,0.0
0,93,-508,-1237,45,-119,16912,0.0,40.2471492218175,0.0
0,69,-515,-1310,149,-144,16912,0.0,48.870761852381065,0.0
0,69,-515,-1310,112,-210,16958,0.0,33.658188781383416,0.0
0,69,-515,-1310,56,-187,16883,0.0,25.412684924943914,0.0
0,69,-515,-1310,168,-161,16874,0.0,54.16728949804365,0.0
0,69,-515,-1310,-4,-161,17065,0.0,7.787547548868989,0.0
0,69,-515,-1310,-748,135,16314,0.0,-84.92505618190047,0.0
0,69,-515,-1310,-207,-148,17440,0.0,-43.77625052905892,0.0
0,63,-516,-1238,-90,-834,19293,0.0,3.553872228069,0.0
0,63,-516,-1238,-1315,-235,17788,0.0,-61.66757892020417,0.0
0,63,-516,-1238,-734,211,17692,0.0,-90.6307244485888,0.0
0,63,-516,-1238,559,-322,18320,0.0,66.11626880091525,0.0
0,63,-516,-1238,961,-317,16182,0.0,74.32688057334707,0.0
0,63,-516,-1238,1260,-238,15482,0.0,79.23677733352433,0.0
0,63,-516,-1238,1890,-319,16436,0.0,76.35325461264958,0.0
0,133,-369,-934,1781,-232,16421,0.0,79.2311818370413,0.0
0,133,-369,-934,929,-296,16985,0.0,75.60606410935374,0.0
0,133,-369,-934,510,-97,18246,0.0,85.94579003833907,0.0
0,133,-369,-934,169,121,19186,0.0,134.93420517652973,0.0
0,133,-369,-934,-62,-107,19038,0.0,-19.51191509634257,0.0
0,133,-369,-934,727,-201,18482,0.0,74.66309701494967,0.0
0,133,-369,-934,1973,-322,17531,0.0,75.9941084029186,0.0
0,-403,-511,-1263,2827,-353,16348,0.0,90.55257068334829,0.0
0,-403,-511,-1263,3363,-166,15954,0.0,90.38794559190528,0.0
0,-403,-511,-1263,3486,97,16646,0.0,96.27106276064448,0.0
0,-403,-511,-1263,2864,-19,17546,0.0,97.52229000247901,0.0
0,-403,-511,-1263,2458,-132,18272,0.0,93.64904406999172,0.0
0,-403,-511,-1263,2923,-156,18457,0.0,93.3956694357376,0.0
0,-403,-511,-1263,3657,-124,18009,0.0,91.8389207365907,0.0
0,-1026,-467,-1141,4479,41,17192,0.0,110.02480152346958,0.0
0,-1026,-467,-1141,5296,36,16065,0.0,100.30781135399903,0.0
0,-1026,-467,-1141,6168,-283,15723,0.0,92.24322516963578,0.0
0,-1026,-467,-1141,6544,-379,14839,0.0,86.01642887689412,0.0
0,-1026,-467,-1141,7044,-535,14165,0.0,81.11880014803374,0.0
0,-1026,-467,-1141,7430,-981,14335,0.0,76.76633660208024,0.0
0,-1026,-467,-1141,7561,-1030,14776,0.0,81.2544243160321,0.0
0,-1677,-473,-923,7436,-221,14970,0.0,113.24989144666186,0.0
0,-1677,-473,-923,8878,1300,16102,0.0,120.3338555939191,0.0
0,-1677,-473,-923,8795,1718,14197,0.0,112.45158344531464,0.0
0,-1677,-473,-923,9133,-637,13141,0.0,89.28422734918159,0.0
0,-1677,-473,-923,10422,-1758,13200,0.0,83.01274012234775,0.0
0,-1677,-473,-923,10489,323,11146,0.0,79.7550705573121,0.0
0,-1677,-473,-923,11340,1264,11626,0.0,77.33466572576363,0.0
0,-2204,-481,-499,11167,-887,11563,0.0,104.8576423773345,0.0
0,-2204,-481,-499,11197,-155,11301,0.0,107.11800927666538,0.0
0,-2204,-481,-499,12114,745,10998,0.0,105.59676817736165,0.0
0,-2204,-481,-499,12460,-186,10278,0.0,95.55357020488366,0.0
0,-2204,-481,-499,12939,-717,10104,0.0,90.7513491315499,0.0
0,-2204,-481,-499,13494,138,9155,0.0,84.91096735546635,0.0
0,-2204,-481,-499,13699,282,8774,0.0,81.76022858111627,0.0
0,-2634,-508,-158,13781,-450,8060,0.0,99.4516009387338,0.0
0,-2634,-508,-158,13851,-184,8226,0.0,101.16234824254133,0.0
0,-2634,-508,-158,14108,147,7595,0.0,97.08380264686953,0.0
1,-2634,-508,-158,14577,-443,7821,0,95.30852172124109,0.0
1,-2634,-508,-158,14612,-141,6801,0.0,86.90649506027543,0.0
1,-2634,-508,-158,15048,336,5865,0.0,80.18687365580794,0.0
1,-2634,-508,-158,15298,-454,4866,0.0,74.92230094676758,0.0
1,-2758,-533,353,15363,-513,4924,0.0,97.76942499486049,0.0
1,-2758,-533,353,15580,207,4542,0.0,95.5793152108931,0.0
1,-2758,-533,353,15670,-151,4622,0.0,95.6968477181334,0.0
1,-2758,-533,353,15615,-498,4452,0.0,93.27188617109631,0.0
1,-2758,-533,353,15765,85,4372,0.0,94.42139592493906,0.0
1,-2758,-533,353,15887,-26,4327,0.0,91.9676754485754,0.0
1,-2758,-533,353,15887,-416,4293,0.0,92.09550536669072,0.0
1,-2754,-536,536,15914,-63,4217,0.0,98.98595877142579,0.0
1,-2754,-536,536,15931,75,4237,0.0,99.17731808076911,0.0
1,-2754,-536,536,15959,-236,4209,0.0,99.29967594072734,0.0
1,-2754,-536,536,15962,-174,4193,0.0,99.28903573525592,0.0
1,-2754,-536,536,15986,23,4155,0.0,99.77382122782657,0.0
1,-2754,-536,536,16007,-155,4169,0.0,98.48614809029598,0.0
1,-2754,-536,536,15946,-224,4147,0.0,98.73978848765799,0.0
1,-2766,-528,610,16007,-39,4173,0.0,102.8210603396645,0.0
1,-2766,-528,610,15942,-186,4293,0.0,103.4169659888428,0.0
1,-2766,-528,610,16028,-118,4610,0.24834724534306665,105.72151651900231,0.13681970203709334
1,-2766,-528,610,16139,146,4491,0.7450417360292,110.5852819229623,0.41045910611128
1,-2766,-528,610,16133,-384,6042,0.7450417360292,106.94920581280199,0.41045910611128
1,-2766,-528,610,15641,-345,5114,0.7450417360291999,110.3081219386352,0.41045910611127995
1,-2766,-528,610,15981,398,4385,0.9933889813722665,98.38465536269105,0.5472788081483733
1,-2758,-553,775,15789,200,5408,0.49669449068613325,121.8198481221506,0.2736394040741866
1,-2758,-553,775,16142,253,3651,0.49669449068613325,108.05091455410329,0.2736394040741866
1,-2758,-553,775,15689,-261,3365,0.0,117.77755156172672,-9.93923337957349e-17
1,-2758,-553,775,15631,-570,3287,-0.24834724534306574,112.79346996562539,-0.13681970203709296
1,-2758,-553,775,15335,-845,2720,-0.9933889813722665,105.61621973741303,-0.5472788081483734
1,-2758,-553,775,15767,-246,1679,-1.7384307174014673,87.38515487336288,-0.957737914259654
1,-2758,-553,775,16681,-626,-487,-2.483472453430668,76.704174543105,-1.3681970203709346
1,-2783,-566,1270,16568,-1131,1536,-3.228514189459869,108.36701019037064,-1.778656126482215
1,-2783,-566,1270,16953,-808,-178,-3.725208680146004,98.48579581452346,-2.052295530556403
1,-2783,-566,1270,16449,-707,1000,-3.9735559254890696,106.14333728265639,-2.1891152325934957
1,-2783,-566,1270,16009,-573,2328,-3.9735559254890696,114.62499176589976,-2.1891152325934957
1,-2783,-566,1270,15998,649,2298,-3.9735559254890696,118.8175877269309,-2.1891152325934957
1,-2783,-566,1270,16194,-227,1952,-3.9735559254890696,107.78058641913782,-2.1891152325934957
1,-2783,-566,1270,16732,-710,1164,-3.9735559254890696,114.52850100495861,-2.1891152325934957
1,-2766,-518,1240,16435,616,2222,-3.9735559254890696,112.94369819800922,-2.1891152325934957
1,-2766,-518,1240,16515,512,1987,-3.9735559254890696,113.6060070558385,-2.1891152325934957
1,-2766,-518,1240,16482,-346,1896,-3.9735559254890696,111.3850359929934,-2.1891152325934957
1,-2766,-518,1240,16417,332,1890,-3.725208680146004,114.49991681391106,-2.052295530556403
1,-2766,-518,1240,16488,360,1442,-3.725208680146004,111.25398011364489,-2.052295530556403
1,-2766,-518,1240,16148,-428,1637,-3.725208680146004,107.37718845840344,-2.052295530556403
1,-2766,-518,1240,17200,-740,-574,-3.228514189459869,97.00961308302107,-1.778656126482215
1,-2508,-417,1705,16144,-241,981,-2.483472453430668,118.47007277252827,-1.3681970203709346
1,-2508,-417,1705,17654,-113,-232,-1.7384307174014673,121.27290454155555,-0.957737914259654
1,-2508,-417,1705,17683,525,-1,-0.7450417360292008,113.40286790138161,-0.41045910611128067
1,-2508,-417,1705,17013,921,830,-0.2483472453430693,121.13864685592029,-0.13681970203709495
1,-2508,-417,1705,17392,265,-354,0.24834724534306396,119.48637500730334,0.1368197020370917
1,-2508,-417,1705,16698,348,-398,0.7450417360291972,120.99756647602548,0.4104591061112784
1,-2508,-417,1705,16453,-11,289,0.9933889813722647,122.80895578373092,0.5472788081483723
1,-2685,-505,1252,15707,-347,2303,1.490083472058398,104.5997224904226,0.8209182122225589
1,-2685,-505,1252,17156,412,1415,1.490083472058398,105.64501114765278,0.8209182122225589
1,-2685,-505,1252,15924,1248,2340,1.241736226715331,122.48480654519197,0.6840985101854654
1,-2685,-505,1252,15930,1960,2301,0.9933889813722647,128.45372705316632,0.5472788081483726
1,-2685,-505,1252,16903,165,2804,0.745041736029199,114.8422384500966,0.4104591061112797
1,-2685,-505,1252,15927,-1419,3473,0.7450417360291972,116.68302077191919,0.4104591061112788
1,-2685,-505,1252,15163,1004,4327,0.9933889813722665,144.39610721802146,0.5472788081483736
1,-2851,-495,675,16109,460,6750,0.9933889813722665,113.39635511227777,0.5472788081483736
1,-2851,-495,675,15772,-1023,4694,0.993388981372263,117.19562970419896,0.5472788081483715
1,-2851,-495,675,17051,603,6140,1.2417362267153287,107.74196732311462,0.6840985101854644
1,-2851,-495,675,15518,414,4827,0.9933889813722594,125.32302697972149,0.5472788081483696
1,-2851,-495,675,16207,-324,4600,0.7450417360291901,105.59786881753871,0.4104591061112748
1,-2851,-495,675,15584,-510,3687,0.9933889813722594,101.06007332415614,0.5472788081483696
1,-2851,-495,675,16633,495,3820,0.993388981372263,101.52912281427824,0.5472788081483715
1,-2851,-495,675,16096,-613,3886,0.993388981372263,97.93307170132553,0.5472788081483715
1,-2805,-530,826,15860,-668,3729,0.993388981372263,103.26406639575632,0.5472788081483715
1,-2805,-530,826,16465,14,2733,1.2417362267153251,100.09227592342839,0.6840985101854623
1,-2805,-530,826,16122,-151,-80,1.2417362267153251,87.76399986297277,0.6840985101854623
1,-2805,-530,826,16604,-516,670,0.9933889813722558,110.5269533790369,0.5472788081483676
1,-2805,-530,826,15305,-759,1796,0.9933889813722558,95.04948266187056,0.5472788081483676
1,-2805,-530,826,17762,1177,260,0.7450417360291937,82.0063622266055,0.41045910611127673
1,-2805,-530,826,16546,194,1748,0.24834724534306218,94.69646292649223,0.13681970203709104
1,-2836,-506,741,16659,-101,3181,0.24834724534306218,101.40029428491201,0.13681970203709104
1,-2836,-506,741,15556,639,3586,0.24834724534306218,108.22932523116985,0.13681970203709104
1,-2836,-506,741,14834,-25,8308,0.0,132.00583842541818,1.4908850069360235e-16
1,-2836,-506,741,16144,466,5982,0.2483472453430693,121.9608469237249,0.13681970203709495
1,-2836,-506,741,15853,-682,6134,-0.24834724534305508,118.23062575072419,-0.1368197020370868
1,-2836,-506,741,16170,68,7751,-0.49669449068612437,124.75545300654409,-0.2736394040741816
1,-2836,-506,741,15601,611,5714,-0.49669449068612437,123.70034338040259,-0.2736394040741816
1,-2818,-499,498,15281,-1203,5202,-0.49669449068612437,112.04052239250726,-0.2736394040741816
1,-2818,-499,498,15808,-961,3389,-0.24834724534305508,104.350768033661,-0.1368197020370868
1,-2818,-499,498,15823,-94,3667,1.4210854715202004e-14,102.72975436718596,8.00108287055666e-15
1,-2818,-499,498,15973,-339,3877,1.4210854715202004e-14,100.95653788111532,8.00108287055666e-15
1,-2818,-499,498,15788,-372,4356,-0.24834724534305508,99.5897460022386,-0.1368197020370868
1,-2818,-499,498,16155,96,3450,-0.24834724534305508,95.84929579586733,-0.1368197020370868
1,-2818,-499,498,15912,-118,4061,-0.24834724534305508,96.62748067199182,-0.1368197020370868
1,-2831,-514,646,16214,252,4048,1.4210854715202004e-14,102.4211906553685,8.00108287055666e-15
1,-2831,-514,646,16084,-105,4132,-0.49669449068612437,101.6181998029783,-0.2736394040741816
1,-2831,-514,646,16032,-173,4443,-0.7450417360291937,101.06507392892871,-0.41045910611127645
1,-2831,-514,646,15966,-303,4640,-1.7384307174014566,102.89942962206275,-0.9577379142596478
1,-2831,-514,646,16005,-339,4063,-2.235125208087595,100.92062605321391,-1.2313773183338375
1,-2831,-514,646,16069,-175,4185,-2.7318196987737338,103.93032731239971,-1.505016722408027
1,-2831,-514,646,15952,-322,4432,-3.4768614348029274,104.03637484821711,-1.9154758285193036
1,-2847,-525,646,16022,-246,3902,-3.973555925489066,102.47399949797534,-2.189115232593493
1,-2847,-525,646,15918,-229,4143,-4.221903170832135,105.38151579015313,-2.3259349346305878
1,-2847,-525,646,16009,-173,3977,-4.718597661518274,104.91369783667032,-2.5995743387047776
1,-2847,-525,646,15986,-404,3994,-4.718597661518274,107.09043468606605,-2.5995743387047776
1,-2847,-525,646,16036,-6,4250,-4.718597661518274,108.34714859028395,-2.5995743387047776
1,-2847,-525,646,15997,58,3768,-4.718597661518274,106.24201056363162,-2.5995743387047776
1,-2847,-525,646,15921,-587,4434,-4.718597661518274,105.84185082094828,-2.5995743387047776
1,-2807,-555,612,15982,-278,3976,-4.718597661518274,101.85608936099575,-2.5995743387047776
1,-2807,-555,612,15989,5,4334,-4.718597661518274,104.33621795629327,-2.5995743387047776
1,-2807,-555,612,15847,-389,4382,-4.718597661518274,102.75772854913139,-2.5995743387047776
1,-2807,-555,612,16024,-195,4359,-4.718597661518274,103.36195860693928,-2.5995743387047776
1,-2807,-555,612,15871,-46,4492,-4.718597661518274,104.95473478173238,-2.5995743387047776
