-2282,446,-1335
-1519,473,-972
-1519,499,-1026
-1558,453,-1020
-1570,474,-983
-1538,455,-1013
-1549,454,-1016
-1612,460,-1026
-1584,461,-1012
-1563,483,-1073
-1498,450,-1052
-1452,446,-1039
-1594,380,-1001
-2048,330,-742
-2543,339,-179
-2745,273,328
-2849,357,1045
-2680,549,1896
-2093,673,2907
-1397,677,3472
-643,408,3962
193,388,4311
1195,418,4674
1904,523,4652
2363,244,4694
1987,217,4636
974,429,4566
323,458,4380
-341,682,4128
-929,786,3829
-1658,882,3202
-2292,806,2588
-2679,640,1827
-2937,544,975
-2931,492,304
-2901,478,-178
-2689,439,-496
-2449,414,-758
-2306,442,-994
-2142,576,-1114
-1992,879,-1226
-1917,1358,-1243
-2016,1726,-1007
-2144,2638,-70
-1608,3136,1248
-645,3252,2165
732,3442,2237
1831,3315,2061
1777,3356,1217
1074,3363,487
237,3507,457
-637,3446,553
-760,3521,956
-999,3257,2016
-1086,2540,2977
-1174,1621,3420
-1592,586,3294
-2328,-212,2331
-2887,-164,901
-3004,714,-94
-2702,1861,-258
-1755,2995,61
-227,3587,826
1315,3527,1412
2105,3250,1757
2033,3260,1214
1420,3414,900
671,3598,873
17,3639,1259
-536,3475,1815
-982,2742,2820
-1482,1541,3301
-2141,364,2801
-2734,-376,1434
-2931,467,-204
-2617,1926,-401
-1669,3042,-17
-66,3575,646
1074,3497,788
1681,3334,927
1399,3348,587
692,3471,402
-252,3564,655
-1004,3393,1367
-1701,2570,2415
-2100,1191,2845
-2419,208,2470
-2637,-544,1525
-2767,-543,685
-2857,-52,55
-2863,820,-447
-2513,1578,-742
-2020,2159,-857
-1654,2530,-713
-1023,2925,-562
-1257,3281,586
-2101,2784,1191
-2140,2460,1852
-1928,2825,1486
-1905,2801,1608
-1657,2587,2300
-1666,1410,3152
-2253,-252,2304
-2995,187,326
-2632,1994,-258
-1583,3067,294
-558,3479,587
-1124,3357,1023
-1787,2692,1953
-2193,1234,2566
-2835,362,1566
-3081,1357,380
-2694,2188,260
-2597,2190,1278
-2864,1227,1480
-2977,1583,849
-2682,2175,1031
-2573,1626,2027
-2881,985,1606
-2886,1838,574
-2376,2613,762
-2331,2307,1749
-2509,1210,2259
-2766,421,1732
-2988,514,1079
-2918,356,1477
-2702,175,1840
-2708,662,2018
