raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
2669,-2018,1006,-11618,6621,8746
3024,-1801,1036,-14795,1230,9428
3611,-1248,1053,-14670,-6746,10295
4273,-336,1391,-12860,160,-1668
4508,209,1739,-15238,-4923,-1228
4512,758,1963,-15046,-8991,-2883
4396,1212,1958,-13305,-6726,-5258
4293,1489,2551,-11439,-4896,-9851
4176,1658,2546,-13659,-1420,-8147
4102,1818,2753,-13079,-699,-8550
4057,1728,2893,-14393,-329,-7917
4180,1502,2991,-13452,2755,-4950
4339,1109,3043,-16519,4636,-1625
4455,728,3048,-14330,7689,-3778
4489,277,3133,-13640,9692,-4463
4405,-22,3164,-14530,12415,-2462
4331,-567,3020,-10760,12843,531
4125,-1042,2916,-9122,12326,5080
3793,-1536,2511,-7664,11500,4432
3201,-1975,2039,-2315,14114,8431
2809,-2142,1680,-1393,14088,13269
2276,-2273,1316,-1512,11945,11092
1413,-2266,728,-436,10622,9540
675,-2117,383,1452,7976,14341
280,-1900,-19,3733,10243,15487
521,-1446,-638,-1038,-3259,20664
933,-376,-1179,-4726,-5978,16360
1510,250,-1119,-5548,-5064,12985
1828,805,-1028,-6491,-8149,13935
2074,1343,-846,-5143,-8144,10407
2396,1607,-566,-7252,-16048,9464
2728,1870,-166,-8857,-12406,12502
3369,1586,294,-11408,-10366,5407
3740,1417,641,-9433,-9894,3853
3963,1255,839,-13378,-9054,4295
4289,862,1311,-15896,-5719,-4389
4582,374,2043,-14187,-3650,350
4611,139,2689,-14547,-3919,-2038
4624,159,2840,-15642,-4263,-1140
4636,90,2587,-14637,-2307,-2505
4574,-139,2612,-17518,-972,6312
4370,-514,2047,-14453,-2462,6048
4304,-959,2532,-9227,8079,5472
4012,-1103,3290,-12111,11617,-4412
3864,-734,3805,-12718,8633,-2824
3989,-380,3863,-14564,7944,-6712
4097,-28,3923,-14391,7356,-3679
4194,-86,3705,-14452,5522,1776
4421,90,3337,-16277,6036,661
4572,90,2475,-14842,998,1592
4492,68,1718,-15005,-6900,2366
4329,345,1264,-15067,-6931,2598
4219,931,1105,-14630,-7678,372
4249,1091,1228,-15800,-6906,-2560
4230,1069,1209,-14771,-2394,-4843
4168,1030,1102,-18102,-1720,32
3839,1424,745,-15764,-858,2220
3331,2176,702,-14161,-5663,-1489
3249,2533,1094,-16661,-5255,4952
3850,2108,1709,-14515,-1840,-5298
4034,1894,2311,-16688,-1620,1317
4251,1503,2792,-17755,3447,556
4382,870,3028,-15140,2973,-4621
4476,221,3129,-16272,3353,1767
4449,-138,3080,-14332,10812,-2522
4349,-528,3167,-13025,4282,2121
4258,-662,3382,-16515,6784,-649
4341,-758,3089,-14176,6322,7422
4457,-676,2688,-16571,2604,6715
4390,-666,1835,-12845,-60,7795
4297,-428,1337,-13782,-1171,10510
4152,273,860,-12259,-7489,4141
4024,779,715,-13102,-5287,4662
4006,993,700,-15189,-10049,5295
3828,1228,539,-6604,-7551,-263
3350,1750,341,-11413,-8867,3644
3456,1854,447,-13493,-11509,1044
3466,1964,563,-14626,-10954,786
3397,2170,740,-13622,-5656,59
3248,2499,1193,-17001,-6911,3548
3396,2592,1562,-14686,-7657,-4772
3112,2804,1788,-15522,-6514,1192
2760,2963,2472,-16455,-4281,587
2830,2721,3211,-13322,-8890,-4414
2697,2908,2787,-14562,-6881,-1442
2828,2928,2555,-13509,-5718,-2442
3240,2641,2676,-13636,-9662,1937
3598,2345,2701,-12376,-9218,3914
3667,2269,2533,-11938,-17310,-2689
3616,2341,2636,-14016,-3683,8515
3706,2292,2576,-12146,-8393,1423
3872,2094,2649,-12762,-11906,-323
3747,2189,2716,-15220,-7667,6376
3943,2018,2680,-14119,-12841,6095
4063,1844,2523,-11648,-8297,3895
4242,1611,2133,-11308,-11289,4061
4410,986,1707,-12843,-10571,-9813
4457,-60,1536,-12847,2612,-4848
3847,-1133,1269,-26216,343,2504
4013,-749,952,-6638,9140,5081
4281,-173,1154,-18794,353,1786
4498,612,1415,-19414,-2860,-3490
4403,935,1435,-15806,-6261,-912
4329,944,1277,-16687,-9655,893
4233,1301,1298,-14690,-12973,1016
4116,1379,1064,-8528,-7634,6505
4243,764,1027,-6623,855,12025
4556,-47,1903,-12694,7509,4836
4444,-666,2964,-11293,13525,2451
3642,-718,4010,-11882,5482,-9439
3020,126,4517,-3723,10789,-14992
2328,1208,4495,-1646,4128,-14035
2510,1723,4261,-6430,-3954,-14510
2518,2408,3727,-868,-2026,-17906
2349,2990,2838,-5634,-11496,-9951
2240,3226,2019,-8880,-16922,-3770
1951,3275,944,-4281,-15796,2904
1823,2489,-341,-5617,-11964,1476
2259,1450,-686,-6145,-9673,8137
2940,1036,-336,-8920,-8828,11976
2702,871,-547,-7962,-7517,4269
2511,383,-650,-5479,-2228,13093
2404,-341,-523,-7654,-2341,17286
2525,-778,-284,-4107,2146,11538
3018,-1456,662,-13255,6056,15662
3119,-1592,955,-9490,8671,13274
3347,-1725,1638,-7428,10560,8440
3565,-1706,2165,-4048,14874,5070
3385,-1803,2827,-8706,12281,-1666
3336,-1518,3565,-8811,9274,-2240
3116,-513,4353,-10745,15761,-8004
2713,916,4543,-7796,3969,-13896
1639,2684,3581,-7180,-6219,-12226
925,3382,2410,-7610,-9059,-9512
891,3579,1625,-8407,-14889,112
1259,3405,862,-9024,-14398,2445
1509,3129,188,-9213,-11624,6567
1427,2673,-454,-10285,-7430,10908
1334,1908,-953,-8889,-4546,14535
1503,1193,-1096,-9984,361,15267
1503,1193,-1096,-7931,5074,13153
1461,699,-1189,-8930,4225,11973
1426,406,-1116,-8803,2495,12104
