raw_mag_x,raw_mag_y,raw_mag_z,raw_acc_x,raw_acc_y,raw_acc_z
-2673,2183,1162,14592,-6934,4602
-2782,2147,1095,13559,-6583,5733
-2738,2130,1092,13595,-8626,6159
-2722,2101,1111,13589,-6176,5336
-2723,2088,1166,14576,-7062,5722
-2691,2190,1246,13569,-7084,5219
-2375,2308,1674,15118,-6554,1943
-2566,2172,1460,13933,-7401,5635
-2630,2142,1472,13866,-8881,2768
-2582,2123,1609,14348,-6277,2667
-2539,1999,1771,14352,-7725,1794
-2452,1706,2105,13673,-6974,-674
-2378,1428,2349,13773,-8760,-3475
-2330,1208,2542,13782,-7854,-4186
-2282,1009,2666,13757,-7197,-5603
-2208,838,2703,13623,-6386,-4893
-2229,634,2764,13402,-5115,-7391
-2212,380,3093,13519,-4582,-7393
-1842,298,2715,13328,-4026,-7979
-2178,113,2635,13272,-3102,-8262
-2187,-148,2581,13072,-2538,-8929
-2190,-279,2412,13213,-1210,-9306
-2143,-515,2360,12933,-632,-8152
-2048,-592,2335,12936,537,-9997
-2069,-753,2222,12280,1959,-10721
-2054,-814,2097,12848,2419,-10850
-1992,-809,2180,13170,2824,-9397
-2065,-697,2244,13192,646,-9041
-2083,-411,2530,13359,-2976,-8324
-1811,217,3093,13158,-5517,-7597
-2123,698,2834,12791,-8310,-4683
-2201,1388,2616,13265,-9517,-1642
-2291,1825,2314,13288,-10059,525
-2460,2164,1851,13436,-9322,3582
-2575,2217,1426,13426,-6765,6226
-2688,2275,1032,13987,-4780,6986
-2803,2170,535,14404,-2567,7980
-2903,1998,196,13752,-182,9349
-2966,1741,-6,13993,1191,9667
-2978,1485,-190,14506,3361,8058
-3000,1239,-167,14625,5004,7049
-2803,1095,268,14350,5194,4148
-3084,661,50,15010,6489,4206
-3065,434,124,14937,8993,2023
-3080,270,159,13677,10030,5196
-3044,401,19,13960,6405,6546
-3104,683,-64,14161,6270,7398
-3136,903,72,14168,5278,8848
-3157,1016,216,14027,4269,8816
-3165,1109,420,14359,2001,9238
-3152,1138,712,14409,-1111,9103
-3112,1156,946,14799,-2174,6770
-3109,1125,1117,14910,-4499,4656
-2742,1223,1652,15609,-5959,1753
-3024,1005,1438,14818,-7028,681
-2907,822,1566,15007,-6363,-827
-2873,673,1664,14624,-7138,-2816
-2820,509,1758,14796,-4549,-5162
-2729,214,1804,14850,-2145,-6994
-2643,10,1916,13598,-2018,-9368
-2622,-121,1787,13222,-300,-8598
-2595,-180,1762,13489,1620,-8607
-2595,-338,1672,13037,2490,-9613
-2577,-405,1586,13057,3062,-8714
-2603,-309,1682,13094,1154,-9028
-2384,142,2115,13630,-3893,-9420
-2768,248,1771,13587,-5421,-9006
-2869,489,1661,13795,-5806,-5346
-3000,778,1501,13961,-6829,-2676
-3038,943,1315,14051,-7660,-239
-3075,1057,1128,14320,-8026,2302
-3075,1086,975,14287,-6488,4565
-3149,1101,917,14060,-7249,5936
-3111,1148,821,14495,-5347,6806
-3129,1036,705,14140,-2627,7670
-3177,962,599,14033,-27,8664
-3176,836,586,14690,1955,8064
-2905,817,931,14451,4576,6570
-3156,552,579,14441,6594,6677
-3148,491,646,14669,6456,5222
-3106,481,682,14496,7391,4027
-3055,545,852,14583,7770,2772
-3104,579,965,14358,7282,1140
-3024,635,1283,14296,5306,-4245
-2967,601,1478,13690,6837,-3571
-2908,655,1572,14633,7878,-5687
-2922,813,1575,14817,6023,-5715
-2974,924,1505,13641,4755,-4430
-2928,896,1478,13817,6581,-4301
-2680,984,1725,14755,5340,-3239
-2943,843,1409,14310,7167,-2347
-3000,752,1434,14966,6640,-1962
-2979,640,1466,15286,7140,-583
-2980,580,1438,15156,5555,2056
-3027,501,1453,15035,6099,2427
-2996,426,1370,15178,5478,3531
-2937,351,1298,15517,5107,4177
-3025,304,1141,15089,1476,5638
-3041,261,1067,15575,858,5009
-3044,216,917,15272,869,6163
-3070,240,866,15220,-1183,7796
-2820,506,1106,14934,-3654,6404
-3117,427,738,15190,-4512,4912
-3130,499,733,15061,-4990,1616
-3148,575,830,14913,-6923,-1183
-3139,583,927,15236,-5281,-3022
-3089,665,965,14544,-5558,-3762
-3076,659,1101,14487,-4799,-7136
-3018,588,1251,14576,-2053,-8282
-3035,613,1190,13918,-1066,-7838
-3021,681,1202,14203,205,-7871
-3076,628,1197,13950,1203,-7455
-3058,573,1257,13655,1628,-7783
-2758,654,1623,13613,4028,-6995
-3032,569,1282,13886,2555,-9152
-3067,785,1316,13728,-1190,-10348
-3063,939,1270,13152,-2842,-9761
-3100,1151,1226,13178,-5321,-7942
-3062,1316,1092,13035,-7029,-5426
-3126,1419,860,13013,-9915,-2959
-3129,1442,574,13243,-10513,-406
-3190,1302,404,13194,-9907,2102
-3146,1030,185,13696,-8435,4494
-3121,645,59,13957,-6383,6811
-3080,252,181,13213,-3478,7926
-2682,65,379,13360,386,8953
-2886,-257,336,13198,1839,8236
-2843,-337,496,13293,3180,9138
-2877,-342,513,13620,3706,11108
-2910,-68,151,13177,-529,12671
-3068,365,69,13273,-3498,9652
-3141,840,13,13174,-7488,4463
-3129,1135,154,12778,-9418,1781
-3164,1380,317,13605,-9330,-538
-3092,1527,666,13510,-9431,-3536
-3008,1659,900,12777,-9013,-7381
-2587,1846,1587,12346,-6803,-8471
-2587,1846,1587,12856,-3275,-10155
-2875,1612,1524,13191,1170,-10238
-2824,1344,1822,12965,3502,-11011
-2721,1127,1909,12723,5760,-10713
-2702,923,2014,12736,6591,-6446
-2751,789,2056,12546,6453,-7071
-2594,568,2202,12575,6716,-5173
-2528,267,2217,12531,7937,-5996
-2463,102,2335,13611,9678,-6607
-2454,457,2423,13333,2786,-7530
-2478,1294,2307,13454,-2648,-8576
-2451,2025,1878,14080,-4146,-6684
-2267,2553,1661,13356,-7294,-5476
-2447,2627,634,13037,-9719,-2347
-2471,2506,-38,12988,-9469,2542
-2428,2111,-632,13403,-9637,6638
-2446,1554,-1025,13620,-7191,7136
-2495,924,-1104,14047,-2374,8417
-2407,232,-987,14235,-1564,10549
-2357,-380,-725,14460,2128,7512
-2232,-900,-225,13824,4845,8043
-2088,-1289,407,13478,8183,4876
-1894,-1470,1141,13946,9775,293
-1687,-1399,1843,14009,10751,3842
-1264,-996,2828,16055,8800,-2499
-1411,-716,2950,15694,5163,-1357
-1407,-728,2968,14989,2563,-4196
-1375,-864,2947,14475,8055,-3898
-1419,-1207,2547,14257,8709,-811
-1579,-1457,2036,15429,7032,-830
-1660,-1570,1484,15146,6468,1581
-1775,-1562,888,15213,5966,3263
-1847,-1410,332,14294,5023,4584
-1870,-1201,-230,15482,5743,5126
-2023,-767,-542,15827,4918,3575
-2197,-487,-742,15290,4403,3856
-1934,71,-619,15086,2101,6124
-2187,365,-1146,14881,648,5483
-2080,649,-1309,14631,441,8427
-1920,856,-1414,14207,3270,9149
-1910,588,-1422,13638,6197,7218
-1833,-260,-1100,14945,3034,8133
-1766,-944,-677,14860,5938,8631
-1704,-1425,-54,14859,7638,4791
-1666,-1606,802,14877,7671,-495
-1724,-1437,1683,15207,4491,-4010
-1817,-1000,2269,15448,3707,-3468
-1915,-451,2692,15436,2195,-3841
-1595,357,3424,14122,446,-5016
-1771,1139,3110,15180,-2063,-8166
-1820,1754,2901,14548,-3409,-3198
-1794,2293,2537,13682,-6332,-4820
-1832,2725,2057,15345,-5647,1463
-1918,2942,1547,16675,-9210,190
-1790,3179,1050,13813,-8759,187
-1780,3165,818,15101,-9999,2719
-1810,3137,929,14093,-8405,4125
-1850,3096,1346,12708,-9670,1840
-1837,2905,1888,12159,-9978,-2336
-1838,2619,2299,13846,-6080,-3283
-1636,2344,3001,13689,-8071,-2837
-1976,1838,2747,14643,-6114,-3814
-2056,1385,2833,16047,-3669,-4850
-2093,1022,2879,15652,-3447,-5107
-2086,786,2891,15801,-2204,-4886
-2091,391,2798,15133,-1222,-3940
-2174,-33,2651,15744,1243,-3392
-2249,-483,2260,15358,225,-5291
-2332,-820,1770,16890,2144,-4335
-2380,-1021,1161,15479,3403,-2156
-2378,-1028,632,15699,3144,306
-2320,-1038,238,15840,4943,-458
-1956,-872,483,15320,5650,-46
-2309,-1068,451,16074,5056,-1006
-2358,-993,1292,14220,503,-1682
-2299,-533,2084,16467,-420,-5397
-2099,182,2711,16165,-2852,-6647
-1802,837,3182,13384,-5509,-5436
-1593,1497,3159,12105,-6708,-5536
-1459,2311,2848,11615,-11629,-3544
-1453,2952,1980,12912,-11146,645
-1598,3213,1295,12769,-10282,3288
-1614,3236,721,12579,-7078,7580
-1879,3078,13,11465,-7463,9659
-1828,2875,-18,13777,-3575,9622
-2312,2390,-527,14335,-2216,7201
-2556,2070,-588,15281,-47,7626
-2692,1857,-610,14555,1888,7963
-2836,1634,-557,14587,1619,6692
-2870,1371,-527,15181,3703,3988
-2897,935,-569,13155,6463,6530
-2785,820,-784,12691,6610,10937
