-2230,1180,-1424
-1549,1208,-1128
-1640,1254,-1189
-1618,1226,-1203
-1657,1220,-1147
-1636,1218,-1190
-1585,1255,-1205
-1651,1245,-1223
-1635,1263,-1210
-1624,1248,-1168
-1296,1406,-774
-1557,1239,-1166
-1577,1249,-1180
-1641,1278,-1257
-1634,1245,-1158
-1662,1216,-1159
-1650,1287,-1129
-1653,1260,-1162
-1533,1226,-1262
-1671,1194,-1246
-1719,1213,-1171
-1940,1256,-1105
-1791,1531,-591
-2380,1447,-844
-2596,1569,-633
-2743,1633,-332
-2871,1603,-192
-2962,1843,113
-2899,1930,362
-2954,1925,606
-2858,1923,849
-2794,1971,1169
-2686,1875,1583
-2604,1885,1845
-2236,1987,2349
-2358,1902,2168
-2206,1932,2340
-2043,1960,2486
-2018,2014,2515
-1921,2044,2636
-1823,2039,2732
-1828,2045,2763
-1754,2116,2716
-1813,2151,2692
-1896,2159,2626
-1935,2141,2535
-1737,2310,2855
-2015,2156,2466
-2185,2151,2241
-2261,2136,2203
-2276,2107,2158
-2384,2090,1970
-2494,2058,1906
-2642,2069,1778
-2653,2010,1607
-2718,2030,1407
-2813,2000,1338
-2854,2028,1149
-2648,2149,1409
-2965,1997,931
-2987,1960,759
-3001,1934,666
-3033,1962,636
-2994,1930,590
-3054,1931,558
-3001,1911,624
-3000,1991,649
-2924,2014,814
-2959,2059,902
-2703,2206,1416
-2867,2068,1192
-2726,2031,1441
-2724,2088,1610
-2580,1995,1749
-2598,1860,1882
-2491,1815,1963
-2583,1715,2001
-2549,1612,2071
-2574,1533,2049
-2638,1457,2027
-2607,1422,2020
-2361,1449,2381
-2687,1255,2058
-2681,1128,1991
-2739,1060,2071
-2729,968,2003
-2769,871,2016
-2782,723,1965
-2834,657,1874
-2816,615,1787
-2850,467,1789
-2847,355,1680
-2911,263,1733
-2656,342,1990
-2825,111,1606
-2892,95,1611
-2824,24,1621
-2770,-68,1642
-2775,-99,1625
-2778,-112,1600
-2732,-108,1593
-2743,-132,1590
-2700,-128,1615
-2767,-198,1490
-2792,-207,1428
-2525,-147,1720
-2824,-324,1271
-2762,-318,1227
-2764,-391,1262
-2793,-324,1251
-2814,-323,1255
-2786,-281,1305
-2746,-389,1247
-2798,-241,1201
-2916,-150,1025
-2918,-133,887
-2974,-21,743
-2705,177,933
-3027,85,532
-3025,184,366
-3100,258,354
-3034,299,288
-3079,338,192
-3081,435,94
-3115,413,56
-3044,463,13
-3077,599,-200
-3107,642,-145
-3088,606,-66
-2866,610,409
-3062,458,11
-3080,464,47
-3149,491,-2
-3130,637,131
-3136,773,167
-3227,958,250
-3221,1084,412
-3164,1191,377
-3181,1352,326
-3115,1530,416
-3066,1685,301
-2737,1947,702
-2996,1877,385
-2919,1978,580
-2910,2031,681
-2878,2026,673
-2860,2027,758
-2881,1972,672
-2884,2011,735
-2884,2011,735
-2864,2054,801
-2842,2095,777
-2842,2125,760
-2810,2138,802
-2565,2224,1200
-2806,2059,986
-2823,2026,1024
-2800,2128,1035
-2685,2176,1028
-2639,2248,1058
-2673,2183,1162
-2782,2147,1095
-2738,2130,1092
-2722,2101,1111
-2723,2088,1166
-2691,2190,1246
-2375,2308,1674
-2566,2172,1460
-2630,2142,1472
-2582,2123,1609
-2539,1999,1771
-2452,1706,2105
-2378,1428,2349
-2330,1208,2542
-2282,1009,2666
-2208,838,2703
-2229,634,2764
-2212,380,3093
-1842,298,2715
-2178,113,2635
-2187,-148,2581
-2190,-279,2412
-2143,-515,2360
-2048,-592,2335
-2069,-753,2222
-2054,-814,2097
-1992,-809,2180
-2065,-697,2244
-2083,-411,2530
-1811,217,3093
-2123,698,2834
-2201,1388,2616
-2291,1825,2314
-2460,2164,1851
-2575,2217,1426
-2688,2275,1032
-2803,2170,535
-2903,1998,196
-2966,1741,-6
-2978,1485,-190
-3000,1239,-167
-2803,1095,268
-3084,661,50
-3065,434,124
-3080,270,159
-3044,401,19
-3104,683,-64
-3136,903,72
-3157,1016,216
-3165,1109,420
-3152,1138,712
-3112,1156,946
-3109,1125,1117
-2742,1223,1652
-3024,1005,1438
-2907,822,1566
-2873,673,1664
-2820,509,1758
-2729,214,1804
-2643,10,1916
-2622,-121,1787
-2595,-180,1762
-2595,-338,1672
-2577,-405,1586
-2603,-309,1682
-2384,142,2115
-2768,248,1771
-2869,489,1661
-3000,778,1501
-3038,943,1315
-3075,1057,1128
-3075,1086,975
-3149,1101,917
-3111,1148,821
-3129,1036,705
-3177,962,599
-3176,836,586
-2905,817,931
-3156,552,579
-3148,491,646
-3106,481,682
-3055,545,852
-3104,579,965
-3024,635,1283
-2967,601,1478
-2908,655,1572
-2922,813,1575
-2974,924,1505
-2928,896,1478
-2680,984,1725
-2943,843,1409
-3000,752,1434
-2979,640,1466
-2980,580,1438
-3027,501,1453
-2996,426,1370
-2937,351,1298
-3025,304,1141
-3041,261,1067
-3044,216,917
-3070,240,866
-2820,506,1106
-3117,427,738
-3130,499,733
-3148,575,830
-3139,583,927
-3089,665,965
-3076,659,1101
-3018,588,1251
-3035,613,1190
-3021,681,1202
-3076,628,1197
-3058,573,1257
-2758,654,1623
-3032,569,1282
-3067,785,1316
-3063,939,1270
-3100,1151,1226
-3062,1316,1092
-3126,1419,860
-3129,1442,574
-3190,1302,404
-3146,1030,185
-3121,645,59
-3080,252,181
-2682,65,379
-2886,-257,336
-2843,-337,496
-2877,-342,513
-2910,-68,151
-3068,365,69
-3141,840,13
-3129,1135,154
-3164,1380,317
-3092,1527,666
-3008,1659,900
-2587,1846,1587
-2587,1846,1587
-2875,1612,1524
-2824,1344,1822
-2721,1127,1909
-2702,923,2014
-2751,789,2056
-2594,568,2202
-2528,267,2217
-2463,102,2335
-2454,457,2423
-2478,1294,2307
-2451,2025,1878
-2267,2553,1661
-2447,2627,634
-2471,2506,-38
-2428,2111,-632
-2446,1554,-1025
-2495,924,-1104
-2407,232,-987
-2357,-380,-725
-2232,-900,-225
-2088,-1289,407
-1894,-1470,1141
-1687,-1399,1843
-1264,-996,2828
-1411,-716,2950
-1407,-728,2968
-1375,-864,2947
-1419,-1207,2547
-1579,-1457,2036
-1660,-1570,1484
-1775,-1562,888
-1847,-1410,332
-1870,-1201,-230
-2023,-767,-542
-2197,-487,-742
-1934,71,-619
-2187,365,-1146
-2080,649,-1309
-1920,856,-1414
-1910,588,-1422
-1833,-260,-1100
-1766,-944,-677
-1704,-1425,-54
-1666,-1606,802
-1724,-1437,1683
-1817,-1000,2269
-1915,-451,2692
-1595,357,3424
-1771,1139,3110
-1820,1754,2901
-1794,2293,2537
-1832,2725,2057
-1918,2942,1547
-1790,3179,1050
-1780,3165,818
-1810,3137,929
-1850,3096,1346
