angle,s0,s1,s2,s3,s4
1.5686163898447452,0,0,0,0,0
1.5686037191570137,0,0,0,0,0
1.5686028038608288,0,0,0,0,0
1.5686039004918964,0,0,0,0,0
1.5686143215039503,0,0,0,0,0
1.5686345660147611,0,0,0,0,0
1.5686559082796303,0,0,0,0,0
1.5686866008107057,0,0,0,0,0
1.5686894225217207,0,0,0,0,0
1.5686924432706075,0,0,0,0,0
1.5687415863471053,0,0,0,0,0
1.5687542609347236,0,0,0,0,0
1.5687675669461938,0,0,0,0,0
1.56878039256545,0,0,0,0,0
1.568783500392627,0,0,0,0,0
1.5687686145400646,0,0,0,0,0
1.568743236510054,0,0,0,0,0
1.5687549057572077,0,0,0,0,0
1.568758962472859,0,0,0,0,0
1.568746123848249,0,0,0,0,0
1.5687424804499432,0,0,0,0,0
1.568766078676684,0,0,0,0,0
1.5687611908375387,0,0,0,0,0
1.5688112279478157,0,0,0,0,0
1.5688431015130637,0,0,0,0,0
1.5688932635212671,0,0,0,0,0
1.5688902651415035,0,0,0,0,0
1.5688957257264329,0,0,0,0,0
1.5688827625891237,0,0,0,0,0
1.5689332321551857,0,0,0,0,0
1.568973030520023,0,0,0,0,0
1.569013774857735,0,0,0,0,0
1.5690821967753095,0,0,0,0,0
1.5691049507304458,0,0,0,0,0
1.5691000983213137,0,0,0,0,0
1.5691304615655222,0,0,0,0,0
1.5691337859225845,0,0,0,0,0
1.5691553882399663,0,0,0,0,0
1.5691487576550718,0,0,0,0,0
1.5691683479352738,0,0,0,0,0
1.569180013369217,0,0,0,0,0
1.5692346358582403,0,0,0,0,0
1.569288894656018,0,0,0,0,0
1.5693340157654925,0,0,0,0,0
1.569361254975577,0,0,0,0,0
1.5693707874422507,0,0,0,0,0
1.5693795856850339,0,0,0,0,0
1.5693520232061777,0,0,0,0,0
1.5693070027422134,0,0,0,0,0
1.5693173648189465,0,0,0,0,0
1.569346054933132,0,0,0,0,0
1.5693382468047172,0,0,0,0,0
1.569340049642558,0,0,0,0,0
1.5693764787589155,0,0,0,0,0
1.5693759254672535,0,0,0,0,0
1.5693923497037876,0,0,0,0,0
1.5693893102672483,0,0,0,0,0
1.5694032725051275,0,0,0,0,0
1.5694176790928946,0,0,0,0,0
1.5694407786767832,0,0,0,0,0
1.5694545215269862,0,0,0,0,0
1.5694684777300687,0,0,0,0,0
1.5694175367576764,0,0,0,0,0
1.5694121501555323,0,0,0,0,0
1.5694161180252142,0,0,0,0,0
1.5694386512201135,0,0,0,0,0
1.5694525357575912,0,0,0,0,0
1.56945158338884,0,0,0,0,0
1.5695260702475617,0,0,0,0,0
1.5696138701284572,0,0,0,0,0
1.5696125621655435,0,0,0,0,0
1.5696794989817795,0,0,0,0,0
1.569683504644248,0,0,0,0,0
1.5696944349937905,0,0,0,0,0
1.569319314612903,0,0,0,0,0
1.569619214610264,0,0,0,0,0
1.569652952764254,0,0,0,0,0
1.569873039401751,0,0,0,0,0
1.5697748398370126,0,0,0,0,0
1.5694928456211494,0,0,0,0,0
1.569353388766195,0,0,0,0,0
1.5693921512195488,0,0,0,0,0
1.5694197336030682,0,0,0,0,0
1.569387349046588,0,0,0,0,0
1.568976718476526,0,0,0,0,0
1.5680351143442606,0,0,0,0,0
1.566595567818443,0,0,0,0,0
1.5642193973846688,0,0,0,0,0
1.5612319058690138,0,0,0,0,0
1.5582430392864315,0,0,0,0,0
1.5554472007421984,0,0,0,0,0
1.552707102121687,0,0,0,0,0
