phase,x,y,alpha,ref_alpha,dE_I
0,0.0,0.0,91.34669072982169,11.2,0
0,0.0,0.0,91.34522479686578,11.2,0
0,0.0,0.0,91.34261342811735,11.2,0
0,0.0,0.0,91.34367254944446,11.2,0
0,0.0,0.0,91.3411238628209,11.2,0
0,0.0,0.0,91.34172425650333,11.2,0
0,0.0,0.0,91.34089869182007,11.2,0
0,0.0,0.0,91.34014574505585,11.2,0
0,0.0,0.0,91.33988036154163,11.2,0
0,0.0,0.0,91.34019320894264,11.2,0
0,0.0,0.0,91.34052770094958,11.2,0
0,0.0,0.0,91.33982345770863,11.2,0
0,0.0,0.0,91.34075584234753,11.2,0
0,0.0,0.0,91.34272737236216,11.2,0
0,0.0,0.0,91.34416251637874,11.2,0
0,0.0,0.0,91.344033183156,11.2,0
0,0.0,0.0,91.34118579889902,11.2,0
0,0.0,0.0,91.34300770397441,11.2,0
0,0.0,0.0,91.34642704824395,11.2,0
0,0.0,0.0,91.34664367350196,11.2,0
0,0.0,0.0,91.34639471054638,11.2,0
0,0.0,0.0,91.34819517637777,11.2,0
0,0.0,0.0,91.34735529524266,11.2,0
0,0.0,0.0,91.34704398640798,11.2,0
0,0.0,0.0,91.34819747884288,11.2,0
0,0.0,0.0,91.34734210781593,11.2,0
0,0.0,0.0,91.34650808369418,11.2,0
0,0.0,0.0,91.34929201598914,11.2,0
0,0.0,0.0,91.34936250768078,11.2,0
0,0.0,0.0,91.34737512927312,11.2,0
0,0.0,0.0,91.34693506140289,11.2,0
0,0.0,0.0,91.34810410608789,11.2,0
0,0.0,0.0,91.34728171974692,11.2,0
0,0.0,0.0,91.34748383139798,11.2,0
0,0.0,0.0,91.34521998182022,11.2,0
0,0.0,0.0,91.34502104908381,11.2,0
0,0.0,0.0,91.34486585322666,11.2,0
0,0.0,0.0,91.34582345761953,11.2,0
0,0.0,0.0,91.34582158386264,11.2,0
0,0.0,0.0,91.34731494607655,11.2,0
0,0.0,0.0,91.34712551095691,11.2,0
0,0.0,0.0,91.34641263642251,11.2,0
0,0.0,0.0,91.34880230371276,11.2,0
0,0.0,0.0,91.34760514058596,11.2,0
0,0.0,0.0,91.34894866183379,11.2,0
0,0.0,0.0,91.35077706946709,11.2,0
0,0.0,0.0,91.3499551564678,11.2,0
0,0.0,0.0,91.34904496878546,11.2,0
0,0.0,0.0,91.34962857864818,11.2,0
0,0.0,0.0,91.35024849509738,11.2,0
0,0.0,0.0,91.34934440092401,11.2,0
0,0.0,0.0,91.34945560891396,11.2,0
0,0.0,0.0,91.34903125421592,11.2,0
0,0.0,0.0,91.34960653308966,11.2,0
0,0.0,0.0,91.34919883715837,11.2,0
0,0.0,0.0,91.3482227537571,11.2,0
0,0.0,0.0,91.34782508619698,11.2,0
0,0.0,0.0,91.3458156642064,11.2,0
0,0.0,0.0,91.34547438874203,11.2,0
0,0.0,0.0,91.34516315246317,11.2,0
0,0.0,0.0,91.34323807652558,11.2,0
0,0.0,0.0,91.34285537696236,11.2,0
0,0.0,0.0,91.3418697335693,11.2,0
0,0.0,0.0,91.34144070882792,11.2,0
