phase,x,y,alpha,ref_alpha,dE_I
0,0.0,0.0,89.88152057964635,11.2,0
0,0.0,0.0,89.88111021762602,11.2,0
0,0.0,0.0,89.8803233694378,11.2,0
0,0.0,0.0,89.87896111335925,11.2,0
0,0.0,0.0,89.8776644789083,11.2,0
0,0.0,0.0,89.87748120502238,11.2,0
0,0.0,0.0,89.87423235447348,11.2,0
0,0.0,0.0,89.8741013816448,11.2,0
0,0.0,0.0,89.87664792616913,11.2,0
0,0.0,0.0,89.87819025175793,11.2,0
0,0.0,0.0,89.87555074689111,11.2,0
0,0.0,0.0,89.8750923376089,11.2,0
0,0.0,0.0,89.87617059046073,11.2,0
0,0.0,0.0,89.87573303158223,11.2,0
0,0.0,0.0,89.87736484188619,11.2,0
0,0.0,0.0,89.87586297456357,11.2,0
0,0.0,0.0,89.87392643118525,11.2,0
0,0.0,0.0,89.87564966926226,11.2,0
0,0.0,0.0,89.87414821108749,11.2,0
0,0.0,0.0,89.8752328138987,11.2,0
0,0.0,0.0,89.87529415030124,11.2,0
0,0.0,0.0,89.87631374551212,11.2,0
0,0.0,0.0,89.87571767793041,11.2,0
0,0.0,0.0,89.87667614547576,11.2,0
0,0.0,0.0,89.87660272600891,11.2,0
0,0.0,0.0,89.87759257442632,11.2,0
0,0.0,0.0,89.87793615029074,11.2,0
0,0.0,0.0,89.87835636704496,11.2,0
0,0.0,0.0,89.87827635560991,11.2,0
0,0.0,0.0,89.876122323409,11.2,0
0,0.0,0.0,89.87508553068793,11.2,0
0,0.0,0.0,89.87358949197497,11.2,0
0,0.0,0.0,89.87476637306959,11.2,0
0,0.0,0.0,89.87280074384985,11.2,0
0,0.0,0.0,89.87240666010653,11.2,0
0,0.0,0.0,89.87463439612388,11.2,0
0,0.0,0.0,89.87322647616293,11.2,0
0,0.0,0.0,89.87227180603332,11.2,0
0,0.0,0.0,89.87289179129822,11.2,0
0,0.0,0.0,89.87186663810502,11.2,0
0,0.0,0.0,89.87298337043481,11.2,0
0,0.0,0.0,89.87149464266557,11.2,0
0,0.0,0.0,89.8710194277173,11.2,0
0,0.0,0.0,89.87008612998399,11.2,0
0,0.0,0.0,89.8728123887932,11.2,0
0,0.0,0.0,89.87235762383236,11.2,0
0,0.0,0.0,89.87193744476212,11.2,0
0,0.0,0.0,89.87164165210915,11.2,0
0,0.0,0.0,89.87033630401378,11.2,0
0,0.0,0.0,89.87065233009169,11.2,0
0,0.0,0.0,89.86824702247416,11.2,0
0,0.0,0.0,89.8689995902311,11.2,0
0,0.0,0.0,89.86974504144942,11.2,0
0,0.0,0.0,89.87098275835893,11.2,0
0,0.0,0.0,89.86957023533064,11.2,0
0,0.0,0.0,89.86913738440478,11.2,0
0,0.0,0.0,89.87181299105113,11.2,0
0,0.0,0.0,89.87024880138348,11.2,0
0,0.0,0.0,89.86969934120697,11.2,0
0,0.0,0.0,89.87026493345041,11.2,0
0,0.0,0.0,89.8708015794862,11.2,0
0,0.0,0.0,89.8712461899995,11.2,0
0,0.0,0.0,89.87014408740524,11.2,0
0,0.0,0.0,89.87214694134565,11.2,0
0,0.0,0.0,89.87369067004451,11.2,0
0,0.0,0.0,89.87320749231988,11.2,0
0,0.0,0.0,89.87377140632327,11.2,0
0,0.0,0.0,89.87376684057293,11.2,0
0,0.0,0.0,89.8747515071055,11.2,0
0,0.0,0.0,89.87523356464497,11.2,0
0,0.0,0.0,89.876270565891,11.2,0
0,0.0,0.0,89.87837337856014,11.2,0
0,0.0,0.0,89.87944980513099,11.2,0
0,0.0,0.0,89.8805590006158,11.2,0
0,0.0,0.0,89.88215675804827,11.2,0
0,0.0,0.0,89.88162042025895,11.2,0
0,0.0,0.0,89.87945401601571,11.2,0
0,0.0,0.0,89.87892426811591,11.2,0
0,0.0,0.0,89.88103046123891,11.2,0
0,0.0,0.0,89.87993519385867,11.2,0
0,0.0,0.0,89.87887082116018,11.2,0
0,0.0,0.0,89.87782324067118,11.2,0
0,0.0,0.0,89.87886766649721,11.2,0
0,0.0,0.0,89.88139728298266,11.2,0
0,0.0,0.0,89.88175700565387,11.2,0
0,0.0,0.0,89.88161363581462,11.2,0
0,0.0,0.0,89.88101183815006,11.2,0
0,0.0,0.0,89.87826049134614,11.2,0
0,0.0,0.0,89.87459430732322,11.2,0
0,0.0,0.0,89.87460796057424,11.2,0
0,0.0,0.0,89.87719616657719,11.2,0
0,0.0,0.0,89.87354065704318,11.2,0
0,0.0,0.0,89.87404122928098,11.2,0
0,0.0,0.0,89.87822049964534,11.2,0
0,0.0,0.0,89.87768888097942,11.2,0
0,0.0,0.0,89.87822502795122,11.2,0
0,0.0,0.0,89.8777669984595,11.2,0
0,0.0,0.0,89.87476277999666,11.2,0
0,0.0,0.0,89.87383650446841,11.2,0
0,0.0,0.0,89.86926873470847,11.2,0
0,0.0,0.0,89.87049116650192,11.2,0
0,0.0,0.0,89.87119546698362,11.2,0
0,0.0,0.0,89.87189950628284,11.2,0
0,0.0,0.0,89.87103120142598,11.2,0
0,0.0,0.0,89.91218003492372,11.2,0
0,0.0,0.0,89.90558557209235,11.2,0
0,0.0,0.0,89.88442102399232,11.2,0
0,0.0,0.0,89.85926981795684,11.2,0
0,0.0,0.0,89.87234997955238,11.2,0
0,0.0,0.0,89.89000078107644,11.2,0
0,0.0,0.0,89.88145863644515,11.2,0
0,0.0,0.0,89.8836520867868,11.2,0
0,0.0,0.0,89.87085862820237,11.2,0
0,0.0,0.0,89.8703518091476,11.2,0
0,0.0,0.0,89.87458909079358,11.2,0
0,0.0,0.0,89.86787805804757,11.2,0
0,0.0,0.0,89.86014000390283,11.2,0
0,0.0,0.0,89.85151447636576,11.2,0
0,0.0,0.0,89.84270545115355,11.2,0
0,0.0,0.0,89.81640094619992,11.2,0
0,0.0,0.0,89.79826963751455,11.2,0
0,0.0,0.0,89.79425896491952,11.2,0
0,0.0,0.0,89.79221219914139,11.2,0
0,0.0,0.0,89.78643541718913,11.2,0
0,0.0,0.0,89.78297882547996,11.2,0
0,0.0,0.0,89.77179168119157,11.2,0
0,0.0,0.0,89.77810013643233,11.2,0
0,0.0,0.0,89.77025341681063,11.2,0
0,0.0,0.0,89.77594195541154,11.2,0
0,0.0,0.0,89.75007693249337,11.2,0
0,0.0,0.0,89.52568634183734,11.2,0
0,0.0,0.0,89.14921213883456,11.2,0
0,0.0,0.0,88.7545584383753,11.2,0
0,0.0,0.0,88.21427074653909,11.2,0
0,0.0,0.0,87.51863777707338,11.2,0
0,0.0,0.0,86.7981525804281,11.2,0
0,0.0,0.0,86.02297175765146,11.2,0
0,0.0,0.0,85.18677098667276,11.2,0
0,0.0,0.0,84.33171826035829,11.2,0
0,0.0,0.0,83.38409246540498,11.2,0
0,0.0,0.0,82.32920511288069,11.2,0
0,0.0,0.0,81.11938538146777,11.2,0
0,0.0,0.0,79.788268098152,11.2,0
0,0.0,0.0,78.38092857415381,11.2,0
0,0.0,0.0,76.90459143541959,11.2,0
0,0.0,0.0,75.36117114579253,11.2,0
0,0.0,0.0,73.75101471474068,11.2,0
