phase,x,y,alpha,ref_alpha,dE_I
0,0.0,0.0,91.52374329790231,11.2,0
0,0.0,0.0,91.52322046833673,11.2,0
0,0.0,0.0,91.52217002124057,11.2,0
0,0.0,0.0,91.52371538556653,11.2,0
0,0.0,0.0,91.52522792030321,11.2,0
0,0.0,0.0,91.52526538588229,11.2,0
0,0.0,0.0,91.52484463196272,11.2,0
0,0.0,0.0,91.524365559261,11.2,0
0,0.0,0.0,91.52599221973102,11.2,0
0,0.0,0.0,91.5277071111456,11.2,0
0,0.0,0.0,91.52841055138128,11.2,0
0,0.0,0.0,91.53171666227982,11.2,0
0,0.0,0.0,91.5313704819634,11.2,0
0,0.0,0.0,91.53306975174227,11.2,0
0,0.0,0.0,91.53482749184842,11.2,0
0,0.0,0.0,91.53655907914067,11.2,0
0,0.0,0.0,91.53723592286094,11.2,0
0,0.0,0.0,91.53691549255356,11.2,0
0,0.0,0.0,91.53764198451437,11.2,0
0,0.0,0.0,91.53767964649454,11.2,0
0,0.0,0.0,91.53873666735706,11.2,0
0,0.0,0.0,91.54241235604854,11.2,0
0,0.0,0.0,91.54352501035507,11.2,0
0,0.0,0.0,91.54268150927041,11.2,0
0,0.0,0.0,91.54231873243292,11.2,0
0,0.0,0.0,91.5435066620157,11.2,0
0,0.0,0.0,91.54200449528527,11.2,0
0,0.0,0.0,91.54151912465407,11.2,0
0,0.0,0.0,91.54111651485297,11.2,0
0,0.0,0.0,91.54124415655563,11.2,0
0,0.0,0.0,91.54190993552645,11.2,0
0,0.0,0.0,91.54520088897846,11.2,0
0,0.0,0.0,91.54626568799128,11.2,0
0,0.0,0.0,91.54676074504543,11.2,0
0,0.0,0.0,91.54783358499351,11.2,0
0,0.0,0.0,91.54780900884288,11.2,0
0,0.0,0.0,91.54791932819722,11.2,0
0,0.0,0.0,91.54857599418801,11.2,0
0,0.0,0.0,91.54808001428475,11.2,0
0,0.0,0.0,91.54782478752526,11.2,0
0,0.0,0.0,91.54908955735097,11.2,0
0,0.0,0.0,91.54919368268325,11.2,0
0,0.0,0.0,91.55045462879052,11.2,0
0,0.0,0.0,91.5501572961013,11.2,0
0,0.0,0.0,91.55129741351021,11.2,0
0,0.0,0.0,91.55209739335012,11.2,0
0,0.0,0.0,91.55169147092025,11.2,0
0,0.0,0.0,91.55435699403007,11.2,0
0,0.0,0.0,91.55404097192392,11.2,0
0,0.0,0.0,91.55462148632381,11.2,0
