phase,x,y,alpha,ref_alpha,dE_I
0,0.0,0.0,91.44193274616288,10.879999999999999,0
0,0.0,0.0,91.44308835121124,10.879999999999999,0
0,0.0,0.0,91.44385039275565,10.879999999999999,0
0,0.0,0.0,91.44469819967664,10.879999999999999,0
0,0.0,0.0,91.44599395910426,10.879999999999999,0
0,0.0,0.0,91.44638349610202,10.879999999999999,0
0,0.0,0.0,91.44625418070814,10.879999999999999,0
0,0.0,0.0,91.44768688375562,10.879999999999999,0
0,0.0,0.0,91.44811415812775,10.879999999999999,0
0,0.0,0.0,91.44865518071121,10.879999999999999,0
0,0.0,0.0,91.45239442086277,10.879999999999999,0
0,0.0,0.0,91.45395550516487,10.879999999999999,0
0,0.0,0.0,91.45605100811775,10.879999999999999,0
0,0.0,0.0,91.45703485156545,10.879999999999999,0
0,0.0,0.0,91.4559872205603,10.879999999999999,0
0,0.0,0.0,91.45805701561237,10.879999999999999,0
0,0.0,0.0,91.46065739956913,10.879999999999999,0
0,0.0,0.0,91.46165956637856,10.879999999999999,0
0,0.0,0.0,91.46461153291439,10.879999999999999,0
0,0.0,0.0,91.4648913561155,10.879999999999999,0
0,0.0,0.0,91.46406234681781,10.879999999999999,0
0,0.0,0.0,91.46485692566982,10.879999999999999,0
0,0.0,0.0,91.46361015939418,10.879999999999999,0
0,0.0,0.0,91.46555436525759,10.879999999999999,0
0,0.0,0.0,91.46593613690474,10.879999999999999,0
0,0.0,0.0,91.46620139273487,10.879999999999999,0
0,0.0,0.0,91.4674117657668,10.879999999999999,0
0,0.0,0.0,91.46760637389747,10.879999999999999,0
0,0.0,0.0,91.46791909931763,10.879999999999999,0
0,0.0,0.0,91.46665986245199,10.879999999999999,0
0,0.0,0.0,91.46592523253653,10.879999999999999,0
0,0.0,0.0,91.46615615473169,10.879999999999999,0
0,0.0,0.0,91.4668606211637,10.879999999999999,0
0,0.0,0.0,91.46750384589555,10.879999999999999,0
0,0.0,0.0,91.46811723305869,10.879999999999999,0
0,0.0,0.0,91.46834116955404,10.879999999999999,0
0,0.0,0.0,91.46961705710349,10.879999999999999,0
0,0.0,0.0,91.46826641546228,10.879999999999999,0
0,0.0,0.0,91.47157978603694,10.879999999999999,0
0,0.0,0.0,91.47167929847774,10.879999999999999,0
0,0.0,0.0,91.47498744444111,10.879999999999999,0
0,0.0,0.0,91.47411839845792,10.879999999999999,0
0,0.0,0.0,91.47476108802692,10.879999999999999,0
0,0.0,0.0,91.47698955676584,10.879999999999999,0
0,0.0,0.0,91.47714663653609,10.879999999999999,0
0,0.0,0.0,91.47767561317364,10.879999999999999,0
0,0.0,0.0,91.47933849527656,10.879999999999999,0
0,0.0,0.0,91.47945791324632,10.879999999999999,0
0,0.0,0.0,91.48014872563303,10.879999999999999,0
0,0.0,0.0,91.47941208156612,10.879999999999999,0
0,0.0,0.0,91.46809075707131,10.879999999999999,0
0,0.0,0.0,91.42701597281292,10.879999999999999,0
0,0.0,0.0,91.42532038452515,10.879999999999999,0
0,0.0,0.0,91.420120332012,10.879999999999999,0
0,0.0,0.0,91.41216928461778,10.879999999999999,0
0,0.0,0.0,91.41136550297787,10.879999999999999,0
0,0.0,0.0,91.38735094906183,10.879999999999999,0
0,0.0,0.0,91.35477802941566,10.879999999999999,0
0,0.0,0.0,91.27632537017507,10.879999999999999,0
0,0.0,0.0,91.21494706892564,10.879999999999999,0
0,0.0,0.0,91.22676168815028,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,91.10102871142831,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,90.88202551451334,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,90.65001580131954,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,90.50297119412625,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,90.38062319879621,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,90.15821832903637,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,89.80346875566251,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,89.26964300494403,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,88.51319807776062,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,87.5323464897928,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,86.34179791972107,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,84.96828560245721,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,83.48924072563817,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,81.91936600060721,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,80.27820721747676,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,78.52375810016598,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,76.60166146543266,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,74.59587113346689,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,72.58164002594984,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,70.51062280571414,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,68.37498921249396,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,66.24214134406061,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,64.14778168890392,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,62.0563163129105,10.879999999999999,0
0,-0.12417350465849462,-0.00014826039653970113,59.764691804783595,10.879999999999999,0
