acc,lpf_acc,gyro,control_angle
89310.55292252937,89310.55292252937,0.0,89310.55292252937
89387.79422213812,89349.17357233375,-2.646379999999995,89308.31921282741
89404.48134310605,89367.60949592451,-0.6223799999999948,89308.29595945838
89451.44765145454,89414.57440556625,-0.6223799999999948,89308.74258771946
89464.91676386882,89440.28191947647,-2.140379999999995,89307.93900483704
89475.3888696554,89463.9177616596,0.8956200000000052,89310.38545620526
89464.97969268994,89468.42844207141,-1.1283799999999948,89310.84878986393
89465.85914562213,89468.74256932251,-0.11637999999999482,89312.3125114585
89421.95819313935,89450.93234381716,0.3896200000000052,89314.08443358209
89445.69105467867,89444.50279781339,2.413620000000005,89317.7781010244
89491.43642932616,89453.02855904808,-0.11637999999999482,89319.01538940464
89459.04116150316,89465.38954850269,1.9076200000000052,89322.36767479562
89448.69638725587,89466.39132602843,0.3896200000000052,89324.19363510795
89414.95837127996,89440.89864001302,-0.11637999999999482,89325.24546895699
89445.16991717803,89436.27489190466,-0.11637999999999482,89326.24054698645
89482.36209598772,89447.49679481528,0.3896200000000052,89327.83883326473
89434.511581883,89454.01453168294,1.4016200000000052,89330.48819404891
89368.56667924901,89428.48011903993,-0.11637999999999482,89331.35289709881
89559.6683223619,89454.24886116465,-0.6223799999999948,89331.96570053947
89397.9966301926,89442.07721060119,1.4016200000000052,89334.45441944008
89454.68664681276,89470.78386645578,-0.11637999999999482,89335.70249771023
89489.29880483936,89447.32736061495,-0.6223799999999948,89336.20259013928
89482.60523929997,89475.53023031738,-0.6223799999999948,89336.97971034107
89445.46317745335,89472.45574053092,-2.140379999999995,89336.21549444296
89485.66502192168,89471.24447955836,-0.11637999999999482,89337.45056809411
89411.76710317326,89447.6317675161,1.4016200000000052,89339.93998388833
89367.86187367326,89421.76466625607,-0.11637999999999482,89340.643014512
89464.91676386882,89414.84858023845,-1.1283799999999948,89340.26797396927
89522.86270533955,89451.88044762722,-0.6223799999999948,89340.76794250584
89492.69057181233,89493.49001367357,-1.1283799999999948,89341.17806701752
89417.9804967031,89477.844591285,-1.1283799999999948,89341.4276360602
89455.10332704526,89455.25813185358,-2.646379999999995,89339.94602481813
89384.6096501419,89419.23115796344,0.3896200000000052,89341.12459994959
89509.32666343077,89449.67988020601,1.4016200000000052,89343.59775655216
89488.66828615565,89460.86819990947,-0.6223799999999948,89344.15430478573
89431.17719547542,89476.39071502065,-0.11637999999999482,89345.36145268807
89485.72544855507,89468.52364339541,-1.6343799999999948,89344.97503839515
89485.33242162484,89467.41168855182,1.9076200000000052,89348.08794869672
89496.11152882638,89489.05646633547,0.8956200000000052,89350.3842976731
89431.81212610261,89471.08535885131,-0.6223799999999948,89350.97515208488
89452.63866740208,89460.18744077707,-0.11637999999999482,89351.9520587718
89417.70665437706,89434.05248262729,0.3896200000000052,89353.15878681035
89411.87073115334,89427.40535097754,0.3896200000000052,89354.28697625201
89428.78382009425,89419.45373520826,-0.11637999999999482,89354.82342764158
89478.56993013143,89439.74149379304,-0.6223799999999948,89355.05645210309
89385.36802170597,89430.9072573106,0.8956200000000052,89356.70162395516
89465.60816831984,89443.18204005247,-0.6223799999999948,89356.95027191612
89445.30029333722,89432.09216112107,-0.6223799999999948,89357.08553460818
89439.62631355597,89450.17825840441,-0.11637999999999482,89357.90124564614
89384.68195657666,89423.20285449001,-0.6223799999999948,89357.93810553457
89429.35340147544,89417.8872238694,0.3896200000000052,89358.92332051793
89488.75845548946,89434.2646045139,-0.11637999999999482,89359.5615171579
89603.67771866941,89507.26319187816,0.3896200000000052,89361.4242577051
89347.56293415683,89479.99970277194,0.3896200000000052,89362.99573595577
89424.61112001528,89458.61725761386,1.4016200000000052,89365.33955497235
89378.7568402868,89383.64363148634,-0.6223799999999948,89364.90643953749
89441.31300170608,89414.89365400276,-0.11637999999999482,89365.29109548214
89437.8794288874,89419.3164236268,-0.6223799999999948,89365.2151925636
89408.23025027542,89429.140893623,-0.6223799999999948,89365.23829337419
89400.51600201029,89415.54189372441,1.4016200000000052,89367.1289331777
89432.61212184497,89413.78612471027,-2.140379999999995,89365.47652889302
89485.0902603794,89439.40612807825,-0.11637999999999482,89366.10060868486
89411.93979620404,89443.21405947616,-3.152379999999995,89363.75088699277
89465.73368642585,89454.25458100312,2.919620000000005,89367.54634773287
89428.34749056266,89435.34032439755,2.919620000000005,89371.11471129952
89445.00686082535,89446.36267927132,0.3896200000000052,89372.25291477924
89455.39142539525,89442.9152589278,-0.6223799999999948,89372.34338202071
89438.50692071783,89446.3017356462,-0.6223799999999948,89372.46680935696
89438.01164887863,89443.96999833062,1.4016200000000052,89374.56944504671
89455.93478135037,89444.15111698232,-1.6343799999999948,89373.64722556606
89388.22569063901,89427.39070695604,-0.11637999999999482,89374.06944417996
89489.14882232613,89444.43643143853,-1.1283799999999948,89373.65601785255
89435.14283041965,89437.50578112829,1.9076200000000052,89376.18305928531
89482.08828664919,89468.79331313168,-0.6223799999999948,89376.49300562378
89428.24670451248,89448.49260719381,0.3896200000000052,89377.59872543947
89499.06118604464,89469.79872573547,2.919620000000005,89381.41114924243
89475.35803687484,89467.55530914402,-1.6343799999999948,89380.65455464144
89428.44824110958,89467.6224880097,-0.11637999999999482,89381.40901777512
89475.32720047225,89459.71115948557,-0.11637999999999482,89382.07682299223
