1.0,0.997,0.99,0.9,0.5,0.0
89.746,89.746,89.746,89.746,89.746,89.747
89.75,89.75,89.749,89.74,89.701,89.652
89.749,89.749,89.749,89.745,89.749,89.798
89.749,89.749,89.749,89.746,89.751,89.753
89.75,89.75,89.749,89.739,89.711,89.669
89.751,89.75,89.749,89.738,89.717,89.723
89.749,89.748,89.747,89.729,89.687,89.659
89.748,89.748,89.746,89.728,89.708,89.73
89.75,89.749,89.747,89.725,89.698,89.686
89.749,89.748,89.745,89.723,89.705,89.713
89.749,89.748,89.745,89.722,89.707,89.71
89.749,89.748,89.744,89.714,89.677,89.645
89.748,89.747,89.743,89.716,89.708,89.74
89.747,89.745,89.742,89.723,89.754,89.801
89.746,89.744,89.741,89.711,89.681,89.608
89.748,89.746,89.742,89.708,89.671,89.659
89.747,89.745,89.74,89.706,89.686,89.703
89.748,89.746,89.741,89.709,89.704,89.72
89.748,89.746,89.741,89.717,89.75,89.798
89.748,89.746,89.741,89.716,89.725,89.7
89.748,89.746,89.74,89.709,89.687,89.649
89.748,89.746,89.74,89.712,89.714,89.74
89.747,89.745,89.739,89.711,89.711,89.709
89.747,89.744,89.738,89.713,89.72,89.73
89.747,89.744,89.739,89.721,89.759,89.798
89.745,89.742,89.737,89.713,89.709,89.66
89.745,89.743,89.737,89.719,89.736,89.764
89.745,89.743,89.737,89.721,89.737,89.737
89.743,89.74,89.735,89.715,89.71,89.686
89.744,89.741,89.736,89.717,89.718,89.723
89.746,89.743,89.738,89.722,89.735,89.751
89.746,89.743,89.738,89.724,89.74,89.744
89.747,89.744,89.738,89.728,89.75,89.761
89.748,89.745,89.74,89.729,89.736,89.72
89.749,89.746,89.74,89.73,89.735,89.734
89.749,89.746,89.74,89.732,89.741,89.748
89.75,89.747,89.741,89.728,89.711,89.68
89.751,89.748,89.742,89.733,89.74,89.767
89.75,89.747,89.74,89.725,89.704,89.669
89.748,89.744,89.737,89.711,89.654,89.605
89.749,89.746,89.74,89.737,89.804,89.953
89.749,89.746,89.739,89.717,89.671,89.537
89.754,89.749,89.741,89.7,89.592,89.51
89.755,89.751,89.744,89.725,89.765,89.936
89.757,89.753,89.746,89.731,89.767,89.767
89.756,89.752,89.742,89.701,89.603,89.439
89.759,89.755,89.748,89.741,89.843,90.081
89.758,89.754,89.746,89.733,89.756,89.67
89.759,89.753,89.744,89.7,89.576,89.396
89.761,89.756,89.749,89.736,89.808,90.037
89.76,89.755,89.746,89.714,89.666,89.524
89.761,89.756,89.746,89.71,89.667,89.666
89.761,89.756,89.748,89.732,89.796,89.926
89.762,89.756,89.746,89.715,89.676,89.555
89.762,89.757,89.747,89.717,89.702,89.727
89.762,89.757,89.748,89.734,89.8,89.899
89.761,89.756,89.747,89.729,89.743,89.687
89.762,89.757,89.748,89.728,89.724,89.704
89.764,89.758,89.749,89.735,89.758,89.791
89.763,89.758,89.748,89.724,89.69,89.622
89.762,89.756,89.746,89.73,89.748,89.808
89.763,89.758,89.748,89.728,89.722,89.694
89.764,89.758,89.748,89.732,89.745,89.768
89.764,89.758,89.748,89.731,89.733,89.721
89.765,89.759,89.749,89.728,89.71,89.687
89.766,89.76,89.75,89.733,89.738,89.764
