acc,lpf_acc,gyro,control_angle
89620.50749281452,89620.50749281452,0.0,89620.50749281452
89620.50749281452,89620.50749281452,0.29854000000000175,89620.80304741452
89455.87091336351,89565.62863299751,-2.2314599999999984,89618.04215787035
89495.6377597497,89548.13091468556,-2.7374599999999982,89614.63296003849
89516.6204973903,89541.8288312265,-2.7374599999999982,89611.19483335037
89485.72544855507,89532.47826744792,-1.2194599999999982,89609.20040229135
89536.55731456216,89533.06098846425,0.29854000000000175,89608.73456275307
89506.36960590116,89529.72456564386,-0.20745999999999828,89607.73907738198
89486.328935436,89524.9028289541,-1.2194599999999982,89605.70344949771
89549.99991278959,89527.41253733764,-0.20745999999999828,89604.71515497612
89550.76465541829,89520.43825359803,0.29854000000000175,89604.16794056234
89527.00291663184,89511.08779597975,-0.20745999999999828,89603.03175371651
89569.88616424886,89522.48932106828,0.29854000000000175,89602.52188399003
89479.67117986975,89520.89266308029,-1.7254599999999982,89599.99738638093
89486.11787609085,89517.84240095035,-1.7254599999999982,89597.46763112662
89583.4599050942,89527.61584660425,-0.7134599999999983,89596.0627878814
89516.33673413967,89525.59378856202,-1.2194599999999982,89594.15083248822
89486.17819644458,89523.57464761636,-0.7134599999999983,89592.73874523949
89559.72006131246,89530.91376020401,-0.20745999999999828,89591.91510998913
89436.00436536963,89519.51420546202,1.3105400000000018,89592.48853554387
89584.75234176412,89522.9129740966,-0.20745999999999828,89591.5873945294
89502.92186920278,89520.5048693537,0.29854000000000175,89591.17212387764
89533.05962869753,89516.82221579857,0.8045400000000017,89591.22511939684
89543.0371944545,89523.15881725703,1.8165400000000018,89592.34283097544
89546.50615751557,89529.19764539952,-1.7254599999999982,89590.00317371968
89586.99155479578,89529.55081036966,1.3105400000000018,89590.69608468619
89603.70098977225,89538.28723593292,-0.20745999999999828,89589.96661079866
89465.95320138478,89536.26473642692,0.8045400000000017,89590.22608665493
89567.36196386909,89537.02892668259,-0.7134599999999983,89588.9877896552
89516.42189806471,89545.07067995208,0.29854000000000175,89588.84417315817
89499.64917386697,89536.56036316237,-1.2194599999999982,89587.11406965822
89523.22670957299,89538.59084719939,0.8045400000000017,89587.42533203361
89516.67721011878,89536.9526053415,-0.20745999999999828,89586.71521936668
89503.3591563114,89532.9848015272,-0.20745999999999828,89585.97252978828
89607.70725710345,89539.10491148598,-1.2194599999999982,89584.29658820527
89543.41261558107,89534.74701756451,1.3105400000000018,89585.09852709887
89485.12054298799,89522.88897288608,-1.7254599999999982,89582.76822615675
89552.94068512661,89531.58772126026,0.29854000000000175,89582.5519757078
89519.27444386536,89526.7789692599,-0.7134599999999983,89581.28792024333
89526.39199961304,89527.77597941473,-0.7134599999999983,89580.04647543504
