phase,x,y,theta,angle,dE.I
0,0.0,0.0,0.0,89.54870884607253,0
0,0.0,0.0,0.0,89.54892198585843,0
0,0.0,0.0,0.0,89.54998996321534,0
0,0.0,0.0,0.0,89.54895991249099,0
0,0.0,0.0,0.0,89.55051980293288,0
0,0.0,0.0,0.0,89.55165579311426,0
0,0.0,0.0,0.0,89.5511801282449,0
0,0.0,0.0,0.0,89.55132616346998,0
0,0.0,0.0,0.0,89.55196521569144,0
0,0.0,0.0,0.0,89.55318169731918,0
0,0.0,0.0,0.0,89.55380989676856,0
0,0.0,0.0,0.0,89.553939438213,0
0,0.0,0.0,0.0,89.55575966912303,0
0,0.0,0.0,0.0,89.55709267014926,0
0,0.0,0.0,0.0,89.55787297063989,0
0,0.0,0.0,0.0,89.55807617901382,0
0,0.0,0.0,0.0,89.56044562784565,0
0,0.0,0.0,0.0,89.56111355252327,0
0,0.0,0.0,0.0,89.56128156178724,0
0,0.0,0.0,0.0,89.56093303031767,0
0,0.0,0.0,0.0,89.56268220361643,0
0,0.0,0.0,0.0,89.56133259052567,0
0,0.0,0.0,0.0,89.56148517508319,0
0,0.0,0.0,0.0,89.56167594859252,0
0,0.0,0.0,0.0,89.56398669290216,0
0,0.0,0.0,0.0,89.56268723994101,0
0,0.0,0.0,0.0,89.561816827954,0
0,0.0,0.0,0.0,89.56307899068845,0
0,0.0,0.0,0.0,89.56225136046028,0
0,0.0,0.0,0.0,89.56193326567366,0
0,0.0,0.0,0.0,89.56371098775786,0
0,0.0,0.0,0.0,89.56604072000091,0
0,0.0,0.0,0.0,89.5677972969213,0
0,0.0,0.0,0.0,89.56789729817419,0
0,0.0,0.0,0.0,89.56690735926642,0
0,0.0,0.0,0.0,89.5642979991696,0
0,0.0,0.0,0.0,89.56388631175412,0
0,0.0,0.0,0.0,89.56553660285367,0
0,0.0,0.0,0.0,89.56620030710468,0
0,0.0,0.0,0.0,89.5663479809827,0
0,0.0,0.0,0.0,89.56640408933785,0
0,0.0,0.0,0.0,89.56582259556575,0
0,0.0,0.0,0.0,89.56630236954847,0
0,0.0,0.0,0.0,89.56677419723407,0
0,0.0,0.0,0.0,89.56775339516601,0
0,0.0,0.0,0.0,89.56979595463667,0
0,0.0,0.0,0.0,89.57078664791071,0
0,0.0,0.0,0.0,89.57489992218134,0
0,0.0,0.0,0.0,89.57379441131023,0
0,0.0,0.0,0.0,89.57370277871479,0
0,0.0,0.0,0.0,89.57365483906389,0
0,0.0,0.0,0.0,89.5736682277027,0
0,0.0,0.0,0.0,89.57316318996807,0
0,0.0,0.0,0.0,89.5721935735998,0
0,0.0,0.0,0.0,89.57496813922556,0
0,0.0,0.0,0.0,89.57351472235338,0
0,0.0,0.0,0.0,89.57310671243894,0
0,0.0,0.0,0.0,89.5727184467298,0
0,0.0,0.0,0.0,89.57370845481165,0
0,0.0,0.0,0.0,89.57368917717496,0
0,0.0,0.0,0.0,89.57425685018389,0
0,0.0,0.0,0.0,89.57524492636972,0
0,0.0,0.0,0.0,89.57420042149016,0
0,0.0,0.0,0.0,89.57420159251937,0
0,0.0,0.0,0.0,89.57471928391718,0
0,0.0,0.0,0.0,89.57422370547353,0
0,0.0,0.0,0.0,89.57114244069714,0
0,0.0,0.0,0.0,89.57068586291446,0
0,0.0,0.0,0.0,89.57031723617985,0
0,0.0,0.0,0.0,89.5720037872992,0
0,0.0,0.0,0.0,89.57156881571738,0
0,0.0,0.0,0.0,89.57170519131375,0
0,0.0,0.0,0.0,89.5723264963739,0
0,0.0,0.0,0.0,89.5735052374499,0
0,0.0,0.0,0.0,89.57307611827456,0
0,0.0,0.0,0.0,89.57419316005632,0
0,0.0,0.0,0.0,89.57221834935129,0
0,0.0,0.0,0.0,89.57896102469127,0
0,0.0,0.0,0.0,89.57514800367557,0
0,0.0,0.0,0.0,89.56804154785267,0
0,0.0,0.0,0.0,89.56545831977472,0
0,0.0,0.0,0.0,89.56571785249965,0
0,0.0,0.0,0.0,89.56669125163262,0
0,0.0,0.0,0.0,89.56874854536886,0
0,0.0,0.0,0.0,89.57098619189878,0
0,0.0,0.0,0.0,89.57351546590334,0
0,0.0,0.0,0.0,89.57473552080211,0
0,0.0,0.0,0.0,89.57291593777325,0
0,0.0,0.0,0.0,89.57606047361236,0
0,0.0,0.0,0.0,89.57929961191967,0
0,0.0,0.0,0.0,89.58042951909336,0
0,0.0,0.0,0.0,89.58105818415908,0
0,0.0,0.0,0.0,89.58144205307711,0
0,0.0,0.0,0.0,89.5806875656648,0
0,0.0,0.0,0.0,89.58120357989725,0
0,0.0,0.0,0.0,89.5822018579567,0
0,0.0,0.0,0.0,89.58329388913205,0
0,0.0,0.0,0.0,89.55874929829884,0
0,0.0,0.0,0.0,89.53553551698337,0
0,0.0,0.0,0.0,89.52285084380392,0
0,0.0,0.0,0.0,89.49199819409425,0
0,0.0,0.0,0.0,89.45901713998599,0
0,0.0,0.0,0.0,89.44747957902736,0
0,0.0,0.0,0.0,89.28869116795276,0
0,0.0,0.0,0.0,89.0010598828481,0
0,0.0,0.0,0.0,88.76407557892414,0
0,0.0,0.0,0.0,88.47911300894546,0
0,0.0,0.0,0.0,88.0814873130574,0
0,0.0,0.0,0.0,87.63090015896782,0
0,0.0,0.0,0.0,87.04437291055868,0
0,0.0,0.0,0.0,86.19540096092089,0
0,0.0,0.0,0.0,85.07437779828366,0
0,0.0,0.0,0.0,83.81582737930398,0
0,0.0,0.0,0.0,82.5162088841564,0
0,0.0,0.0,0.0,81.2071985384201,0
0,0.0,0.0,0.0,79.8714864503842,0
0,0.0,0.0,0.0,78.4971575686981,0
0,0.0,0.0,0.0,77.02287759570326,0
0,0.0,0.0,0.0,75.44429265804439,0
0,0.0,0.0,0.0,73.76182661061186,0
0,0.0,0.0,0.0,71.97767573954312,0
0,0.0,0.0,0.0,70.19668540444069,0
0,0.0,0.0,0.0,68.39616226395792,0
0,0.0,0.0,0.0,66.54237624235734,0
0,0.0,0.0,0.0,64.6166004938188,0
0,0.0,0.0,0.0,62.59958523822568,0
0,0.0,0.0,0.0,60.47355820617229,0
0,0.0,0.0,0.0,58.28604453595819,0
0,0.0,0.0,0.0,56.105107829639564,0
0,0.0,0.0,0.0,53.95054330562496,0
0,0.0,0.0,0.0,51.804382007424024,0
0,0.0,0.0,0.0,49.63713295345932,0
0,0.0,0.0,0.0,47.39274211712492,0
0,0.0,0.0,0.0,45.0896011991256,0
0,0.0,0.0,0.0,42.78840275879682,0
0,0.0,0.0,0.0,40.541931987478804,0
0,0.0,0.0,0.0,38.3839609182513,0
0,0.0,0.0,0.0,36.18269210850673,0
0,0.0,0.0,0.0,33.939800169084066,0
0,0.0,0.0,0.0,31.896433105713168,0
1,0.0,0.0,0.0,29.881238659405156,0
1,0.0,0.0,0.0,28.021193891372285,0.0
1,0.0,0.0,0.0,26.24293696348434,0.0
1,0.0,0.0,0.0,24.576971703256923,0.0
1,0.0,0.0,0.0,23.01252015946624,0.0
1,0.0,0.0,0.0,21.537798245235575,0.0
1,-0.12417350465849462,-0.00014826039653970113,0.13681970203709334,20.156731397758996,-0.001773907209407066
1,-0.12417350465849462,-0.00014826039653970113,0.13681970203709334,18.848214544698592,-0.003547814418814132
1,-0.24834700931698925,-0.00029652079307940227,0.0,17.619151192987854,-0.007095628837628264
1,-0.4966933105565539,0.0002965199476578917,-0.2736394040741867,16.546195167860013,-0.014191247559864749
1,-1.4900785155148126,0.0026686829106070675,0.0,15.642799155435421,-0.03547808349579064
1,-2.483463720473071,0.0002965199476578917,0.2736394040741867,15.0223704399949,-0.07095613664540593
1,-3.8493489052059138,-0.007857755363588572,0.41045910611128,14.94041857196273,-0.1259468352912047
1,-6.084370026636451,-0.029206917677296218,0.6840985101854667,15.11451964937088,-0.21286640710029686
1,-8.070942178265703,-0.05767192636258041,0.9577379142596537,15.55284316632453,-0.3281655810755212
1,-10.181454416875512,-0.10051616763760987,1.3681970203709333,16.167869568451742,-0.4736149298880285
1,-13.0363648023378,-0.1789359296154461,1.7786561264822138,16.870827826005034,-0.6598487127785685
1,-14.801958499698664,-0.1789359296154461,1.778656126482213,17.75399010351815,-0.8713052627742637
1,-16.53941617270791,-0.23704315205153667,2.0522955305563997,18.487753956163452,-1.107582636670091
1,-17.90439016745275,-0.2875884164077677,2.1891152325934935,18.438965666792566,-1.363359639062273
1,-18.40076558516078,-0.3053758513535326,1.9154758285193059,18.389287482127738,-1.6262277188502843
1,-19.145447646516054,-0.3285007475888988,1.6418364244451205,17.830095920688844,-1.8997341138005135
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,17.22614527079504,-2.1750137483855334
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,16.676395455940167,-2.4502933829705533
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,16.298868021051604,-2.7255730175555732
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,15.791356161577086,-3.000852652140593
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,15.391505983572376,-3.276132286725613
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,15.039243994765922,-3.551411921310633
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,14.754145291846422,-3.826691555895653
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,14.415472325404174,-4.101971190480673
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,14.108439781985682,-4.377250825065693
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,13.845731482011292,-4.6525304596507135
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,13.641002143602854,-4.927810094235734
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,13.37669272354773,-5.203089728820754
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,13.17085893169779,-5.478369363405775
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,12.992519585183615,-5.753648997990795
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,12.799984426995502,-6.028928632575815
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,12.626533083018412,-6.304208267160836
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,12.483366204599104,-6.579487901745856
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,12.324201928657804,-6.854767536330876
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,12.186126123230743,-7.130047170915897
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,12.056846235289736,-7.405326805500917
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,11.92786482885939,-7.6806064400859375
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,11.806231556530305,-7.955886074670958
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,11.692670337448982,-8.231165709255977
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,11.57447325956261,-8.506445343840998
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,11.466780938692537,-8.781724978426018
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,11.35907157376711,-9.057004613011038
1,-19.269574420951397,-0.3319103089383071,1.5050167224080273,11.252208849691861,-9.332284247596059
