phase,x,y,theta,angle,dE.I
0,0.0,0.0,0.0,91.16452744271143,0
0,0.0,0.0,0.0,91.16364482436899,0
0,0.0,0.0,0.0,91.16363433393866,0
0,0.0,0.0,0.0,91.16048206328948,0
0,0.0,0.0,0.0,91.15984347617305,0
0,0.0,0.0,0.0,91.15976280097804,0
0,0.0,0.0,0.0,91.161683458031,0
0,0.0,0.0,0.0,91.1608978360988,0
0,0.0,0.0,0.0,91.15808031010039,0
0,0.0,0.0,0.0,91.15465152156692,0
0,0.0,0.0,0.0,91.15323061552759,0
0,0.0,0.0,0.0,91.15091240530894,0
0,0.0,0.0,0.0,91.15026339153206,0
0,0.0,0.0,0.0,91.149107035474,0
0,0.0,0.0,0.0,91.14702198099599,0
0,0.0,0.0,0.0,91.14638874805603,0
0,0.0,0.0,0.0,91.14585732244652,0
0,0.0,0.0,0.0,91.14344087530412,0
0,0.0,0.0,0.0,91.14360681688989,0
0,0.0,0.0,0.0,91.14377622591114,0
0,0.0,0.0,0.0,91.14293430638651,0
0,0.0,0.0,0.0,91.14406497439532,0
0,0.0,0.0,0.0,91.14463304209168,0
0,0.0,0.0,0.0,91.143618737473,0
0,0.0,0.0,0.0,91.14206587073058,0
0,0.0,0.0,0.0,91.14112786888074,0
0,0.0,0.0,0.0,91.13811007239548,0
0,0.0,0.0,0.0,91.13805167609156,0
0,0.0,0.0,0.0,91.13743711216588,0
0,0.0,0.0,0.0,91.1363893691102,0
0,0.0,0.0,0.0,91.13699396580577,0
0,0.0,0.0,0.0,91.1355608519799,0
0,0.0,0.0,0.0,91.13412853190499,0
0,0.0,0.0,0.0,91.13377626515162,0
0,0.0,0.0,0.0,91.13489832463576,0
0,0.0,0.0,0.0,91.1345306402163,0
0,0.0,0.0,0.0,91.1340904517241,0
0,0.0,0.0,0.0,91.13372399321595,0
0,0.0,0.0,0.0,91.1344623609974,0
0,0.0,0.0,0.0,91.13355185570384,0
0,0.0,0.0,0.0,91.13311750143593,0
0,0.0,0.0,0.0,91.13366613179113,0
0,0.0,0.0,0.0,91.13362763018925,0
0,0.0,0.0,0.0,91.13250596579742,0
0,0.0,0.0,0.0,91.13198366537046,0
0,0.0,0.0,0.0,91.13084388827919,0
0,0.0,0.0,0.0,91.12759162275293,0
0,0.0,0.0,0.0,91.12649952759561,0
0,0.0,0.0,0.0,91.1269984948846,0
0,0.0,0.0,0.0,91.12593906636103,0
0,0.0,0.0,0.0,91.12689128184626,0
0,0.0,0.0,0.0,91.12733266607172,0
0,0.0,0.0,0.0,91.12621793100962,0
0,0.0,0.0,0.0,91.12621418837719,0
0,0.0,0.0,0.0,91.12312302424489,0
0,0.0,0.0,0.0,91.12271599191443,0
0,0.0,0.0,0.0,91.12240128330819,0
0,0.0,0.0,0.0,91.12150242820987,0
0,0.0,0.0,0.0,91.11842327606087,0
0,0.0,0.0,0.0,91.11799275082613,0
0,0.0,0.0,0.0,91.11663746230768,0
0,0.0,0.0,0.0,91.11633334956065,0
0,0.0,0.0,0.0,91.11769930710955,0
0,0.0,0.0,0.0,91.11691887351454,0
0,0.0,0.0,0.0,91.11446179989842,0
0,0.0,0.0,0.0,91.11670006478222,0
0,0.0,0.0,0.0,91.11633860954534,0
0,0.0,0.0,0.0,91.11698879642819,0
0,0.0,0.0,0.0,91.11823500706184,0
0,0.0,0.0,0.0,91.11944415841138,0
0,0.0,0.0,0.0,91.11745615317487,0
0,0.0,0.0,0.0,91.11709300006152,0
0,0.0,0.0,0.0,91.11460552389957,0
0,0.0,0.0,0.0,91.11267828159022,0
0,0.0,0.0,0.0,91.11084539801601,0
0,0.0,0.0,0.0,91.10952618414477,0
0,0.0,0.0,0.0,91.10972835681389,0
0,0.0,0.0,0.0,91.11006716065695,0
0,0.0,0.0,0.0,91.10833734705693,0
0,0.0,0.0,0.0,91.10924110178456,0
0,0.0,0.0,0.0,91.10850913817916,0
0,0.0,0.0,0.0,91.10768376783118,0
0,0.0,0.0,0.0,91.10893259895413,0
0,0.0,0.0,0.0,91.10751775215408,0
0,0.0,0.0,0.0,91.110815593689,0
0,0.0,0.0,0.0,91.11002003499443,0
0,0.0,0.0,0.0,91.11022815384044,0
0,0.0,0.0,0.0,91.10735945854815,0
0,0.0,0.0,0.0,91.10650468747414,0
0,0.0,0.0,0.0,91.10780828606002,0
0,0.0,0.0,0.0,91.10767916733914,0
0,0.0,0.0,0.0,91.10812234978958,0
