mag_x, mag_y, mag_z
 -354.49, -219.32,  900.91
  325.33, -236.10,  878.24
  930.16,  187.86,  531.47
  761.94,  670.81,   26.54
   40.91, 1014.48,   15.74
 -688.68,  735.51,   60.26
 -959.37,  313.20,   45.34
-1013.47,   32.69,  -93.39
 -960.57,  -50.53, -288.66
 -981.80,  141.78, -156.65
 -891.60,  425.77,  193.72
 -661.13,  579.17,  481.08
 -390.65,  812.89,  418.23
 -583.13,  783.53,  200.34
 -879.86,  418.33,  303.23
-1003.15,  -76.09,   60.75
 -909.74, -339.96, -207.05
 -818.56, -357.34, -455.65
 -902.68, -237.94, -348.86
 -999.18,  -89.59,  -76.31
 -946.37,  -22.21,  303.48
 -585.50,  223.45,  794.20
 -129.64,  519.60,  827.20
 -128.30,  735.64,  637.27
 -496.08,  667.46,  522.57
 -887.61,  152.33,  433.27
 -875.56, -399.59,  125.48
 -742.28, -542.85, -397.40
 -815.57, -373.32, -392.39
 -999.33,  -80.22,  -64.56
 -945.52,  113.54,  321.32
 -629.76,  407.02,  667.90
  -83.15,  733.08,  673.21
  389.35,  800.53,  405.27
  646.73,  764.43,   34.10
  628.51,  717.23, -366.24
  412.39,  572.33, -732.50
  -10.66,  469.51, -914.60
 -515.22,  302.99, -668.78
 -829.37,  222.24, -533.88
 -930.72,  208.62, -336.66
 -978.56,  175.94, -221.94
 -983.18,  165.65, -144.48
 -982.79,  157.47, -178.00
 -985.46,  176.18, -222.03
 -972.09,  187.64, -255.79
 -941.32,  272.84, -257.36
 -867.18,  510.24, -135.41
 -585.50,  800.09,  151.63
 -204.53,  914.01,  370.71
  200.11,  904.23,  589.26
  431.20,  850.00,  244.75
  573.63,  824.45,  -21.84
  605.96,  778.90, -220.93
  598.99,  685.15, -486.14
  496.77,  591.55, -691.21
  265.30,  464.63, -897.13
   21.61,  322.64, -964.62
 -184.55,  199.78, -961.55
 -255.14,  184.43, -974.86
 -310.12,  212.55, -922.01
 -338.22,  324.41, -894.48
 -350.84,  407.43, -689.96
 -396.42,  436.55, -810.99
 -367.99,  407.19, -827.74
 -212.70,  381.93, -904.12
  -46.55,  386.60, -923.11
   51.03,  389.36, -918.20
  101.80,  418.37, -914.59
  210.50,  478.81, -863.34
  290.05,  508.34, -812.71
  349.67,  540.60, -789.72
  370.74,  573.24, -720.67
  368.99,  663.95, -628.94
  369.50,  787.75, -355.00
  311.27,  825.43, -421.82
  264.76,  877.92, -341.58
  215.65,  917.92, -254.85
  125.76,  924.09, -192.83
   71.98,  943.44, -155.13
   11.73,  952.32, -103.69
  -66.62,  968.71,  -61.17
 -187.60,  961.51,  -23.16
 -295.42,  931.13,   -6.82
 -384.29,  917.59,   48.78
 -487.92,  902.97,  267.16
 -516.03,  818.25,   91.45
 -613.84,  785.42,   70.53
 -697.63,  710.96,   64.16
 -779.17,  620.36,   12.28
 -831.32,  557.10,  -28.75
 -865.38,  499.78,  -37.61
 -918.76,  404.18,  -47.44
 -967.69,  295.82,  -51.69
 -982.10,  231.73,  -69.75
 -991.44,  137.60,  -84.91
-1006.31,   60.15,  -87.44
 -973.63,   -3.47,   52.43
 -998.14,  -96.80,  -67.33
-1001.03, -155.37,  -44.60
-1006.19, -173.26,   33.98
 -981.35, -176.91,   99.73
 -975.09, -138.97,  201.46
 -953.85,  -71.71,  301.66
 -931.42,   17.79,  384.26
 -886.35,  117.37,  425.59
 -845.43,  228.00,  468.05
 -790.55,  330.15,  482.73
 -735.68,  446.11,  494.68
 -639.41,  582.67,  645.81
 -594.64,  642.87,  466.65
 -542.83,  726.40,  421.70
 -465.09,  801.81,  330.66
 -384.76,  869.22,  269.10
 -330.61,  916.70,  212.34
 -314.74,  933.30,  144.20
 -282.79,  943.93,  120.18
 -312.78,  938.33,   98.53
 -328.09,  933.42,   71.44
 -424.23,  893.13,   34.35
 -550.07,  835.96,   18.38
 -649.25,  774.54,  172.83
 -801.43,  611.19,   41.82
 -868.71,  495.38,   27.17
 -945.42,  354.38,   53.21
-1006.13,  154.74,   87.31
 -998.48,  -42.07,   95.65
 -989.57, -207.65,   96.46
 -944.37, -358.42,   62.90
 -885.66, -461.71,   64.81
 -808.96, -580.60,   71.80
 -744.12, -682.80,   92.85
 -664.53, -758.39,   85.00
 -584.02, -788.43,  258.10
 -503.71, -872.18,  154.58
 -406.70, -920.17,  157.39
 -312.61, -940.88,  160.09
 -235.69, -974.23,  144.18
  -94.14, -983.81,  173.16
   -7.68, -977.23,  191.84
   75.99, -978.15,  218.21
  210.80, -976.14,  204.90
  315.44, -940.21,  182.82
  435.59, -882.50,  195.89
  546.19, -814.54,  171.02
  660.54, -711.98,  312.88
  732.89, -653.67,  136.00
  732.89, -653.67,  136.00
  807.99, -575.04,  126.15
  865.79, -502.34,   65.46
  888.43, -461.45,   87.08
  916.51, -418.00,   26.58
  962.83, -318.16,  -50.95
  991.25, -239.04,  -69.89
  997.87, -160.99, -143.91
  978.32,  -63.61, -278.33
  965.95,   75.26, -323.73
  942.60,  249.45, -274.58
  935.38,  447.74,  -76.20
  856.21,  537.41, -152.42
  775.97,  631.80,  -56.98
  694.13,  733.49,   24.06
  637.99,  782.12,   43.42
  513.71,  853.79,   71.58
  397.70,  914.66,   45.57
  333.24,  925.98,   45.17
  308.08,  949.27,   18.22
  235.32,  960.25,   30.96
  133.55,  988.57,   23.05
  -14.18,  990.04,  -88.69
  -80.69, 1008.80,   15.56
 -152.57,  978.14, -201.25
 -275.30,  915.71, -274.51
 -243.78,  915.46, -314.14
 -114.42,  916.86, -379.18
   94.35,  895.56, -453.34
  281.12,  841.56, -481.64
  406.69,  785.00, -506.22
  533.29,  645.73, -549.29
  623.44,  481.86, -642.52
  626.32,  269.76, -725.58
  546.59,   61.06, -832.18
  421.24, -186.87, -737.25
  269.78, -386.64, -887.60
  204.38, -459.48, -880.20
  247.28, -501.32, -838.17
  294.96, -603.29, -756.59
  222.98, -725.23, -635.76
  205.41, -845.97, -499.64
  135.42, -963.12, -245.37
   33.82, -998.53,  -10.88
 -111.37, -980.49,  192.20
 -297.98, -904.38,  333.44
 -383.92, -830.08,  564.69
 -267.40, -775.33,  495.72
 -283.04, -701.87,  662.05
 -238.95, -600.95,  740.66
 -193.58, -499.76,  842.13
 -182.29, -346.24,  919.92
 -254.37,  -58.45,  943.70
 -323.95,  300.70,  871.49
 -408.95,  513.90,  736.13
 -488.84,  686.54,  534.36
 -541.99,  785.39,  254.69
 -586.89,  802.43,   83.69
 -585.46,  832.99,   57.91
 -590.31,  783.18, -248.31
 -576.96,  730.67, -408.27
 -530.79,  681.64, -527.98
 -451.53,  652.63, -626.05
 -371.33,  588.20, -725.91
 -234.86,  524.28, -814.42
 -181.13,  468.10, -881.09
 -126.89,  328.11, -959.39
  -38.20,  196.70, -979.00
  -33.63,   93.88,-1001.13
    3.99,  -85.13, -998.65
  -38.13, -248.20, -813.34
 -235.67, -460.81, -878.78
 -317.47, -602.76, -772.57
 -333.34, -749.53, -627.30
 -313.06, -834.63, -484.43
 -393.44, -864.71, -389.31
 -514.08, -827.90, -325.69
 -682.45, -700.91, -242.64
 -841.09, -507.61, -251.81
 -907.47, -344.12, -295.36
 -921.36, -197.59, -372.40
 -931.48,    3.27, -401.29
 -866.94,  221.72, -283.89
 -795.50,  346.56, -512.12
 -645.59,  494.78, -622.47
 -459.68,  665.53, -613.10
 -341.18,  795.82, -515.16
 -321.71,  906.06, -298.33
 -306.84,  939.96,  -26.61
 -256.72,  923.13,  238.73
 -151.72,  825.32,  542.25
   20.00,  719.15,  665.15
   92.63,  648.75,  745.17
   96.35,  510.90,  849.65
   54.01,  389.55, 1071.32
  -43.25,  289.62,  954.54
 -156.84,  206.83,  950.46
 -290.69,  100.92,  927.27
 -441.40,   -7.00,  877.68
 -541.08, -114.65,  823.78
 -629.59, -314.40,  705.06
 -617.34, -522.67,  585.72
 -518.42, -736.30,  430.96
 -374.61, -898.07,  289.47
 -214.92, -975.35,  187.01
 -103.33, -983.23,  123.74
   16.80, -965.21,  155.19
   60.65, -997.78,  -95.81
   76.57, -977.50, -234.03
   59.68, -949.70, -365.95
   59.99, -884.68, -486.16
   82.18, -824.44, -583.70
   98.84, -728.55, -701.40
   95.94, -551.03, -852.35
  104.01, -249.60, -991.22
   50.62,   77.82,-1017.68
    1.29,  384.79, -933.77
  -52.49,  648.16, -760.65
  -71.19,  874.52, -386.30
 -181.24,  941.43, -278.23
 -261.45,  966.78,    6.46
 -330.33,  908.07,  282.19
 -342.61,  808.52,  453.92
 -370.69,  687.44,  624.36
 -369.43,  521.64,  755.22
 -378.53,  395.07,  828.22
 -250.54,  284.01,  917.59
   26.14,  195.32,  966.96
  317.80,   16.63,  931.10
  460.23, -123.17,  892.73
  547.06, -323.94,  924.20
  535.43, -568.90,  623.36
  578.97, -715.83,  376.66
  621.96, -790.66,  121.01
  559.02, -847.35, -169.18
  410.37, -818.23, -478.04
  314.52, -668.26, -728.90
  225.45, -465.53, -863.61
  154.86, -314.46, -949.14
  176.83,  -25.50,-1010.28
  185.64,  211.33, -983.93
  118.34,  350.09, -952.81
   75.07,  540.36, -725.05
  -59.59,  647.78, -785.76
 -264.20,  791.12, -570.33
 -408.45,  874.44, -304.88
 -460.23,  895.50,  -91.93
 -524.53,  866.89,   87.24
 -524.53,  866.89,   87.24
 -592.94,  768.16,  291.85
 -615.83,  643.10,  471.32
 -642.60,  576.46,  520.34
 -679.31,  523.70,  531.61
 -706.55,  497.03,  517.16
 -685.98,  415.17,  702.04
 -454.89,  431.82,  783.37
 -237.78,  471.28,  824.74
 -177.81,  628.65,  758.98
 -227.02,  743.63,  576.73
 -418.49,  823.43,  364.62
 -555.41,  840.85,   78.00
 -592.71,  777.17, -227.96
 -514.25,  759.00, -441.87
 -429.25,  663.37, -675.69
 -280.58,  480.38, -878.94
 -206.77,  270.27, -961.27
 -213.67,  145.13, -835.95
 -343.50,   30.75, -959.29
 -537.96,   -1.91, -873.02
 -722.03,  -17.47, -735.92
 -886.35,  -83.37, -533.90
 -978.34,  -82.22, -302.01
-1030.09,   27.47,  -64.68
-1004.32,  177.62,  173.98
 -913.30,  343.48,  267.28
 -763.45,  585.03,  316.08
 -554.40,  800.19,  307.45
 -295.31,  906.62,  337.15
  -83.84,  927.91,  503.33
   22.51,  861.92,  434.62
   91.00,  809.77,  504.97
  145.21,  806.50,  507.13
  202.13,  825.73,  460.55
  290.84,  815.17,  433.35
  269.35,  844.05,  399.47
  271.66,  837.53,  442.71
  335.65,  769.17,  484.97
  448.44,  586.90,  641.66
  448.48,  482.08,  732.71
  508.50,  357.70,  761.26
  580.29,  230.46,  951.15
  593.21,   44.83,  789.95
  650.71, -294.02,  716.45
  539.81, -643.47,  569.15
  398.72, -792.31,  471.85
  227.75, -950.24,  294.90
    0.64,-1021.96,   62.30
 -195.06, -973.36, -207.43
 -285.32, -923.50, -339.09
 -344.69, -855.68, -447.52
 -484.20, -731.26, -550.65
 -485.66, -558.30, -702.02
 -443.76, -326.40, -701.75
 -398.96, -262.49, -896.71
 -456.36,  -63.16, -925.55
 -512.48,  103.99, -879.09
 -612.39,  204.93, -779.98
 -755.06,  272.76, -603.78
 -873.39,  310.93, -410.16
 -900.63,  334.94, -308.32
 -880.46,  358.00, -325.93
 -881.43,  425.07, -221.55
 -872.88,  484.26, -130.50
 -830.77,  552.73,  -84.60
 -783.64,  614.79,  179.94
 -780.77,  640.79,   21.11
 -732.24,  697.87,  -52.85
 -689.50,  737.21, -105.32
 -553.66,  839.82, -102.75
 -354.54,  934.63, -127.73
 -164.57,  989.27, -132.12
   11.27,  993.82, -134.91
  164.48,  981.87, -117.48
  335.06,  943.50,  -64.37
  535.19,  844.12,  -70.99
  711.63,  704.83,  -44.72
  881.03,  557.88,  106.66
  935.76,  381.69,   -2.30
  988.05,  229.09,   27.85
 1002.55,   -4.54,   31.69
  967.13, -267.69,   61.33
  833.14, -548.25,  102.93
  649.19, -768.90,   57.26
  449.95, -910.73,   10.97
  268.92, -980.72,   -2.04
  130.46,-1000.29, -107.40
  -30.84,-1006.04, -160.16
 -284.60, -961.99, -157.30
 -455.04, -848.07,  -39.92
 -669.88, -707.95, -256.46
 -760.55, -528.16, -355.97
 -818.71, -398.55, -442.51
 -876.28, -247.88, -426.95
 -905.00, -112.55, -416.98
 -927.43,   46.63, -381.22
 -914.98,  244.37, -326.38
 -817.27,  475.72, -351.13
 -719.53,  605.89, -373.10
 -639.27,  690.07, -366.74
 -440.65,  846.05, -339.32
 -187.33,  942.34, -199.77
  -95.71,  916.95, -362.60
   71.99,  902.45, -410.19
  258.09,  857.14, -443.91
  280.02,  838.80, -456.20
  367.03,  763.27, -501.09
  434.09,  687.58, -544.47
  568.75,  552.53, -558.57
  731.01,  370.50, -537.25
  819.55,  181.04, -515.74
  857.74,   45.48, -476.33
  885.25,  -29.58, -386.36
  967.83,    5.58, -216.75
  975.03,   34.34, -193.87
  957.94,   48.70, -295.36
  942.95,  -47.49, -303.44
  969.69, -193.44, -187.34
  952.40, -316.05,  -57.51
  964.15, -245.83, -110.28
  988.72, -171.84,  -74.13
  982.86, -193.86,   45.38
  997.46, -137.46,   87.50
  968.89,  -65.64,  248.54
  990.87,  -33.17,  382.11
  958.77,   -5.72,  300.61
  918.06,    8.19,  401.82
  816.63,   14.24,  576.37
  683.23,   35.53,  714.79
  510.47,   62.72,  861.89
  310.44,  122.55,  934.65
  159.14,  218.56,  949.22
   23.06,  303.74,  950.68
 -126.65,  425.75,  888.24
 -281.42,  520.61,  807.16
 -482.19,  544.29,  693.43
 -567.45,  597.31,  735.25
 -714.09,  556.69,  452.08
 -812.69,  532.32,  233.97
 -855.05,  545.03,  -12.39
 -838.79,  522.46, -199.39
 -760.70,  493.07, -465.00
 -501.46,  456.85, -753.93
 -360.18,  426.39, -840.42
 -253.79,  360.11, -881.52
 -250.02,  359.33, -908.21
 -166.85,  323.05, -924.02
  -54.79,  305.25, -943.52
   16.66,  319.57, -959.00
   62.75,  319.37, -799.94
  109.12,  269.40, -936.30
  279.63,  186.92, -903.33
  497.46,  124.80, -836.24
  617.94,  157.23, -764.99
  686.17,  186.76, -687.36
  792.57,  112.28, -611.74
  779.32,   11.57, -601.76
  814.28,   11.96, -568.17
  913.66,   41.52, -424.77
  964.52,  -55.37, -283.43
  992.13, -178.70, -130.24
 1029.86, -149.32,  151.64
  974.03, -231.04,  -84.80
  936.63, -339.38,  -54.00
  925.69, -404.85,   35.87
  883.95, -460.65,  124.29
  731.20, -544.94,  399.69
  595.02, -587.92,  532.00
  450.39, -591.83,  669.49
  397.74, -583.86,  684.15
  398.67, -624.78,  650.62
  345.55, -715.15,  629.56
  305.42, -763.34,  556.11
  261.66, -845.12,  599.40
  158.69, -954.15,  248.58
  192.89, -971.09,   59.33
  279.66, -971.11,  -72.15
  279.34, -956.78, -175.26
   88.33, -989.39, -137.37
 -145.15,-1006.52,   46.29
 -329.72, -897.99,  343.10
 -437.89, -710.98,  579.76
 -444.69, -464.48,  765.54
 -314.33, -150.04,  936.46
  -48.56,  164.31,  975.24
  109.48,  445.09, 1051.04
  167.92,  632.05,  761.36
  238.70,  782.58,  583.92
  192.04,  890.17,  429.89
  104.49,  950.54,  318.29
  -28.73,  980.77,  217.43
 -123.38,  997.10,   90.17
 -209.49,  990.79,  -28.03
 -286.28,  964.61,   15.25
 -221.68,  956.76,  249.47
  -13.34,  843.38,  554.27
  248.89,  578.75,  771.97
  437.07,  257.79, 1027.79
  502.56, -197.66,  806.23
  556.77, -526.13,  617.32
  571.13, -720.01,  392.83
  498.13, -840.37,  239.22
  335.11, -942.72,   31.07
  203.94, -927.73, -321.00
  190.62, -837.24, -525.67
  205.62, -818.65, -557.18
  305.93, -834.08, -476.71
  493.59, -773.47, -433.01
  705.18, -583.63, -432.61
  814.90, -373.06, -324.34
  814.06, -197.12, -538.77
  762.30,  -37.15, -646.75
  678.32,   58.70, -709.56
  611.39, -154.37, -776.61
  412.74, -399.43, -822.90
  176.74, -530.53, -841.60
 -117.02, -624.60, -741.94
 -383.82, -601.98, -697.93
 -544.87, -528.35, -637.63
 -651.51, -455.98, -592.68
 -751.70, -333.98, -540.54
 -778.57, -306.82, -372.98
 -835.19, -353.17, -423.67
 -882.97, -360.17, -295.02
 -918.94, -290.74, -256.62
 -899.91, -349.19, -265.99
 -827.23, -518.08, -279.64
 -645.99, -755.56, -213.93
 -222.51, -976.69, -128.33
  251.09, -974.25,  -39.33
  594.55, -805.45,   35.19
  770.47, -638.35,  148.88
  891.32, -399.46,  429.84
  901.47, -247.17,  388.17
  919.25,  -39.79,  408.95
  920.06,  106.07,  387.52
  936.85,  248.87,  284.85
  944.79,  345.43,  146.27
  916.05,  414.73,  -95.83
  838.18,  431.38, -374.23
  713.70,  419.28, -602.99
  615.16,  223.75, -769.54
  398.31,   83.20, -912.52
  317.02,  118.51, -934.46
  266.37,  269.76, -782.26
   80.57,  394.96, -904.61
 -150.45,  546.26, -822.77
 -370.72,  634.86, -656.36
 -451.80,  668.73, -575.67
 -533.48,  635.86, -526.59
 -627.38,  604.52, -469.80
 -696.12,  564.53, -437.20
 -728.14,  475.47, -474.89
 -779.31,  360.68, -523.52
 -823.90,  262.24, -517.43
 -822.54,   94.33, -557.97
 -799.58,  -31.29, -414.13
 -781.13, -118.43, -587.95
 -719.14, -382.60, -583.42
 -612.28, -404.68, -691.24
 -642.15, -262.05, -723.06
 -578.36, -303.59, -750.64
 -546.14, -385.87, -737.16
 -634.72, -508.82, -590.07
 -763.06, -575.20, -326.39
 -793.06, -611.22,  -55.61
 -628.86, -792.47,   72.01
 -381.31, -920.07,  145.82
 -186.91, -930.74,  360.93
  -11.22, -956.54,  281.63
  338.34, -918.64,  147.44
  596.19, -807.31,    0.71
  866.13, -503.46, -124.16
 1006.52, -164.34,  -26.24
 1003.72, -150.96,   -0.23
  937.84, -396.97,    5.76
  786.54, -607.42,   91.63
  601.93, -797.76,  158.04
  334.26, -945.62,  140.66
   34.78,-1004.99,   97.94
 -163.46, -938.88,  362.08
 -263.69, -873.42,  380.30
  -93.55, -869.17,  493.88
  187.94, -855.55,  465.89
  499.22, -824.02,  276.36
  688.26, -733.19,   55.35
  858.16, -516.92,   59.75
  963.27, -268.48,  134.79
  956.93,  -94.94,  307.40
  858.10, -107.50,  502.27
  688.53, -287.93,  659.06
  415.43, -472.43,  794.39
  415.43, -472.43,  794.39
  182.01, -603.71,  925.74
  -75.46, -789.45,  596.06
 -331.02, -858.46,  419.87
 -539.83, -787.52,  290.75
 -693.03, -653.99,  294.03
 -714.03, -557.04,  406.90
 -584.19, -540.83,  586.44
 -433.03, -525.98,  739.47
 -118.25, -660.80,  750.94
  173.32, -777.93,  600.33
  431.34, -834.60,  324.19
  637.14, -760.53,  114.60
  844.00, -564.24,  241.86
  938.47, -336.13,  233.16
  854.26, -160.16,  507.50
  653.37, -186.88,  736.18
  298.33, -228.55,  911.17
   -2.28, -236.33,  966.76
 -236.44, -223.32,  948.82
 -409.34, -284.58,  846.30
 -535.47, -368.13,  744.90
 -655.32, -408.24,  617.99
 -719.12, -389.68,  553.71
 -751.83, -355.12,  548.00
 -718.62, -267.01,  726.52
 -724.37, -270.74,  627.26
 -663.20, -257.39,  690.90
 -570.91, -321.41,  768.06
 -436.23, -463.79,  779.37
 -279.42, -619.62,  722.63
 -113.63, -763.10,  627.72
   46.56, -884.58,  484.22
  260.61, -916.30,  291.08
  381.29, -909.91,  223.18
  500.68, -871.13,  111.84
  608.75, -798.91,   98.62
  713.55, -727.68,  285.52
  737.71, -671.35,  230.73
  707.50, -653.40,  334.49
  597.32, -667.91,  486.73
  437.93, -663.19,  622.23
  241.99, -687.80,  704.82
   32.06, -693.83,  740.48
 -168.92, -712.95,  712.65
 -330.77, -665.67,  689.24
 -449.26, -622.29,  659.77
 -503.59, -572.12,  646.36
 -465.11, -547.11,  828.14
 -403.74, -595.73,  712.31
 -244.93, -702.68,  693.75
  -89.12, -777.38,  639.84
   88.10, -835.77,  562.97
  180.69, -852.93,  485.77
  225.45, -838.77,  500.29
  200.56, -788.70,  587.07
   50.83, -737.73,  678.06
  -73.06, -694.97,  729.14
 -144.76, -612.72,  760.57
 -186.05, -530.69,  799.37
 -220.31, -397.42,  993.24
 -311.37, -284.39,  879.32
 -415.85,  -98.47,  886.13
 -575.66,   50.86,  791.67
 -692.98,   90.19,  696.51
 -668.24,  -75.05,  760.24
 -560.56, -296.60,  760.02
 -404.58, -444.04,  796.05
 -269.16, -494.49,  812.89
 -227.51, -479.53,  827.00
 -324.38, -315.06,  885.33
 -474.55, -162.91,  841.96
 -608.29,  -58.83,  902.54
 -703.02,  -62.16,  683.23
 -817.84,  -74.15,  556.81
 -890.29, -245.85,  348.23
 -846.54, -462.65,  197.75
 -788.92, -555.85,  214.53
 -739.65, -582.45,  308.67
 -690.27, -518.14,  505.94
 -601.47, -436.26,  675.86
 -464.61, -346.02,  814.65
 -279.13, -265.83,  925.10
 -211.01, -123.66,  970.81
 -141.45,   16.90, 1112.43
 -173.42,  110.42,  947.85
 -333.96,  264.72,  890.11
 -465.28,  330.03,  795.41
 -642.19,  374.77,  648.73
 -776.48,  365.66,  480.29
 -918.59,  310.64,  229.61
 -989.95,  175.73,   29.68
 -981.75,   12.97, -167.24
 -927.36, -283.82, -243.85
 -812.76, -580.62, -161.26
 -628.68, -782.79,  -58.67
 -382.28, -887.05,  180.69
 -165.25, -983.38,  122.16
    3.38, -987.11,  157.69
   53.01,-1015.88,  104.77
  -32.04,-1019.33,   79.13
 -210.76, -975.69,  144.66
 -375.71, -913.09,  181.84
 -563.72, -817.85,  208.62
 -670.99, -682.38,  286.88
 -727.86, -621.32,  285.69
 -713.66, -614.43,  323.13
 -624.56, -673.89,  403.61
 -435.23, -731.96,  625.01
 -204.30, -881.48,  422.98
    5.75, -935.89,  328.52
  103.41, -985.78,  182.27
    4.34,-1005.93,   86.62
 -222.40, -980.81,   97.41
 -489.43, -846.00,  229.77
 -664.06, -669.78,  347.25
 -785.34, -474.54,  400.23
 -892.29, -287.98,  331.10
 -956.96, -205.59,  204.96
 -962.98, -212.46,  119.61
 -913.32, -255.75,  209.17
 -921.81, -395.98,   75.14
 -858.03, -522.06,   88.02
 -771.57, -616.58,  173.20
 -650.84, -684.91,  301.81
 -541.19, -724.89,  454.19
 -336.82, -720.36,  572.88
  -45.99, -677.69,  687.36
  234.19, -584.05,  712.59
  464.99, -554.63,  622.81
  631.84, -578.38,  462.23
  719.31, -611.54,  310.90
  734.64, -680.39,  241.66
  613.46, -783.26, -100.88
  397.01, -908.15, -179.64
  240.27, -987.96,  -16.83
  158.41, -999.59,   16.49
   54.56, -991.68,   94.66
  -54.60, -977.53,  171.06
 -162.13, -913.77,  350.09
 -231.52, -799.39,  520.13
 -280.04, -628.89,  688.27
 -304.69, -527.82,  766.48
 -408.13, -359.90,  821.54
 -470.76, -147.31,  960.85
 -660.94,   -3.20,  731.71
 -793.00,   76.18,  562.89
 -793.00,   76.18,  562.89
 -860.95,   99.35,  460.17
 -937.04,  106.77,  321.22
 -984.13,    0.55,  159.08
 -970.33, -178.64,   79.87
 -952.57, -282.68,  -31.39
 -913.66, -349.51,  -31.51
 -905.02, -382.65,   33.06
 -932.52, -326.31,  123.45
 -933.29, -181.30,  294.05
 -965.17, -173.27,  109.08
 -963.98, -212.94,  117.17
 -943.89, -214.73,  160.74
 -945.68, -180.70,  188.63
 -958.79, -164.39,  194.44
 -971.70, -106.75,  181.25
 -982.28,  -53.88,  151.88
 -980.42,   -8.90,  139.23
 -990.31,   31.25,  113.82
 -987.17,   48.55,   84.66
 -991.12,   69.11,   38.97
 -972.97,  104.68,  181.77
 -982.49,   84.24,  -48.12
 -979.03,   63.27, -118.73
 -995.09,   38.14, -110.04
 -990.50,    2.53, -122.54
 -986.27,  -14.83, -160.00
 -978.53,   34.20, -233.01
 -948.95,   55.86, -294.57
 -930.33,   31.27, -362.43
 -897.68,  -32.10, -437.07
 -894.82,  -82.23, -436.82
 -889.56,  -80.80, -460.11
 -855.81,  -76.48, -319.54
 -872.26,  -56.46, -483.35
 -866.74, -110.67, -463.88
 -868.48, -175.51, -451.33
 -849.38, -256.27, -455.67
 -883.56, -254.81, -397.01
 -920.46, -274.37, -320.77
 -903.48, -300.45, -258.05
 -914.32, -327.47, -290.31
 -927.93, -328.07, -213.85
 -926.48, -322.68, -196.03
 -926.86, -314.12, -205.40
 -896.24, -274.55,  -55.19
 -933.21, -288.52, -200.75
 -934.54, -269.08, -192.33
 -955.75, -266.15, -141.72
 -975.18, -259.74,  -89.34
 -971.18, -247.26,  -72.03
 -979.37, -225.11,  -23.96
 -976.60, -205.41,    2.62
 -989.48, -183.92,   75.86
 -977.80, -178.99,  100.34
 -990.17, -144.21,  165.21
 -978.58, -131.25,  174.40
 -938.11, -108.08,  365.85
 -981.05, -140.05,  199.86
 -995.50,  -94.57,  155.93
-1002.35,  -52.61,   85.53
 -999.89,  -15.77,   49.07
 -992.97, -105.70,   -3.87
 -983.20, -212.34, -101.16
 -936.01, -335.17, -142.82
 -848.37, -507.92, -195.30
 -795.50, -592.76, -168.61
 -823.56, -585.61, -100.40
 -765.68, -656.49,  -53.59
 -616.48, -752.46,  148.37
 -533.53, -845.42,  148.40
 -493.29, -856.19,  264.52
 -486.81, -835.97,  334.35
 -440.01, -850.19,  321.14
 -426.81, -809.28,  420.14
 -400.58, -786.72,  494.42
 -371.03, -739.16,  550.19
 -344.79, -711.83,  627.89
 -305.29, -650.83,  682.10
 -208.08, -568.04,  765.43
 -120.23, -469.32,  856.17
  -79.92, -307.76, 1049.16
 -101.23, -262.45,  941.08
   52.73, -259.10,  941.73
   25.97, -149.66,  955.28
  -41.70,   76.55,  962.69
  -51.24,  359.14,  914.61
 -100.72,  608.09,  757.49
 -231.89,  848.37,  455.95
 -312.99,  922.12,  178.59
 -417.17,  918.57,  -40.06
 -520.31,  824.11, -257.68
 -542.19,  687.83, -494.56
 -498.52,  614.69, -485.34
 -466.56,  511.78, -721.91
 -330.16,  382.06, -852.80
 -189.06,  239.97, -959.29
  -78.21,   63.96,-1003.58
  -89.53,   15.20, -996.90
 -150.96,  -95.63, -985.41
 -369.14, -254.05, -878.51
 -591.48, -385.95, -701.65
 -764.84, -453.63, -479.91
 -883.93, -471.38, -116.90
 -869.99, -423.56,  289.41
 -682.88, -322.57,  767.34
 -392.94, -188.12,  885.67
 -182.85,  -52.64,  965.92
 -144.27, -119.48,  966.18
  -82.62, -294.07,  906.45
   57.60, -524.91,  826.43
   91.63, -674.50,  692.14
   70.61, -816.83,  531.28
   39.73, -926.08,  323.62
    5.87, -981.96,  123.32
  -15.95, -999.01,  -58.47
    9.05, -945.05,  -80.67
  -26.55, -902.79, -450.32
   65.40, -725.54, -699.70
   40.08, -542.16, -826.05
  -98.47, -350.77, -918.76
 -211.31, -107.96, -961.06
 -356.80,  129.03, -920.53
 -403.32,  350.99, -866.57
 -439.64,  496.80, -758.67
 -410.12,  650.59, -659.01
 -378.11,  780.38, -523.28
 -368.20,  863.73, -390.61
 -362.34,  923.27, -118.01
 -407.55,  942.54, -104.89
 -343.72,  960.52,   78.08
 -264.38,  962.69,  193.73
 -168.17,  967.08,  315.30
  -11.81,  961.11,  336.96
  187.37,  978.98,  175.22
  290.39,  964.82,   46.58
  309.27,  944.05, -132.03
  308.25,  927.70, -195.84
  428.15,  890.60, -142.33
  551.06,  814.65,    0.25
  680.58,  749.01,  363.43
  760.59,  474.99,  402.82
  739.39,  127.99,  627.47
  620.99,  -21.43,  752.13
  517.63, -163.99,  814.93
  569.73, -226.12,  768.80
  569.73, -226.12,  768.80
  741.00, -392.07,  515.75
  724.56, -600.92,  259.01
  618.53, -752.43,  148.69
  460.18, -877.07,   27.33
