mag_x, mag_y, mag_z
  499.81, -281.51,  763.32
  390.17, -113.46,  858.14
  285.79,  200.85,  891.11
  277.34,  444.39,  982.80
  274.33,  598.56,  703.26
  276.60,  828.81,  405.12
  205.70,  956.04,   63.26
  235.66,  924.48, -262.00
  362.29,  809.88, -397.79
  461.30,  707.83, -498.40
  431.16,  624.95, -648.01
  420.56,  433.54, -810.86
  549.53,  175.92, -809.94
  764.68,    3.75, -610.23
  808.19, -151.36, -526.96
  861.33, -186.56, -315.16
  846.79, -272.53, -360.32
  842.16, -312.28, -406.81
  855.59, -329.91, -377.94
  886.17, -406.39, -197.86
  899.75, -408.29,   38.95
  903.25, -266.02,  279.57
  903.25, -130.25,  361.28
  910.62,    3.60,  379.54
  976.20,  148.34,  161.84
  981.62,  -14.43, -101.56
  921.23, -355.13, -113.98
  723.17, -685.10,  178.47
  428.90, -885.81,  -14.36
  324.24, -924.01,    8.95
  311.97, -924.00,  117.38
  335.90, -898.32,  225.66
  380.19, -862.95,  276.79
  298.46, -877.39,  296.98
  264.34, -767.89,  509.78
  255.76, -552.80,  734.70
  171.76, -208.80,  926.44
   82.41,  213.43,  935.73
   44.87,  489.81,  820.12
   57.83,  860.86,  650.13
  106.53,  964.66,  170.55
  144.44,  941.24, -321.57
  212.42,  744.82, -674.14
  320.66,  406.14, -860.15
  439.26,  132.12, -900.61
  571.63,  -27.86, -834.28
  779.51,  -70.64, -614.25
  972.43,  -24.58, -251.82
  969.40,  -55.90, -252.44
 1001.87,   50.71,  -12.00
  953.54,  151.55,  248.79
  912.47,  212.07,  570.22
  874.54,  122.30,  452.27
  932.61,   47.23,  333.76
  944.85,    2.16,  303.65
  890.67,   75.94,  416.88
  827.81,  319.48,  463.75
  681.29,  646.61,  349.79
  419.49,  886.76,  158.10
  160.63,  985.88,   49.12
 -108.33,  990.78, -129.50
 -203.56,  941.98, -280.50
 -292.52,  897.92, -350.51
 -298.52,  869.63, -327.43
 -347.21,  776.31, -558.06
 -421.72,  715.91, -592.83
 -394.69,  608.91, -700.93
 -314.69,  486.62, -834.10
   98.22,  452.45, -900.36
  164.82,  297.39, -941.38
  283.69,  356.09, -890.99
  414.32,  433.27, -834.49
  462.17,  428.76, -784.47
  567.41,  438.98, -742.92
  731.59,  363.56, -599.70
  921.64,  413.14, -120.59
  936.07,  351.04,   80.38
  941.56,  172.48,  261.40
  918.40,  -38.83,  338.60
  829.16, -200.08,  471.72
  788.29, -312.71,  473.06
  589.48, -459.91,  591.96
  324.77, -618.10,  647.47
  -11.62, -648.74,  706.82
 -461.52, -675.35,  535.12
 -723.09, -590.29,  275.92
 -825.23, -489.24,  248.65
 -840.46, -421.51,  367.24
 -921.95, -376.47,   39.80
 -950.25, -327.52, -118.93
 -909.78, -344.40, -254.99
 -909.78, -344.40, -254.99
 -914.95, -295.84, -284.49
 -948.89, -228.71, -231.26
 -976.42, -239.24, -176.47
 -973.51, -195.71, -140.92
 -977.92,  -80.77, -211.01
 -952.72,    4.66, -321.15
 -893.87,   57.54, -444.52
 -874.62,  102.33, -472.55
 -907.85,  168.38, -157.48
 -944.74,  193.98, -280.80
 -919.70,  300.98, -274.07
 -873.26,  357.35, -301.86
 -856.71,  404.86, -368.00
 -840.64,  420.63, -370.54
 -828.34,  437.90, -379.85
 -714.58,  567.33, -420.89
 -389.29,  655.78, -668.62
 -216.55,  703.72, -674.15
 -163.65,  721.86, -681.71
  -68.79,  730.42, -579.26
   -6.28,  685.42, -785.85
   92.65,  472.27, -901.27
   60.03,  362.74, -945.45
  -65.90,  274.27, -975.23
 -125.37,  235.36, -990.37
 -102.36,  226.37, -984.63
 -176.34,  -11.91, -997.74
 -226.43, -284.93, -934.05
 -243.10, -545.07, -801.27
 -179.72, -790.15, -571.98
 -130.39, -957.07, -150.47
  -79.77, -904.94,  400.13
 -118.03, -823.45,  490.39
  -96.58, -614.86,  723.18
 -132.59, -475.74,  828.50
 -166.75, -296.77,  898.88
 -317.40, -159.16,  910.00
 -477.68,  -78.40,  823.51
 -784.87,    1.45,  587.01
 -879.41,   31.93,  439.44
 -928.00,  219.73,  344.93
 -894.84,  389.52,  220.91
 -805.82,  586.93,   90.45
 -567.47,  846.32,   57.87
 -410.91,  883.09, -264.15
 -327.97,  856.15, -419.02
 -348.69,  811.03, -494.76
 -427.54,  663.03, -652.27
 -523.77,  365.49, -780.07
 -596.89,    0.28, -825.63
 -581.76, -314.33, -749.14
 -513.61, -648.64, -559.40
 -485.76, -809.21, -278.56
 -557.03, -793.81,  168.03
 -539.65, -683.74,  436.91
 -411.16, -568.79,  745.47
 -417.82, -443.95,  758.05
 -414.86, -187.21,  865.79
 -451.34,   18.91,  860.86
 -406.18,  190.14,  853.12
 -473.10,  272.72,  806.37
 -435.51,  457.56,  759.16
 -286.81,  792.13,  545.03
 -163.20,  917.05,  394.19
 -102.95,  978.02,  228.29
  -69.29, 1019.15,   43.87
 -174.05, 1003.93, -105.55
 -158.85, 1003.19, -131.95
 -179.67,  906.47, -454.35
 -182.61,  730.90, -710.27
 -139.16,  403.46, -933.68
 -189.34, -200.67, -970.89
 -302.90, -713.94, -609.84
 -433.46, -853.60, -213.56
 -490.27, -843.83,   32.68
 -606.30, -690.74,  383.89
 -690.27, -362.85,  596.16
 -786.91, -197.11,  572.91
 -900.80,  -38.78,  406.44
 -934.46,   83.59,  467.18
 -958.03,   93.96,  295.80
 -970.71,  267.23,  135.34
 -880.75,  526.84,   73.65
 -770.47,  695.32,   -6.30
 -766.97,  688.59, -120.93
 -811.27,  613.67, -220.98
 -937.60,  353.61, -254.07
-1003.31,  -40.89, -139.14
 -947.59, -337.19,   51.56
 -874.04, -460.60,  146.37
 -824.20, -538.94,  157.25
 -737.19, -564.24,  366.78
 -758.48, -541.84,  362.85
 -672.34, -548.19,  452.30
 -691.43, -560.34,  432.42
 -618.87, -578.54,  510.15
 -540.54, -570.32,  612.54
 -322.66, -601.68,  723.34
 -277.81, -312.11,  862.71
 -266.51,   99.82,  867.76
 -263.65,  313.01,  802.61
 -239.83,  520.87,  702.74
 -177.46,  719.90,  490.52
 -113.21,  877.62,  471.48
 -132.45,  901.92,  311.89
 -120.03,  972.44,  204.08
 -186.89,  983.51,   50.34
 -367.40,  928.30, -125.73
 -454.95,  886.16, -173.16
 -331.37,  919.27, -274.70
 -340.32,  870.37, -381.89
 -448.01,  736.81, -549.13
 -590.33,  545.24, -654.28
 -611.58,  291.22, -775.00
 -581.98,  -62.14, -837.35
 -524.46, -444.95, -582.20
 -673.71, -382.54, -655.03
 -693.26, -430.03, -627.70
 -624.68, -599.74, -541.85
 -407.38, -894.08, -320.35
 -266.61, -986.68,  -41.39
 -145.84, -962.66,  299.63
   -6.05, -752.99,  636.03
   47.57, -585.00,  784.69
  -30.52, -594.10,  799.89
 -108.45, -435.96,  870.95
 -164.13, -322.35, 1086.67
 -163.00, -294.56,  890.19
 -296.34,  -48.48,  932.84
 -267.66,  180.02,  925.52
  -84.47,  434.03,  864.63
  302.89,  642.57,  701.21
  457.17,  718.62,  503.91
  589.20,  761.84,  234.50
  743.65,  668.41,  -96.49
  864.09,  372.79, -407.54
  851.25,  -53.27, -619.59
  768.20, -289.71, -639.51
  742.46, -412.63, -433.79
  635.38, -657.01, -476.80
  625.22, -730.08, -361.35
  525.99, -853.14, -208.83
  252.46, -986.11,  -75.44
  -27.64,-1012.94,  -57.93
 -327.33, -958.82,  -56.78
 -536.99, -856.96,  -83.52
 -536.99, -856.96,  -83.52
 -679.69, -738.08, -108.28
 -677.06, -717.74, -241.27
 -630.89, -769.19, -133.85
 -449.06, -712.87,  547.18
 -214.09, -555.09,  873.57
 -373.00, -632.04,  656.54
 -434.14, -442.90,  768.07
 -193.17, -109.47,  949.70
  233.02,  236.12,  910.36
  678.12,  495.06,  550.21
  841.70,  526.13,  126.64
  913.17,  440.14,  -57.66
  971.09,  276.44, -121.22
  990.47,    1.33, -287.16
  902.61,   65.18, -500.00
  773.51,    1.88, -639.14
  744.70,    3.41, -569.39
  641.99, -160.98, -772.75
  656.15, -311.16, -678.34
  812.25, -340.24, -380.53
  918.19, -258.63, -192.47
  865.40, -271.86, -301.77
  835.97, -168.95, -387.46
  773.85,   48.82, -552.63
  721.41,  245.00, -611.71
  729.08,  314.11, -572.80
  655.37,  291.24, -658.33
  597.87,  168.58, -721.43
  398.01,  -35.51, -732.19
  -24.51, -286.93, -923.75
 -329.45, -397.02, -818.51
 -498.41, -441.78, -707.54
 -618.66, -487.21, -586.87
 -607.93, -467.44, -632.87
 -652.33, -430.59, -638.09
 -782.03, -397.63, -476.81
 -864.13, -280.01, -429.60
 -902.18, -222.29, -382.50
 -964.42, -106.64, -269.57
-1011.27,  -61.67,  -62.46
 -954.09,  -60.74,  338.83
 -890.95,  -92.01,  453.80
 -708.12,  -94.18,  702.44
 -180.56, -113.38,  966.54
  196.74, -234.67,  920.17
  192.67,   24.23,  973.30
  128.81,  294.16,  922.18
   93.20,  493.19,  841.42
  269.62,  541.29,  763.41
  493.12,  546.65,  643.78
  637.66,  626.19,  431.72
  498.82,  842.51,  183.30
  347.55,  972.95,   65.54
  -73.79,  913.85, -365.88
 -531.89,  641.67, -550.71
 -859.35,  283.78, -424.33
 -953.62, -165.46, -275.57
 -841.61, -509.64, -146.15
 -680.33, -680.55, -312.15
 -701.61, -505.25, -510.69
 -943.62, -219.04, -255.55
 -989.15, -209.75,   57.30
 -847.08, -193.24,  508.11
 -399.39,  -83.68,  901.04
  210.27,  161.12, 1074.09
  678.73,  363.64,  592.73
  837.47,  567.85,  -16.39
  408.18,  818.83, -436.00
 -136.64,  837.62, -532.63
 -560.65,  671.17, -494.23
 -872.22,  387.21, -284.04
-1001.57,   45.62,  -67.67
 -967.64, -312.93,   60.17
 -839.92, -542.73,  116.61
 -729.82, -674.34,  154.38
 -684.24, -752.07,  -32.59
 -608.63, -721.09, -131.40
 -610.62, -734.16, -353.55
 -536.12, -664.31, -552.81
 -511.26, -655.24, -589.30
 -433.72, -679.31, -623.18
 -418.23, -697.42, -601.52
 -320.73, -790.07, -572.48
 -222.12, -821.39, -560.23
 -137.69, -878.47, -532.16
  -33.01, -898.77, -465.30
   17.17, -973.40, -311.64
  -31.04, -984.27, -117.72
  -28.02, -994.03, -117.95
    9.31,-1001.40,  111.28
  324.77, -933.94,  185.00
  799.21, -612.21,   40.50
 1023.52,  -25.38, -116.73
  741.06,  479.41, -499.57
  267.23,  787.48, -533.55
 -262.92,  866.20, -432.24
 -717.64,  638.09, -276.35
 -970.98,  204.37, -128.92
 -974.03, -227.61,  -28.55
 -796.34, -508.33,  -77.91
 -602.57, -742.89, -334.47
 -460.72, -813.75, -369.55
 -322.32, -805.78, -538.64
 -230.22, -667.99, -737.16
 -313.90, -423.80, -869.33
 -449.87, -390.33, -817.14
 -463.01, -365.30, -808.08
 -425.88, -261.61, -874.12
 -404.89, -290.76, -855.44
 -383.84, -372.29, -856.89
 -435.60, -525.21, -738.76
 -431.40, -716.31, -351.24
 -484.98, -868.15, -130.36
 -482.38, -826.25,  321.59
  -96.05, -726.71,  660.78
  606.74, -185.30,  747.60
  840.26,  453.87,  302.69
  665.77,  757.13,    2.89
  197.18,  957.08, -284.01
 -222.77,  958.37, -280.46
 -721.56,  706.73,  -36.82
 -930.94,  254.04,  302.50
 -861.04, -260.26,  411.20
 -756.86, -589.35,  213.90
 -656.66, -711.35, -297.89
 -699.98, -633.28, -388.26
 -864.06, -473.25, -295.96
 -902.15, -458.63,  -29.72
 -860.81, -453.60,  214.87
 -836.28, -480.57,  250.57
 -768.29, -563.60,  274.69
 -665.68, -609.40,  397.86
 -488.95, -551.28,  631.25
 -352.51, -444.34,  774.95
 -207.93, -233.77,  915.52
    5.27,  218.71, 1094.98
  -87.04,  608.69,  751.55
 -440.01,  649.02,  584.95
 -742.49,  410.37,  505.93
 -870.54,   28.38,  445.25
 -847.58, -414.19,  273.83
 -726.89, -696.44,  -60.51
 -840.93, -508.06, -193.35
 -910.62, -440.44,  -16.53
 -910.62, -440.44,  -16.53
 -860.44, -472.54,  194.60
 -729.96, -604.41,  298.70
 -576.86, -660.92,  469.90
 -257.94, -614.96,  839.01
   78.70, -449.24,  868.78
  434.42,  136.00,  855.39
  429.41,  565.60,  677.99
  111.40,  695.92,  693.25
 -342.36,  609.47,  715.06
 -648.41,  269.48,  710.62
 -794.04, -134.25,  575.16
 -803.03, -460.33,  366.45
 -802.35, -564.05,  132.05
 -772.53, -500.11,  359.68
 -557.50, -498.37,  634.39
 -242.72, -500.49,  928.34
  161.70, -504.70,  800.94
  440.49, -570.64,  641.44
  615.67, -631.07,  451.08
  839.89, -471.22,  231.36
  992.49,    7.36, -164.74
  741.58,  646.38, -186.66
  395.00,  896.24,  159.13
   45.25,  853.65,  504.15
 -458.29,  689.20,  547.35
 -883.62,  351.72,  342.39
 -992.73,   37.25,  136.57
 -965.13, -120.05,  222.20
 -963.37, -218.35,  148.39
 -975.37, -143.62,  227.99
 -928.62,  -45.60,  348.61
 -827.13,   22.66,  540.85
 -757.18,    3.95,  618.04
 -640.16,  -43.19,  735.07
 -303.29, -173.85,  901.48
  254.90, -115.19,  932.65
  694.82,  137.33,  657.03
  893.74,  287.92,  301.27
  987.05, -101.78,  120.20
  788.31, -619.93,  231.94
  408.06, -908.89,   -5.08
  -45.40, -999.63,   16.84
 -512.70, -841.98,  162.45
 -745.08, -571.77,  372.75
 -741.62, -362.64,  543.02
 -426.37, -293.52,  856.08
  104.79, -154.87,  954.38
  463.98,    5.93,  843.19
  792.14,   95.23,  586.86
  926.31,    6.45,  350.91
  911.49, -248.78,  337.93
  842.87, -580.17,  207.01
  413.24, -847.59,  315.81
  217.30, -763.49,  579.23
  382.63, -406.68,  799.91
  479.26, -157.99,  833.53
  604.53,   29.35,  791.31
  824.46,  208.31,  505.43
  934.83,  244.40,  204.10
  983.64,   93.73,   -0.42
  977.06, -204.66,  -74.61
  886.44, -485.62,  -24.96
  732.95, -654.89,  368.69
  487.36, -631.72,  587.48
  249.84, -362.37,  880.23
  148.36,  -63.49,  973.56
  225.22,  197.52,  935.00
  403.09,  388.72,  787.24
  700.59,  389.37,  564.20
  915.07,  333.70,  163.69
  962.00,  202.08, -174.38
  922.72,   23.02, -402.97
  770.23, -236.64, -577.78
  500.93, -557.59, -636.99
  252.30, -774.72, -387.18
 -117.24, -887.29, -420.64
 -361.90, -914.03, -174.92
 -387.62, -926.63,   51.44
 -411.82, -852.19,  328.51
 -439.24, -643.21,  632.87
 -358.42, -340.35,  883.50
 -181.51,   -9.62,  963.70
   80.14,  210.13,  948.68
  435.55,  315.23,  831.87
  784.73,  385.34,  453.51
  968.00,  254.14,   92.72
 1003.84,  130.07,   -8.12
  936.76,  159.92, -366.90
  729.93,  188.74, -696.20
  299.31,    1.03, -958.77
  -43.47, -407.64, -908.64
 -271.52, -502.66, -824.99
 -328.47, -486.32, -818.38
 -421.66, -472.80, -775.67
 -292.49, -219.13, -917.87
 -202.61,   80.04, -974.84
  -57.00,  311.12, -933.49
  152.69,  471.17, -832.76
  525.15,  621.21, -448.34
  759.33,  528.89, -356.60
  955.16,  -22.57, -249.71
  902.43, -432.23,   13.88
  678.09, -514.45,  513.10
  515.97, -313.20,  757.07
  760.58,   41.83,  599.17
  907.03,  343.99,  257.13
  824.15,  582.53, -142.26
  606.39,  648.73, -471.86
  457.63,  594.77, -692.41
  462.19,  454.78, -770.19
  747.21,  236.78, -528.09
  896.59,  -67.70, -441.42
  981.32, -160.93,  -80.24
  963.18,   61.30,  262.65
  843.47,  453.49,  252.06
  677.90,  742.39,  -47.87
  455.42,  838.14, -358.66
  242.36,  850.77, -464.81
  124.49,  858.43, -477.18
  244.62,  804.96, -542.95
  104.48,  794.80, -588.51
 -316.76,  650.14, -679.82
 -550.64,  509.59, -503.54
 -751.44,  460.97, -426.84
 -814.64,  445.46, -323.77
 -733.37,  562.58, -331.98
 -582.14,  777.36, -204.76
 -333.25,  947.48,  110.56
   44.97,  925.35,  351.13
  444.41,  674.28,  568.86
  742.54,  378.04,  494.39
  947.81,  298.33,   32.52
  810.31,  347.69, -513.86
  409.33,  392.47, -837.72
 -107.93,  460.50, -733.20
 -503.17,  481.92, -709.16
 -571.08,  679.32, -427.76
 -427.23,  887.29,  -90.50
 -170.38,  959.71,   42.36
  314.04,  909.44, -100.65
  637.34,  600.94, -454.62
  666.15,  210.73, -722.00
  568.07, -110.32, -794.44
  542.23, -402.97, -737.31
  628.48, -619.40, -451.14
  494.82, -802.95, -320.86
  489.75, -848.79,  222.16
  328.56, -728.78,  575.78
  -23.87, -597.22,  776.51
  -23.87, -597.22,  776.51
 -405.97, -348.54,  812.15
 -728.35,  -60.78,  672.40
 -849.32,  200.88,  474.88
 -926.66,  292.29,  106.17
 -915.10,  309.53, -256.68
 -833.93,  188.38, -511.57
 -744.02,   88.07, -674.91
 -762.90,   16.18, -628.76
 -864.85,  -42.87, -485.77
 -930.06,  150.52, -148.10
 -914.56,  420.17,  169.55
 -656.66,  650.85,  399.39
 -410.11,  860.39,  374.60
 -143.21, 1004.01,   85.75
   30.84,  961.94, -275.37
   42.76,  777.24, -631.08
 -107.76,  665.73, -714.96
 -375.28,  610.11, -664.61
 -460.92,  572.71, -641.66
 -567.65,  448.87, -621.79
 -735.91,  292.94, -387.28
 -837.48,  111.62, -469.90
 -873.78, -109.49, -376.79
 -879.87, -275.40, -360.70
 -851.44, -303.33, -330.27
 -877.26, -248.71, -332.54
 -914.76, -108.82, -319.25
 -946.48,   12.71, -195.82
 -948.43,  181.63,  155.62
 -782.97,  281.76,  557.00
 -415.89,  141.61,  925.19
   39.09, -373.88,  912.25
  381.48, -591.13,  825.51
  733.19, -500.07,  445.85
  952.56, -357.22,  -25.89
  880.18,   11.83, -527.31
  528.11,  286.91, -816.44
  -69.13,  291.58, -931.77
 -529.30,  156.56, -782.56
 -774.73,  -75.43, -554.65
 -812.55, -161.57, -522.63
 -827.43, -239.84, -441.33
 -825.14, -278.65, -429.51
 -818.98, -382.38, -354.75
 -808.84, -386.92, -156.44
 -813.55, -451.78, -334.19
 -837.31, -400.86, -314.86
 -856.55, -349.93, -302.81
 -915.31, -266.00, -238.14
 -946.50, -190.28, -154.52
 -981.28, -167.29,  -41.33
 -977.76, -134.38,   98.40
 -934.22,   87.73,  347.34
 -634.95,  428.45,  674.14
  -91.68,  372.20,  922.12
  318.46, -175.31,  904.10
  224.22, -797.19,  631.40
 -117.91, -967.31,   33.25
 -135.84, -925.58, -264.08
 -145.64, -776.96, -583.93
 -203.46, -486.71, -818.04
 -260.53,  -98.06, -926.78
 -273.34,  172.79, -920.44
 -406.48,  385.78, -825.08
 -426.10,  548.91, -723.68
 -463.07,  592.15, -676.00
 -324.81,  606.92, -742.74
 -184.71,  587.98, -775.94
  -24.57,  549.03, -704.14
   46.46,  317.30, -935.01
  220.64,  170.29, -960.97
  166.49, -213.18, -994.25
  -81.13, -544.99, -839.20
 -222.83, -718.74, -654.82
 -266.31, -887.50, -362.86
 -313.29, -937.60,  -69.50
 -134.08, -974.58,   86.18
 -175.63, -939.09,  243.59
 -358.90, -846.92,  357.53
 -568.59, -641.20,  497.14
 -568.39, -465.47,  770.45
 -641.59, -331.30,  697.42
 -628.41, -212.89,  753.77
 -626.49,  -58.18,  772.45
 -619.58,  244.63,  743.05
 -545.57,  673.17,  480.68
 -442.43,  893.15,   55.39
 -468.23,  800.71, -374.55
 -454.41,  538.59, -732.46
 -561.75,  157.71, -814.58
 -635.09, -124.31, -759.20
 -649.22, -321.09, -697.34
 -602.08, -139.77, -597.78
 -773.50,  241.47, -578.65
 -837.05,  502.51, -160.44
 -831.78,  538.84,  209.25
 -726.93,  416.53,  574.64
 -604.88,  135.51,  774.84
 -522.79, -303.37,  765.87
 -467.17, -746.05,  459.07
 -408.39, -901.42,   95.31
 -497.20, -872.96,   52.65
 -586.72, -742.28,  328.20
 -593.50, -155.61,  786.53
 -646.65,  436.76,  764.58
 -775.60,  586.94,  218.80
 -903.86,  433.24,  -46.69
 -952.83,  165.78, -243.04
 -977.62,  -65.47, -200.43
 -968.02, -234.84, -125.43
 -881.05, -453.95, -168.45
 -709.54, -592.22, -363.30
 -641.99, -605.90, -475.03
 -665.43, -543.54, -504.41
 -707.77, -511.61, -458.49
 -799.91, -473.65, -356.87
 -845.98, -407.54,   33.25
 -875.41, -442.90,  223.65
 -646.36, -240.38,  711.35
 -220.08,  157.09,  952.48
   55.99,  460.38,  864.89
   41.98,  730.46,  675.72
 -138.45,  894.83,  415.07
 -557.69,  785.69,  181.69
 -881.40,  460.05,   49.85
 -993.23,  103.59,   61.73
 -953.40, -292.22,   42.20
 -810.82, -506.86,  -15.20
