raw_mag_x,raw_mag_y,raw_mag_z
212,1779,1558
-477,1934,924
-477,1934,924
-477,1934,924
-477,1934,924
-477,1934,924
-477,1934,924
-477,1934,924
-1192,1963,525
-1192,1963,525
-1192,1963,525
-1192,1963,525
-1192,1963,525
-1192,1963,525
-1192,1963,525
-1192,1963,525
-1905,1752,-12
-1905,1752,-12
-1905,1752,-12
-1905,1752,-12
-1905,1752,-12
-1905,1752,-12
-1905,1752,-12
-2383,1653,-64
-2383,1653,-64
-2383,1653,-64
-2383,1653,-64
-2383,1653,-64
-2383,1653,-64
-2383,1653,-64
-2484,1599,178
-2484,1599,178
-2484,1599,178
-2484,1599,178
-2484,1599,178
-2484,1599,178
-2484,1599,178
-2669,1544,211
-2669,1544,211
-2669,1544,211
-2669,1544,211
-2669,1544,211
-2669,1544,211
-2669,1544,211
-2749,1463,147
-2749,1463,147
-2749,1463,147
-2749,1463,147
-2749,1463,147
-2749,1463,147
-2749,1463,147
-2746,1483,25
-2746,1483,25
-2746,1483,25
-2746,1483,25
-2746,1483,25
-2746,1483,25
-2746,1483,25
-2818,1388,96
-2818,1388,96
-2818,1388,96
-2818,1388,96
-2818,1388,96
-2818,1388,96
-2818,1388,96
-2732,1453,408
-2732,1453,408
-2732,1453,408
-2732,1453,408
-2732,1453,408
-2732,1453,408
-2732,1453,408
-2468,1547,-218
-2468,1547,-218
-2468,1547,-218
-2468,1547,-218
-2468,1547,-218
-2468,1547,-218
-2468,1547,-218
-2490,1519,-291
-2490,1519,-291
-2490,1519,-291
-2490,1519,-291
-2490,1519,-291
-2490,1519,-291
-2490,1519,-291
-2347,1591,-478
-2347,1591,-478
-2347,1591,-478
-2347,1591,-478
-2347,1591,-478
-2347,1591,-478
-2347,1591,-478
-2162,1649,-326
-2162,1649,-326
-2162,1649,-326
-2162,1649,-326
-2162,1649,-326
-2162,1649,-326
-2162,1649,-326
-2015,1708,-223
-2015,1708,-223
-2015,1708,-223
-2015,1708,-223
-2015,1708,-223
-2015,1708,-223
-2015,1708,-223
-1923,1730,-84
-1923,1730,-84
-1923,1730,-84
-1923,1730,-84
-1923,1730,-84
-1923,1730,-84
-1923,1730,-84
-1928,1712,-187
-1928,1712,-187
-1928,1712,-187
-1928,1712,-187
-1928,1712,-187
-1928,1712,-187
-1928,1712,-187
-1957,1689,-251
-1957,1689,-251
-1957,1689,-251
-1957,1689,-251
-1957,1689,-251
-1957,1689,-251
-1957,1689,-251
-1856,1687,-427
-1856,1687,-427
-1856,1687,-427
-1856,1687,-427
-1856,1687,-427
-1856,1687,-427
-1856,1687,-427
-1704,1658,-557
-1704,1658,-557
